Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AA,08:39,21.68,21.68,21.67,21.68,21.6775,400,3
20200102,AA,08:59,21.80,21.80,21.80,21.80,21.80,200,1
20200102,AA,09:15,21.74,21.74,21.74,21.74,21.74,500,2
20200102,AA,09:31,21.86,21.86,21.80,21.82,21.85861,37315,16
20200102,AA,09:32,21.82,21.82,21.79,21.80,21.80072,1556,14
20200102,AA,09:33,21.81,21.83,21.76,21.76,21.79711,1900,16
20200102,AA,09:34,21.80,21.80,21.74,21.74,21.76154,6752,36
20200102,AA,09:35,21.74,21.75,21.71,21.71,21.72517,7420,29
20200102,AA,09:36,21.71,21.73,21.70,21.7050,21.72476,11397,32
20200102,AA,09:37,21.72,21.73,21.7150,21.72,21.71974,11494,46
20200102,AA,09:38,21.72,21.72,21.68,21.68,21.71158,1900,15
20200102,AA,09:39,21.70,21.72,21.70,21.72,21.70927,2482,12
20200102,AA,09:40,21.72,21.73,21.69,21.69,21.71889,2250,19
20200102,AA,09:41,21.69,21.69,21.65,21.66,21.65955,7029,12
20200102,AA,09:42,21.66,21.66,21.6150,21.6150,21.63786,18576,22
20200102,AA,09:43,21.60,21.62,21.59,21.59,21.60603,2887,19
20200102,AA,09:44,21.5850,21.60,21.57,21.5950,21.5843,2442,21
20200102,AA,09:45,21.59,21.59,21.57,21.59,21.57783,2427,18
20200102,AA,09:46,21.58,21.58,21.5550,21.57,21.56862,1801,17
20200102,AA,09:47,21.5450,21.56,21.5350,21.56,21.5483,2863,20
20200102,AA,09:48,21.57,21.57,21.54,21.54,21.55099,3051,16
20200102,AA,09:49,21.55,21.55,21.49,21.49,21.521,6023,36
20200102,AA,09:50,21.4850,21.4850,21.4550,21.4550,21.46575,2000,17
20200102,AA,09:51,21.46,21.47,21.4550,21.4550,21.46453,4749,38
20200102,AA,09:52,21.45,21.47,21.4450,21.47,21.45772,1744,14
20200102,AA,09:53,21.46,21.4750,21.45,21.45,21.46651,6730,35
20200102,AA,09:54,21.46,21.4750,21.45,21.45,21.46357,2100,20
20200102,AA,09:55,21.46,21.47,21.4550,21.47,21.46251,3060,27
20200102,AA,09:56,21.47,21.47,21.42,21.43,21.43681,3673,29
20200102,AA,09:57,21.43,21.43,21.41,21.41,21.41826,1998,17
20200102,AA,09:58,21.42,21.44,21.42,21.42,21.42645,4231,37
20200102,AA,09:59,21.42,21.44,21.42,21.44,21.4285,1115,9
20200102,AA,10:00,21.43,21.43,21.41,21.4250,21.41597,2428,17
20200102,AA,10:01,21.4250,21.44,21.42,21.42,21.43046,1520,14
20200102,AA,10:02,21.41,21.4150,21.39,21.39,21.40151,5974,27
20200102,AA,10:03,21.40,21.4050,21.39,21.3950,21.39612,3222,28
20200102,AA,10:04,21.40,21.4150,21.40,21.4150,21.40731,1300,10
20200102,AA,10:05,21.42,21.4350,21.42,21.43,21.42742,3100,25
20200102,AA,10:06,21.4350,21.4350,21.42,21.42,21.42468,1109,9
20200102,AA,10:07,21.43,21.4650,21.43,21.46,21.45326,6750,33
20200102,AA,10:08,21.46,21.49,21.46,21.4850,21.47788,6738,40
20200102,AA,10:09,21.48,21.49,21.48,21.49,21.48786,1167,9
20200102,AA,10:10,21.4850,21.49,21.47,21.47,21.48004,1821,13
20200102,AA,10:11,21.47,21.4750,21.44,21.46,21.45563,6863,57
20200102,AA,10:12,21.4650,21.4650,21.46,21.46,21.46038,6551,41
20200102,AA,10:13,21.46,21.46,21.44,21.44,21.45055,2676,20
20200102,AA,10:14,21.45,21.4550,21.4350,21.4350,21.44492,1016,9
20200102,AA,10:15,21.43,21.43,21.38,21.40,21.40587,12075,71
20200102,AA,10:16,21.39,21.4150,21.39,21.41,21.40647,1630,10
20200102,AA,10:17,21.41,21.4350,21.4050,21.4350,21.41502,1202,11
20200102,AA,10:18,21.43,21.4550,21.4150,21.4550,21.43188,2400,14
20200102,AA,10:19,21.45,21.4650,21.45,21.46,21.45909,1100,9
20200102,AA,10:20,21.4650,21.47,21.4650,21.4650,21.46667,300,3
20200102,AA,10:21,21.47,21.47,21.44,21.4450,21.45047,14170,38
20200102,AA,10:22,21.4450,21.4650,21.4450,21.46,21.45562,4042,25
20200102,AA,10:23,21.46,21.46,21.42,21.44,21.437,5847,51
20200102,AA,10:24,21.44,21.44,21.42,21.43,21.43033,7600,46
20200102,AA,10:25,21.4250,21.4250,21.39,21.39,21.41062,4000,28
20200102,AA,10:26,21.40,21.40,21.40,21.40,21.40,2600,18
20200102,AA,10:27,21.39,21.39,21.3650,21.3650,21.38235,4413,32
