Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AAN,09:30,57.41,57.51,57.35,57.36,57.40722,5390,8
20200102,AAN,09:31,57.34,57.34,57.23,57.23,57.295,800,8
20200102,AAN,09:32,57.21,57.21,57.15,57.15,57.19,300,3
20200102,AAN,09:34,57.45,57.46,57.45,57.46,57.455,200,2
20200102,AAN,09:36,57.85,57.85,57.85,57.85,57.85,100,1
20200102,AAN,09:38,57.74,57.74,57.69,57.69,57.72333,300,2
20200102,AAN,09:39,57.68,57.6850,57.66,57.6850,57.67755,613,4
20200102,AAN,09:40,57.66,57.68,57.59,57.59,57.648,500,5
20200102,AAN,09:41,57.58,57.58,57.45,57.45,57.525,800,6
20200102,AAN,09:42,57.40,57.40,57.37,57.37,57.39143,700,7
20200102,AAN,09:44,57.33,57.33,57.33,57.33,57.33,100,1
20200102,AAN,09:47,57.18,57.27,57.18,57.27,57.24,600,6
20200102,AAN,09:48,57.26,57.26,57.26,57.26,57.26,418,4
20200102,AAN,09:49,57.21,57.21,57.21,57.21,57.21,200,2
20200102,AAN,09:50,57.27,57.30,57.27,57.27,57.28,300,3
20200102,AAN,09:51,57.29,57.29,57.29,57.29,57.29,100,1
20200102,AAN,09:52,57.21,57.21,57.21,57.21,57.21,100,1
20200102,AAN,09:55,57.19,57.19,57.16,57.16,57.175,200,2
20200102,AAN,09:56,57.21,57.27,57.21,57.27,57.225,400,4
20200102,AAN,09:57,57.27,57.27,57.27,57.27,57.27,400,4
20200102,AAN,09:59,57.29,57.29,57.29,57.29,57.29,100,1
20200102,AAN,10:00,57.28,57.33,57.19,57.19,57.28147,1365,11
20200102,AAN,10:01,57.13,57.13,57.13,57.13,57.13,100,1
20200102,AAN,10:02,57.10,57.10,57.10,57.10,57.10,100,1
20200102,AAN,10:03,57.04,57.05,57.04,57.05,57.045,400,4
20200102,AAN,10:04,56.97,56.97,56.97,56.97,56.97,200,2
20200102,AAN,10:06,56.92,56.92,56.86,56.86,56.89,200,2
20200102,AAN,10:07,56.90,56.98,56.90,56.98,56.941,1000,10
20200102,AAN,10:08,57.02,57.02,57.02,57.02,57.02,100,1
20200102,AAN,10:09,57.03,57.03,57.03,57.03,57.03,100,1
20200102,AAN,10:10,57.00,57.02,57.00,57.02,57.01,200,2
20200102,AAN,10:12,56.93,57.00,56.93,57.00,56.94233,1194,8
20200102,AAN,10:13,56.95,56.95,56.95,56.95,56.95,200,2
20200102,AAN,10:14,56.94,56.94,56.94,56.94,56.94,117,1
20200102,AAN,10:15,56.94,56.96,56.9050,56.96,56.92359,1509,15
20200102,AAN,10:16,56.95,57.01,56.95,57.01,56.98109,806,8
20200102,AAN,10:17,57.02,57.11,57.02,57.11,57.074,500,5
20200102,AAN,10:18,57.13,57.20,57.13,57.20,57.16125,800,8
20200102,AAN,10:19,57.19,57.22,57.19,57.19,57.20252,1797,15
