Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AAPL,04:00,295.05,295.08,295.05,295.08,295.06567,7958,20
20200102,AAPL,04:06,295.35,295.59,295.35,295.59,295.48787,470,3
20200102,AAPL,04:08,295.55,295.55,295.55,295.55,295.55,250,2
20200102,AAPL,04:09,295.74,295.75,295.74,295.75,295.74509,914,6
20200102,AAPL,04:10,295.60,295.60,295.60,295.60,295.60,834,2
20200102,AAPL,04:14,295.69,295.69,295.69,295.69,295.69,419,1
20200102,AAPL,04:15,295.68,295.68,295.68,295.68,295.68,100,1
20200102,AAPL,04:17,295.68,295.74,295.68,295.74,295.72225,338,2
20200102,AAPL,04:20,295.60,295.65,295.60,295.65,295.625,1000,2
20200102,AAPL,04:21,295.70,295.70,295.70,295.70,295.70,500,1
20200102,AAPL,04:24,295.74,295.74,295.74,295.74,295.74,668,3
20200102,AAPL,04:25,295.74,295.74,295.74,295.74,295.74,329,1
20200102,AAPL,04:30,295.70,295.70,295.67,295.67,295.67621,483,2
20200102,AAPL,04:32,295.58,295.58,295.56,295.56,295.56148,2700,12
20200102,AAPL,04:33,295.50,295.56,295.50,295.56,295.55366,946,3
20200102,AAPL,04:34,295.56,295.56,295.56,295.56,295.56,1285,4
20200102,AAPL,04:35,295.56,295.56,295.56,295.56,295.56,503,3
20200102,AAPL,04:36,295.56,295.56,295.56,295.56,295.56,500,4
20200102,AAPL,04:50,295.63,295.63,295.63,295.63,295.63,100,1
20200102,AAPL,04:51,295.67,295.74,295.67,295.74,295.71845,1200,6
20200102,AAPL,04:52,295.73,295.73,295.73,295.73,295.73,194,1
20200102,AAPL,05:01,295.75,295.88,295.75,295.88,295.79543,1382,4
20200102,AAPL,05:13,295.90,295.99,295.90,295.99,295.96,450,3
20200102,AAPL,05:14,296.00,296.00,296.00,296.00,296.00,100,1
20200102,AAPL,05:16,295.94,295.94,295.94,295.94,295.94,100,1
20200102,AAPL,05:19,295.91,295.91,295.91,295.91,295.91,349,1
20200102,AAPL,05:27,296.00,296.00,295.99,295.99,295.99286,1400,5
20200102,AAPL,05:29,295.99,295.99,295.92,295.92,295.96973,563,5
20200102,AAPL,05:30,295.99,295.99,295.90,295.90,295.96429,350,2
20200102,AAPL,05:35,295.97,295.98,295.97,295.98,295.97867,1131,4
20200102,AAPL,05:37,295.93,295.98,295.93,295.98,295.95333,300,3
20200102,AAPL,05:39,295.85,295.85,295.85,295.85,295.85,100,1
20200102,AAPL,05:43,295.89,295.90,295.89,295.90,295.89182,550,5
20200102,AAPL,05:46,295.90,295.90,295.90,295.90,295.90,443,2
20200102,AAPL,05:48,295.90,295.90,295.90,295.90,295.90,463,3
20200102,AAPL,05:49,295.96,296.00,295.96,296.00,295.97909,1100,10
20200102,AAPL,05:51,295.80,295.80,295.80,295.80,295.80,150,1
20200102,AAPL,05:53,295.93,295.95,295.93,295.95,295.93667,300,2
20200102,AAPL,05:54,295.95,296.00,295.95,296.00,295.96873,267,2
