Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ABEO,07:00,3.42,3.42,3.42,3.42,3.42,400,1
20200102,ABEO,08:00,3.50,3.52,3.50,3.52,3.51489,1175,3
20200102,ABEO,08:19,3.45,3.45,3.45,3.45,3.45,1000,1
20200102,ABEO,09:10,3.49,3.49,3.49,3.49,3.49,200,1
20200102,ABEO,09:19,3.50,3.50,3.50,3.50,3.50,100,1
20200102,ABEO,09:28,3.49,3.55,3.49,3.55,3.51873,4881,7
20200102,ABEO,09:30,3.59,3.60,3.48,3.48,3.58622,76690,34
20200102,ABEO,09:31,3.48,3.49,3.45,3.45,3.46083,3371,23
20200102,ABEO,09:32,3.43,3.43,3.40,3.40,3.4125,1600,12
20200102,ABEO,09:33,3.40,3.44,3.39,3.42,3.41026,10789,54
20200102,ABEO,09:34,3.42,3.45,3.41,3.45,3.42053,1614,13
20200102,ABEO,09:35,3.42,3.44,3.41,3.44,3.42333,1200,10
20200102,ABEO,09:36,3.3950,3.4050,3.39,3.4050,3.39899,990,7
20200102,ABEO,09:37,3.40,3.40,3.36,3.36,3.38909,3111,18
20200102,ABEO,09:38,3.37,3.38,3.36,3.36,3.37081,1238,8
20200102,ABEO,09:39,3.37,3.37,3.36,3.37,3.36412,728,7
20200102,ABEO,09:40,3.35,3.35,3.32,3.35,3.33531,3267,24
20200102,ABEO,09:41,3.34,3.40,3.34,3.40,3.36656,6988,60
20200102,ABEO,09:42,3.38,3.38,3.3550,3.36,3.36334,1798,12
20200102,ABEO,09:44,3.37,3.37,3.36,3.36,3.36222,900,9
20200102,ABEO,09:45,3.36,3.36,3.35,3.35,3.35535,2055,7
20200102,ABEO,09:46,3.34,3.34,3.33,3.33,3.33714,700,5
20200102,ABEO,09:47,3.3250,3.33,3.32,3.32,3.32399,666,5
20200102,ABEO,09:48,3.32,3.32,3.28,3.31,3.29918,6094,31
20200102,ABEO,09:49,3.31,3.31,3.3050,3.31,3.30969,1600,16
20200102,ABEO,09:50,3.32,3.35,3.31,3.31,3.32016,7022,43
20200102,ABEO,09:51,3.32,3.32,3.32,3.32,3.32,400,4
20200102,ABEO,09:52,3.33,3.34,3.33,3.33,3.33485,2720,21
20200102,ABEO,09:53,3.32,3.3250,3.32,3.3250,3.32036,1400,10
20200102,ABEO,09:54,3.32,3.33,3.32,3.33,3.32583,1200,11
20200102,ABEO,09:55,3.3250,3.33,3.3250,3.33,3.329,2000,18
