Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ACEL,09:30,12.45,12.65,12.45,12.65,12.54029,618,2
20200102,ACEL,09:40,12.58,12.58,12.58,12.58,12.58,700,3
20200102,ACEL,10:37,12.44,12.44,12.44,12.44,12.44,100,1
20200102,ACEL,10:58,12.33,12.33,12.33,12.33,12.33,100,1
20200102,ACEL,11:18,12.43,12.44,12.43,12.44,12.438,500,5
20200102,ACEL,11:19,12.45,12.54,12.45,12.46,12.46429,1400,5
20200102,ACEL,11:26,12.46,12.57,12.46,12.57,12.49667,300,3
20200102,ACEL,11:32,12.57,12.57,12.50,12.50,12.54667,300,3
20200102,ACEL,11:33,12.50,12.50,12.50,12.50,12.50,200,2
20200102,ACEL,11:34,12.50,12.50,12.50,12.50,12.50,400,4
20200102,ACEL,11:35,12.48,12.50,12.48,12.50,12.49,200,2
20200102,ACEL,11:36,12.49,12.49,12.47,12.47,12.48333,300,3
20200102,ACEL,11:37,12.48,12.48,12.48,12.48,12.48,100,1
20200102,ACEL,11:41,12.43,12.50,12.42,12.50,12.4425,400,4
20200102,ACEL,11:42,12.47,12.47,12.43,12.44,12.442,500,5
20200102,ACEL,11:43,12.45,12.51,12.42,12.4650,12.47458,1200,11
20200102,ACEL,11:44,12.48,12.48,12.35,12.35,12.45,900,9
20200102,ACEL,11:45,12.45,12.45,12.38,12.38,12.39727,2670,13
20200102,ACEL,11:46,12.41,12.44,12.41,12.44,12.425,200,2
20200102,ACEL,11:52,12.41,12.41,12.41,12.41,12.41,100,1
20200102,ACEL,12:03,12.39,12.39,12.39,12.39,12.39,100,1
20200102,ACEL,12:04,12.39,12.39,12.39,12.39,12.39,600,5
20200102,ACEL,12:05,12.39,12.45,12.39,12.45,12.422,500,4
20200102,ACEL,12:11,12.46,12.46,12.46,12.46,12.46,100,1
20200102,ACEL,12:14,12.3950,12.45,12.3950,12.45,12.4225,200,2
20200102,ACEL,12:21,12.49,12.49,12.49,12.49,12.49,100,1
20200102,ACEL,12:28,12.50,12.50,12.50,12.50,12.50,100,1
20200102,ACEL,12:29,12.50,12.50,12.50,12.50,12.50,100,1
20200102,ACEL,12:30,12.50,12.50,12.50,12.50,12.50,100,1
20200102,ACEL,13:01,12.46,12.46,12.46,12.46,12.46,200,2
20200102,ACEL,13:02,12.46,12.50,12.46,12.46,12.468,500,5
20200102,ACEL,13:05,12.50,12.50,12.50,12.50,12.50,100,1
20200102,ACEL,13:20,12.48,12.48,12.4750,12.4750,12.4775,200,2
20200102,ACEL,13:25,12.48,12.48,12.48,12.48,12.48,300,2
20200102,ACEL,13:26,12.48,12.48,12.48,12.48,12.48,100,1
20200102,ACEL,13:28,12.48,12.48,12.48,12.48,12.48,100,1
20200102,ACEL,13:36,12.49,12.49,12.49,12.49,12.49,100,1
