Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ACGLP,09:30,25.38,25.40,25.38,25.40,25.38321,2495,5
20200102,ACGLP,09:45,25.46,25.46,25.46,25.46,25.46,500,5
20200102,ACGLP,09:49,25.46,25.48,25.46,25.48,25.46981,981,7
20200102,ACGLP,10:05,25.48,25.48,25.48,25.48,25.48,6069,8
20200102,ACGLP,10:06,25.48,25.48,25.48,25.48,25.48,100,1
20200102,ACGLP,10:07,25.48,25.48,25.48,25.48,25.48,2490,7
20200102,ACGLP,10:09,25.48,25.48,25.48,25.48,25.48,1000,1
20200102,ACGLP,10:10,25.48,25.48,25.48,25.48,25.48,1508,5
20200102,ACGLP,10:11,25.48,25.48,25.48,25.48,25.48,400,4
20200102,ACGLP,10:12,25.48,25.55,25.48,25.55,25.48713,2104,10
20200102,ACGLP,10:18,25.54,25.54,25.54,25.54,25.54,200,2
20200102,ACGLP,10:19,25.54,25.54,25.54,25.54,25.54,300,3
20200102,ACGLP,10:20,25.54,25.54,25.54,25.54,25.54,100,1
20200102,ACGLP,10:23,25.54,25.54,25.54,25.54,25.54,743,2
20200102,ACGLP,10:45,25.53,25.53,25.53,25.53,25.53,100,1
20200102,ACGLP,10:51,25.53,25.53,25.53,25.53,25.53,100,1
20200102,ACGLP,10:53,25.53,25.53,25.53,25.53,25.53,500,3
20200102,ACGLP,10:57,25.52,25.52,25.52,25.52,25.52,100,1
20200102,ACGLP,11:02,25.52,25.52,25.52,25.52,25.52,1250,4
20200102,ACGLP,11:03,25.53,25.53,25.53,25.53,25.53,1300,2
20200102,ACGLP,11:06,25.53,25.53,25.53,25.53,25.53,189,1
20200102,ACGLP,11:09,25.53,25.53,25.53,25.53,25.53,100,1
20200102,ACGLP,11:16,25.53,25.53,25.53,25.53,25.53,100,1
20200102,ACGLP,11:21,25.53,25.53,25.53,25.53,25.53,100,1
20200102,ACGLP,11:22,25.56,25.56,25.56,25.56,25.56,100,1
20200102,ACGLP,11:25,25.56,25.56,25.56,25.56,25.56,200,2
20200102,ACGLP,11:35,25.54,25.54,25.54,25.54,25.54,200,2
20200102,ACGLP,11:53,25.5650,25.5650,25.5650,25.5650,25.565,100,1
20200102,ACGLP,11:59,25.5650,25.5650,25.5650,25.5650,25.565,100,1
20200102,ACGLP,12:06,25.5650,25.5650,25.5650,25.5650,25.565,100,1
20200102,ACGLP,12:09,25.55,25.55,25.55,25.55,25.55,100,1
20200102,ACGLP,12:12,25.57,25.57,25.57,25.57,25.57,100,1
20200102,ACGLP,12:14,25.57,25.57,25.57,25.57,25.57,100,1
20200102,ACGLP,12:15,25.57,25.57,25.57,25.57,25.57,100,1
20200102,ACGLP,12:18,25.57,25.57,25.57,25.57,25.57,100,1
20200102,ACGLP,12:20,25.55,25.56,25.55,25.55,25.55268,1491,6
20200102,ACGLP,12:56,25.5850,25.59,25.5850,25.59,25.58765,213,2
20200102,ACGLP,12:57,25.58,25.58,25.58,25.58,25.58,558,3
20200102,ACGLP,12:58,25.59,25.59,25.59,25.59,25.59,100,1
20200102,ACGLP,13:07,25.59,25.59,25.59,25.59,25.59,100,1
20200102,ACGLP,13:08,25.59,25.59,25.59,25.59,25.59,100,1
20200102,ACGLP,13:10,25.59,25.60,25.59,25.60,25.59907,1071,5
20200102,ACGLP,13:12,25.60,25.60,25.60,25.60,25.60,930,1
20200102,ACGLP,13:17,25.60,25.60,25.60,25.60,25.60,100,1
20200102,ACGLP,13:23,25.60,25.60,25.60,25.60,25.60,300,1
20200102,ACGLP,13:27,25.60,25.60,25.60,25.60,25.60,300,3
20200102,ACGLP,13:28,25.60,25.60,25.60,25.60,25.60,100,1
20200102,ACGLP,13:29,25.60,25.60,25.60,25.60,25.60,104,1
