Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ACIO,10:05,25.71,25.71,25.71,25.71,25.71,213,1
20200102,ACIO,11:28,25.67,25.67,25.67,25.67,25.67,100,1
20200102,ACIO,11:34,25.6650,25.6650,25.66,25.66,25.66333,300,2
20200102,ACIO,12:39,25.69,25.69,25.69,25.69,25.69,1294,1
20200102,ACIO,13:38,25.66,25.66,25.66,25.66,25.66,100,1
20200102,ACIO,13:48,25.67,25.67,25.67,25.67,25.67,100,1
20200102,ACIO,13:51,25.66,25.66,25.66,25.66,25.66,200,1
20200102,ACIO,13:52,25.66,25.66,25.66,25.66,25.66,100,1
20200102,ACIO,13:54,25.65,25.65,25.65,25.65,25.65,100,1
20200102,ACIO,13:59,25.66,25.66,25.66,25.66,25.66,100,1
20200102,ACIO,14:13,25.67,25.67,25.67,25.67,25.67,100,1
20200102,ACIO,14:14,25.67,25.67,25.67,25.67,25.67,100,1
