Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ACIU,09:28,8.55,8.55,8.37,8.37,8.45924,1199,3
20200102,ACIU,09:30,8.32,8.32,8.32,8.32,8.32,24899,1
20200102,ACIU,09:31,8.42,8.42,8.42,8.42,8.42,100,1
20200102,ACIU,09:32,8.41,8.41,8.37,8.37,8.38458,1989,9
20200102,ACIU,09:40,8.4050,8.4050,8.39,8.39,8.395,300,3
20200102,ACIU,09:41,8.40,8.41,8.37,8.37,8.39647,1700,16
20200102,ACIU,09:42,8.36,8.37,8.35,8.35,8.36176,2596,9
20200102,ACIU,09:43,8.34,8.34,8.34,8.34,8.34,204,2
20200102,ACIU,09:45,8.32,8.32,8.32,8.32,8.32,200,2
20200102,ACIU,09:46,8.32,8.32,8.32,8.32,8.32,700,1
20200102,ACIU,09:49,8.31,8.31,8.25,8.25,8.26222,900,5
20200102,ACIU,09:52,8.33,8.33,8.33,8.33,8.33,400,4
20200102,ACIU,09:57,8.33,8.33,8.33,8.33,8.33,100,1
20200102,ACIU,10:01,8.36,8.37,8.36,8.37,8.365,200,2
20200102,ACIU,10:03,8.36,8.40,8.36,8.40,8.37889,900,9
20200102,ACIU,10:07,8.39,8.39,8.39,8.39,8.39,100,1
20200102,ACIU,10:08,8.38,8.38,8.38,8.38,8.38,100,1
20200102,ACIU,10:12,8.3550,8.3550,8.3550,8.3550,8.355,100,1
20200102,ACIU,10:15,8.35,8.35,8.30,8.30,8.31724,754,7
20200102,ACIU,10:16,8.27,8.28,8.22,8.23,8.25035,6805,20
20200102,ACIU,10:17,8.24,8.24,8.24,8.24,8.24,942,8
20200102,ACIU,10:18,8.21,8.21,8.18,8.18,8.19875,800,6
20200102,ACIU,10:20,8.16,8.17,8.16,8.17,8.16387,816,4
20200102,ACIU,10:21,8.21,8.23,8.21,8.23,8.21241,830,6
20200102,ACIU,10:22,8.27,8.27,8.27,8.27,8.27,100,1
20200102,ACIU,10:32,8.21,8.21,8.16,8.16,8.19091,2200,18
