Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ACLS,09:29,24.44,24.44,24.44,24.44,24.44,100,1
20200102,ACLS,09:30,24.44,24.44,24.44,24.44,24.44,1990,1
20200102,ACLS,09:35,24.49,24.49,24.41,24.42,24.44,300,3
20200102,ACLS,09:38,24.50,24.50,24.50,24.50,24.50,1428,5
20200102,ACLS,09:39,24.54,24.54,24.54,24.54,24.54,100,1
20200102,ACLS,09:40,24.52,24.53,24.50,24.50,24.5175,800,8
20200102,ACLS,09:41,24.51,24.51,24.15,24.15,24.25136,4400,33
20200102,ACLS,09:43,24.31,24.31,24.31,24.31,24.31,200,2
20200102,ACLS,09:44,24.31,24.31,24.30,24.30,24.30667,300,3
20200102,ACLS,09:45,24.30,24.40,24.29,24.29,24.32,500,5
20200102,ACLS,09:47,24.36,24.47,24.36,24.47,24.3925,800,8
20200102,ACLS,09:48,24.37,24.37,24.36,24.36,24.3625,400,4
20200102,ACLS,09:49,24.33,24.33,24.33,24.33,24.33,100,1
20200102,ACLS,09:50,24.30,24.31,24.30,24.31,24.305,200,2
20200102,ACLS,10:01,24.32,24.32,24.30,24.31,24.31125,800,8
20200102,ACLS,10:02,24.25,24.25,24.25,24.25,24.25,100,1
20200102,ACLS,10:07,24.30,24.31,24.30,24.31,24.30333,300,3
20200102,ACLS,10:08,24.30,24.31,24.29,24.31,24.3025,600,6
20200102,ACLS,10:11,24.25,24.28,24.24,24.28,24.25667,300,3
20200102,ACLS,10:14,24.25,24.25,24.22,24.25,24.24333,600,6
20200102,ACLS,10:15,24.25,24.26,24.25,24.26,24.255,200,2
20200102,ACLS,10:17,24.29,24.29,24.29,24.29,24.29,100,1
20200102,ACLS,10:20,24.26,24.26,24.26,24.26,24.26,300,3
20200102,ACLS,10:23,24.2450,24.2450,24.17,24.17,24.21625,400,4
20200102,ACLS,10:24,24.17,24.17,24.17,24.17,24.17,100,1
20200102,ACLS,10:28,24.18,24.21,24.18,24.21,24.195,200,2
20200102,ACLS,10:29,24.21,24.26,24.21,24.26,24.2225,400,4
20200102,ACLS,10:32,24.17,24.17,24.17,24.17,24.17,100,1
20200102,ACLS,10:36,24.18,24.18,24.18,24.18,24.18,100,1
20200102,ACLS,10:38,24.16,24.16,24.16,24.16,24.16,100,1
20200102,ACLS,10:39,24.16,24.16,24.16,24.16,24.16,200,1
20200102,ACLS,10:40,24.16,24.16,24.16,24.16,24.16,100,1
20200102,ACLS,10:46,24.20,24.21,24.20,24.21,24.205,200,2
20200102,ACLS,10:48,24.20,24.20,24.20,24.20,24.20,200,2
20200102,ACLS,10:56,24.20,24.26,24.20,24.26,24.20545,3120,10
20200102,ACLS,10:58,24.24,24.24,24.24,24.24,24.24,200,2
20200102,ACLS,11:00,24.25,24.27,24.25,24.27,24.255,400,4
20200102,ACLS,11:01,24.25,24.25,24.23,24.23,24.242,500,5
20200102,ACLS,11:06,24.19,24.19,24.19,24.19,24.19,100,1
20200102,ACLS,11:09,24.22,24.22,24.22,24.22,24.22,100,1
20200102,ACLS,11:12,24.26,24.26,24.26,24.26,24.26,100,1
20200102,ACLS,11:16,24.24,24.24,24.24,24.24,24.24,200,2
20200102,ACLS,11:18,24.23,24.23,24.23,24.23,24.23,100,1
20200102,ACLS,11:20,24.22,24.22,24.20,24.22,24.21531,1437,13
20200102,ACLS,11:21,24.22,24.22,24.22,24.22,24.22,350,3
20200102,ACLS,11:24,24.26,24.29,24.26,24.2750,24.273,500,5
20200102,ACLS,11:28,24.30,24.32,24.30,24.32,24.31,200,2
20200102,ACLS,11:33,24.29,24.29,24.29,24.29,24.29,300,3
20200102,ACLS,11:34,24.27,24.27,24.25,24.25,24.25714,700,4
20200102,ACLS,11:36,24.19,24.19,24.19,24.19,24.19,200,2
20200102,ACLS,11:37,24.19,24.20,24.19,24.19,24.19273,550,4
20200102,ACLS,11:41,24.2150,24.2150,24.2150,24.2150,24.215,100,1
20200102,ACLS,11:47,24.24,24.24,24.24,24.24,24.24,100,1
20200102,ACLS,11:48,24.25,24.25,24.25,24.25,24.25,100,1
20200102,ACLS,11:50,24.28,24.28,24.28,24.28,24.28,100,1
