Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ACOR,07:37,2.14,2.14,2.14,2.14,2.14,798,1
20200102,ACOR,07:38,2.17,2.17,2.17,2.17,2.17,145,1
20200102,ACOR,08:20,2.10,2.10,2.10,2.10,2.10,300,1
20200102,ACOR,08:41,2.10,2.10,2.10,2.10,2.10,100,1
20200102,ACOR,08:59,2.10,2.10,2.10,2.10,2.10,600,1
20200102,ACOR,09:07,2.11,2.12,2.08,2.08,2.1042,2190,7
20200102,ACOR,09:08,2.13,2.13,2.12,2.12,2.125,1600,3
20200102,ACOR,09:30,2.09,2.09,2.09,2.09,2.09,13213,3
20200102,ACOR,09:31,2.0950,2.1050,2.09,2.1050,2.09954,17832,22
20200102,ACOR,09:32,2.1050,2.1050,2.10,2.10,2.10023,4289,13
20200102,ACOR,09:33,2.1050,2.1050,2.09,2.09,2.09559,3854,27
20200102,ACOR,09:34,2.09,2.09,2.09,2.09,2.09,5300,8
20200102,ACOR,09:35,2.09,2.09,2.09,2.09,2.09,8300,20
20200102,ACOR,09:36,2.0950,2.0950,2.09,2.09,2.09019,2600,15
20200102,ACOR,09:37,2.09,2.10,2.09,2.09,2.09414,30399,38
20200102,ACOR,09:38,2.09,2.09,2.09,2.09,2.09,1500,13
20200102,ACOR,09:39,2.09,2.09,2.09,2.09,2.09,1700,11
20200102,ACOR,09:40,2.09,2.10,2.09,2.09,2.09088,4000,21
20200102,ACOR,09:41,2.10,2.10,2.08,2.09,2.08939,16363,57
20200102,ACOR,09:42,2.09,2.09,2.0850,2.09,2.08855,3096,16
20200102,ACOR,09:43,2.09,2.10,2.09,2.09,2.09187,16608,29
20200102,ACOR,09:44,2.09,2.09,2.09,2.09,2.09,1700,8
20200102,ACOR,09:45,2.09,2.09,2.09,2.09,2.09,1500,13
20200102,ACOR,09:46,2.0950,2.10,2.0950,2.0950,2.09696,3389,14
20200102,ACOR,09:47,2.10,2.11,2.10,2.11,2.1003,33698,27
20200102,ACOR,09:48,2.12,2.14,2.1150,2.14,2.11974,28964,43
20200102,ACOR,09:49,2.13,2.14,2.13,2.14,2.13225,11580,35
20200102,ACOR,09:50,2.1350,2.1350,2.1250,2.1250,2.12955,14518,57
20200102,ACOR,09:51,2.12,2.1250,2.12,2.1250,2.12339,2800,6
20200102,ACOR,09:55,2.13,2.13,2.13,2.13,2.13,1350,7
20200102,ACOR,09:56,2.1250,2.13,2.1250,2.13,2.1275,200,2
20200102,ACOR,09:57,2.13,2.16,2.12,2.15,2.14394,12623,37
20200102,ACOR,09:58,2.14,2.14,2.14,2.14,2.14,13590,38
20200102,ACOR,09:59,2.14,2.15,2.14,2.15,2.14168,1190,6
20200102,ACOR,10:01,2.1450,2.17,2.1450,2.17,2.15729,19970,23
20200102,ACOR,10:02,2.17,2.17,2.1650,2.17,2.16967,4500,10
20200102,ACOR,10:03,2.17,2.18,2.17,2.17,2.1702,9990,39
20200102,ACOR,10:04,2.17,2.17,2.17,2.17,2.17,7331,37
20200102,ACOR,10:06,2.17,2.17,2.16,2.16,2.16295,7656,35
20200102,ACOR,10:08,2.1650,2.1650,2.1650,2.1650,2.165,1200,4
20200102,ACOR,10:09,2.1650,2.1650,2.1650,2.1650,2.165,300,3
