Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ACTG,09:30,2.68,2.68,2.68,2.68,2.68,204,1
20200102,ACTG,09:33,2.69,2.70,2.69,2.70,2.695,200,2
20200102,ACTG,09:34,2.73,2.73,2.73,2.73,2.73,100,1
20200102,ACTG,09:35,2.72,2.72,2.72,2.72,2.72,200,2
20200102,ACTG,09:39,2.6950,2.6950,2.6950,2.6950,2.695,600,1
20200102,ACTG,09:40,2.6950,2.6950,2.6950,2.6950,2.695,800,1
20200102,ACTG,09:46,2.72,2.72,2.72,2.72,2.72,100,1
20200102,ACTG,10:10,2.72,2.72,2.72,2.72,2.72,100,1
20200102,ACTG,10:14,2.68,2.68,2.68,2.68,2.68,200,2
20200102,ACTG,10:21,2.72,2.72,2.72,2.72,2.72,100,1
20200102,ACTG,10:48,2.72,2.72,2.72,2.72,2.72,100,1
20200102,ACTG,11:14,2.72,2.72,2.72,2.72,2.72,100,1
20200102,ACTG,11:26,2.69,2.69,2.69,2.69,2.69,600,6
20200102,ACTG,11:34,2.67,2.67,2.67,2.67,2.67,100,1
20200102,ACTG,11:43,2.66,2.66,2.66,2.66,2.66,100,1
20200102,ACTG,11:48,2.67,2.67,2.67,2.67,2.67,100,1
20200102,ACTG,11:58,2.66,2.66,2.66,2.66,2.66,100,1
20200102,ACTG,12:14,2.66,2.66,2.66,2.66,2.66,1032,8
20200102,ACTG,12:34,2.66,2.66,2.66,2.66,2.66,100,1
20200102,ACTG,13:21,2.66,2.66,2.66,2.66,2.66,100,1
20200102,ACTG,13:40,2.65,2.65,2.63,2.64,2.64597,1240,11
20200102,ACTG,13:53,2.62,2.62,2.62,2.62,2.62,100,1
20200102,ACTG,14:20,2.62,2.62,2.62,2.62,2.62,200,2
20200102,ACTG,14:33,2.63,2.63,2.63,2.63,2.63,100,1
20200102,ACTG,14:34,2.64,2.64,2.64,2.64,2.64,100,1
20200102,ACTG,14:36,2.6350,2.64,2.6350,2.64,2.6375,200,2
20200102,ACTG,14:49,2.64,2.64,2.64,2.64,2.64,100,1
20200102,ACTG,14:50,2.64,2.64,2.64,2.64,2.64,100,1
20200102,ACTG,15:01,2.6350,2.6350,2.6350,2.6350,2.635,100,1
20200102,ACTG,15:07,2.63,2.6350,2.63,2.6350,2.6325,200,2
20200102,ACTG,15:09,2.6350,2.6350,2.6350,2.6350,2.635,100,1
20200102,ACTG,15:17,2.64,2.64,2.64,2.64,2.64,900,6
20200102,ACTG,15:19,2.63,2.63,2.63,2.63,2.63,100,1
20200102,ACTG,15:23,2.6350,2.6350,2.63,2.63,2.6345,1000,6
20200102,ACTG,15:40,2.6350,2.6350,2.6350,2.6350,2.635,100,1
20200102,ACTG,15:43,2.6350,2.6350,2.6350,2.6350,2.635,100,1
20200102,ACTG,15:46,2.63,2.63,2.63,2.63,2.63,100,1
20200102,ACTG,15:52,2.6350,2.6350,2.6350,2.6350,2.635,100,1
20200102,ACTG,15:54,2.6350,2.6350,2.6350,2.6350,2.635,100,1
20200102,ACTG,15:55,2.64,2.64,2.6350,2.6350,2.6375,200,2
20200102,ACTG,15:57,2.64,2.64,2.64,2.64,2.64,100,1
20200102,ACTG,15:58,2.6350,2.6350,2.63,2.63,2.63066,2257,12
20200102,ACTG,15:59,2.6250,2.63,2.62,2.63,2.62774,2023,9
20200102,ACTG,16:00,2.63,2.63,2.63,2.63,2.63,5844,1
