Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ACWX,09:30,49.50,49.51,49.49,49.51,49.50215,10216,14
20200102,ACWX,09:31,49.51,49.51,49.49,49.49,49.50415,5299,5
20200102,ACWX,09:32,49.50,49.50,49.50,49.50,49.50,1400,4
20200102,ACWX,09:33,49.50,49.53,49.50,49.53,49.51993,6184,13
20200102,ACWX,09:34,49.53,49.53,49.53,49.53,49.53,8210,20
20200102,ACWX,09:35,49.53,49.56,49.53,49.56,49.53439,8200,8
20200102,ACWX,09:36,49.56,49.56,49.56,49.56,49.56,6058,11
20200102,ACWX,09:37,49.55,49.55,49.55,49.55,49.55,300,1
20200102,ACWX,09:38,49.5450,49.55,49.5450,49.55,49.54826,2148,7
20200102,ACWX,09:39,49.5550,49.56,49.5550,49.56,49.55553,943,3
20200102,ACWX,09:40,49.57,49.57,49.56,49.56,49.56507,13800,7
20200102,ACWX,09:41,49.56,49.56,49.5550,49.56,49.55971,1743,5
20200102,ACWX,09:42,49.57,49.57,49.5650,49.5650,49.56782,8200,14
20200102,ACWX,09:43,49.56,49.56,49.56,49.56,49.56,1288,4
20200102,ACWX,09:44,49.57,49.57,49.57,49.57,49.57,2001,9
20200102,ACWX,09:45,49.57,49.57,49.57,49.57,49.57,541,1
20200102,ACWX,09:49,49.55,49.55,49.55,49.55,49.55,2500,6
20200102,ACWX,09:50,49.55,49.55,49.55,49.55,49.55,4200,7
20200102,ACWX,09:52,49.55,49.55,49.55,49.55,49.55,300,2
20200102,ACWX,09:54,49.55,49.55,49.55,49.55,49.55,118,1
20200102,ACWX,09:57,49.57,49.57,49.57,49.57,49.57,1005,4
20200102,ACWX,09:58,49.57,49.57,49.57,49.57,49.57,100,1
20200102,ACWX,09:59,49.57,49.57,49.57,49.57,49.57,200,1
20200102,ACWX,10:01,49.56,49.56,49.56,49.56,49.56,2500,2
20200102,ACWX,10:02,49.55,49.55,49.53,49.53,49.54,2700,4
20200102,ACWX,10:03,49.53,49.53,49.53,49.53,49.53,600,1
20200102,ACWX,10:10,49.54,49.54,49.54,49.54,49.54,1000,3
