Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ADAP,09:30,1.22,1.22,1.22,1.22,1.22,1561,1
20200102,ADAP,09:36,1.22,1.22,1.21,1.21,1.21935,9303,3
20200102,ADAP,09:37,1.21,1.21,1.18,1.18,1.20247,3252,7
20200102,ADAP,09:39,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADAP,09:41,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADAP,09:43,1.18,1.19,1.18,1.19,1.185,200,2
20200102,ADAP,09:44,1.19,1.19,1.19,1.19,1.19,900,1
20200102,ADAP,09:45,1.18,1.18,1.17,1.17,1.17961,2548,11
20200102,ADAP,09:49,1.16,1.16,1.16,1.16,1.16,100,1
20200102,ADAP,09:50,1.19,1.19,1.19,1.19,1.19,1600,7
20200102,ADAP,09:51,1.18,1.18,1.18,1.18,1.18,400,4
20200102,ADAP,09:52,1.1750,1.18,1.1750,1.18,1.17667,300,3
20200102,ADAP,09:54,1.1750,1.1750,1.1750,1.1750,1.175,100,1
20200102,ADAP,09:56,1.1750,1.1750,1.1750,1.1750,1.175,200,2
20200102,ADAP,09:58,1.18,1.19,1.18,1.1850,1.1891,4438,19
20200102,ADAP,10:05,1.16,1.17,1.16,1.17,1.165,200,2
20200102,ADAP,10:07,1.16,1.16,1.16,1.16,1.16,300,2
20200102,ADAP,10:08,1.16,1.16,1.16,1.16,1.16,300,3
20200102,ADAP,10:09,1.16,1.16,1.16,1.16,1.16,400,2
20200102,ADAP,10:10,1.16,1.16,1.16,1.16,1.16,100,1
20200102,ADAP,10:12,1.16,1.16,1.16,1.16,1.16,1100,3
20200102,ADAP,10:13,1.16,1.16,1.16,1.16,1.16,4265,4
20200102,ADAP,10:14,1.16,1.16,1.16,1.16,1.16,100,1
20200102,ADAP,10:22,1.1550,1.16,1.1550,1.1550,1.15971,3503,10
20200102,ADAP,10:27,1.1550,1.1550,1.1550,1.1550,1.155,200,1
20200102,ADAP,10:39,1.16,1.16,1.16,1.16,1.16,500,4
20200102,ADAP,10:42,1.1550,1.1550,1.1550,1.1550,1.155,200,2
20200102,ADAP,10:43,1.1550,1.1550,1.1550,1.1550,1.155,200,2
20200102,ADAP,10:45,1.1550,1.1550,1.1550,1.1550,1.155,200,2
20200102,ADAP,10:55,1.1550,1.16,1.1550,1.1550,1.15944,4480,23
20200102,ADAP,10:56,1.15,1.16,1.15,1.16,1.155,200,2
20200102,ADAP,10:57,1.16,1.16,1.16,1.16,1.16,900,6
20200102,ADAP,10:59,1.16,1.16,1.16,1.16,1.16,700,6
20200102,ADAP,11:01,1.16,1.17,1.16,1.17,1.16875,4790,19
20200102,ADAP,11:03,1.1650,1.1650,1.1650,1.1650,1.165,100,1
20200102,ADAP,11:04,1.1650,1.1650,1.1650,1.1650,1.165,100,1
20200102,ADAP,11:05,1.1650,1.1650,1.1650,1.1650,1.165,100,1
20200102,ADAP,11:06,1.17,1.17,1.17,1.17,1.17,400,4
20200102,ADAP,11:07,1.16,1.16,1.1550,1.1550,1.15959,1231,8
20200102,ADAP,11:08,1.15,1.16,1.15,1.16,1.15917,1200,9
20200102,ADAP,11:09,1.1550,1.1650,1.1550,1.16,1.16,3895,10
20200102,ADAP,11:10,1.16,1.16,1.16,1.16,1.16,100,1
20200102,ADAP,11:27,1.16,1.16,1.1550,1.1550,1.15833,300,3
20200102,ADAP,11:28,1.15,1.15,1.15,1.15,1.15,100,1
20200102,ADAP,11:31,1.1550,1.1550,1.1550,1.1550,1.155,100,1
20200102,ADAP,11:32,1.15,1.15,1.15,1.15,1.15,100,1
20200102,ADAP,11:36,1.15,1.15,1.15,1.15,1.15,100,1
20200102,ADAP,11:37,1.1550,1.16,1.1550,1.16,1.15946,3700,10
20200102,ADAP,11:39,1.15,1.15,1.15,1.15,1.15,100,1
20200102,ADAP,11:46,1.15,1.15,1.15,1.15,1.15,100,1
20200102,ADAP,11:49,1.15,1.15,1.15,1.15,1.15,2700,1
20200102,ADAP,11:51,1.15,1.15,1.15,1.15,1.15,100,1
20200102,ADAP,11:54,1.1550,1.1550,1.1550,1.1550,1.155,100,1
20200102,ADAP,11:55,1.1550,1.1550,1.1550,1.1550,1.155,100,1
20200102,ADAP,11:56,1.16,1.16,1.1550,1.16,1.15921,2459,10
20200102,ADAP,12:02,1.15,1.15,1.15,1.15,1.15,3000,1
