Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ADIL,09:30,2.53,2.53,2.53,2.53,2.53,1130,1
20200102,ADIL,09:42,2.50,2.50,2.50,2.50,2.50,2500,1
20200102,ADIL,09:51,2.48,2.48,2.48,2.48,2.48,400,1
20200102,ADIL,11:15,2.44,2.44,2.44,2.44,2.44,100,1
20200102,ADIL,11:25,2.43,2.43,2.40,2.42,2.42264,2656,15
20200102,ADIL,11:31,2.43,2.43,2.42,2.42,2.42111,900,4
20200102,ADIL,11:37,2.42,2.43,2.42,2.42,2.42083,2400,7
20200102,ADIL,11:39,2.44,2.44,2.44,2.44,2.44,200,2
20200102,ADIL,11:46,2.44,2.44,2.44,2.44,2.44,200,2
20200102,ADIL,13:11,2.43,2.43,2.43,2.43,2.43,100,1
20200102,ADIL,13:21,2.40,2.4150,2.40,2.41,2.40628,398,3
20200102,ADIL,13:22,2.39,2.3950,2.39,2.3950,2.3915,334,2
20200102,ADIL,13:25,2.39,2.39,2.39,2.39,2.39,100,1
20200102,ADIL,13:34,2.39,2.39,2.39,2.39,2.39,500,3
20200102,ADIL,13:36,2.38,2.38,2.38,2.38,2.38,684,3
20200102,ADIL,14:01,2.39,2.40,2.39,2.40,2.39063,1600,16
20200102,ADIL,14:16,2.42,2.4350,2.42,2.43,2.42967,10020,11
20200102,ADIL,14:19,2.44,2.44,2.44,2.44,2.44,300,1
20200102,ADIL,14:20,2.4350,2.4350,2.43,2.43,2.43417,719,7
20200102,ADIL,14:33,2.4350,2.4350,2.43,2.43,2.433,500,4
20200102,ADIL,14:38,2.44,2.44,2.44,2.44,2.44,100,1
20200102,ADIL,15:08,2.43,2.43,2.43,2.43,2.43,700,2
20200102,ADIL,15:45,2.4350,2.4350,2.43,2.43,2.43025,1991,3
20200102,ADIL,16:00,2.44,2.44,2.44,2.44,2.44,262,1
