Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ADMA,08:59,4.15,4.15,4.15,4.15,4.15,238,1
20200102,ADMA,09:30,4.04,4.04,4.04,4.04,4.04,3294,1
20200102,ADMA,09:33,4.02,4.02,4.01,4.01,4.01863,1462,12
20200102,ADMA,09:34,4.02,4.02,4.01,4.01,4.01603,252,2
20200102,ADMA,09:35,4.01,4.01,4.00,4.00,4.00634,4089,12
20200102,ADMA,09:36,3.99,4.00,3.98,4.00,3.99006,3661,32
20200102,ADMA,09:38,4.01,4.01,4.01,4.01,4.01,260,2
20200102,ADMA,09:42,3.98,3.98,3.97,3.97,3.9775,400,4
20200102,ADMA,09:46,3.97,3.98,3.97,3.97,3.97138,1518,7
20200102,ADMA,09:47,3.97,3.99,3.96,3.99,3.98058,3497,20
20200102,ADMA,09:51,3.99,3.99,3.99,3.99,3.99,3037,20
20200102,ADMA,09:52,3.98,3.98,3.98,3.98,3.98,100,1
20200102,ADMA,09:53,3.98,3.99,3.98,3.98,3.98039,6400,8
20200102,ADMA,09:55,3.98,3.99,3.98,3.99,3.98865,1041,5
20200102,ADMA,09:57,3.9950,3.9950,3.9950,3.9950,3.995,100,1
20200102,ADMA,09:58,3.99,3.99,3.98,3.98,3.98833,600,3
20200102,ADMA,09:59,3.98,3.98,3.98,3.98,3.98,401,2
20200102,ADMA,10:00,3.98,3.98,3.98,3.98,3.98,300,3
20200102,ADMA,10:01,3.98,3.98,3.98,3.98,3.98,3142,9
20200102,ADMA,10:02,3.98,3.98,3.98,3.98,3.98,3900,7
20200102,ADMA,10:03,3.98,3.98,3.98,3.98,3.98,400,3
20200102,ADMA,10:04,3.98,3.9850,3.98,3.9850,3.98179,280,2
20200102,ADMA,10:05,3.98,3.98,3.98,3.98,3.98,350,3
20200102,ADMA,10:07,3.98,3.98,3.98,3.98,3.98,238,2
20200102,ADMA,10:08,3.98,3.98,3.95,3.95,3.97833,37447,43
20200102,ADMA,10:09,3.9550,3.9550,3.93,3.94,3.94794,11906,27
20200102,ADMA,10:10,3.93,3.93,3.92,3.92,3.92192,2081,14
20200102,ADMA,10:11,3.92,3.93,3.92,3.92,3.92087,1146,7
20200102,ADMA,10:12,3.93,3.94,3.93,3.94,3.93115,1300,12
20200102,ADMA,10:14,3.94,3.94,3.94,3.94,3.94,100,1
20200102,ADMA,10:15,3.94,3.95,3.94,3.95,3.94167,1320,9
20200102,ADMA,10:18,3.95,3.96,3.95,3.96,3.95388,1879,14
20200102,ADMA,10:19,3.9550,3.96,3.9550,3.96,3.956,500,5
20200102,ADMA,10:25,3.95,3.95,3.95,3.95,3.95,100,1
20200102,ADMA,10:26,3.94,3.95,3.93,3.9350,3.93895,1900,16
20200102,ADMA,10:27,3.93,3.93,3.93,3.93,3.93,100,1
20200102,ADMA,10:28,3.93,3.93,3.93,3.93,3.93,100,1
20200102,ADMA,10:29,3.93,3.93,3.93,3.93,3.93,100,1
20200102,ADMA,10:31,3.93,3.93,3.93,3.93,3.93,1000,7
20200102,ADMA,10:32,3.93,3.93,3.93,3.93,3.93,2611,14
20200102,ADMA,10:33,3.92,3.92,3.92,3.92,3.92,100,1
20200102,ADMA,10:35,3.93,3.93,3.93,3.93,3.93,100,1
20200102,ADMA,10:36,3.92,3.92,3.92,3.92,3.92,100,1
20200102,ADMA,10:37,3.93,3.93,3.93,3.93,3.93,2000,8
20200102,ADMA,10:38,3.93,3.94,3.93,3.94,3.9351,4800,30
20200102,ADMA,10:39,3.94,3.94,3.9350,3.94,3.93833,300,3
20200102,ADMA,10:41,3.9450,3.9450,3.9450,3.9450,3.945,100,1
20200102,ADMA,10:42,3.94,3.94,3.93,3.94,3.93738,3052,28
20200102,ADMA,10:43,3.94,3.94,3.94,3.94,3.94,100,1
20200102,ADMA,10:44,3.93,3.93,3.93,3.93,3.93,200,2
20200102,ADMA,10:45,3.93,3.93,3.93,3.93,3.93,1700,12
20200102,ADMA,10:47,3.94,3.94,3.94,3.94,3.94,100,1
20200102,ADMA,10:49,3.93,3.93,3.93,3.93,3.93,200,1
20200102,ADMA,10:50,3.93,3.93,3.93,3.93,3.93,789,3
20200102,ADMA,10:51,3.92,3.92,3.91,3.91,3.91981,5292,14
20200102,ADMA,10:52,3.91,3.92,3.91,3.92,3.91786,700,6
20200102,ADMA,10:55,3.92,3.92,3.92,3.92,3.92,1100,9
20200102,ADMA,10:56,3.93,3.93,3.93,3.93,3.93,300,3
20200102,ADMA,10:58,3.93,3.95,3.93,3.9450,3.93958,2369,20
20200102,ADMA,11:00,3.94,3.94,3.94,3.94,3.94,100,1
