Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ADMS,09:01,3.84,3.85,3.84,3.85,3.84889,900,2
20200102,ADMS,09:03,3.97,4.05,3.97,4.05,3.98494,863,3
20200102,ADMS,09:04,4.10,4.15,4.10,4.12,4.11171,13723,11
20200102,ADMS,09:05,4.20,4.21,4.20,4.21,4.20513,390,2
20200102,ADMS,09:06,4.20,4.21,4.12,4.21,4.19568,4400,8
20200102,ADMS,09:07,4.12,4.21,4.09,4.20,4.15761,4600,10
20200102,ADMS,09:08,4.20,4.20,4.20,4.20,4.20,200,1
20200102,ADMS,09:09,4.15,4.15,4.15,4.15,4.15,2200,5
20200102,ADMS,09:10,4.15,4.15,4.15,4.15,4.15,700,7
20200102,ADMS,09:11,4.17,4.18,4.15,4.18,4.16588,1700,5
20200102,ADMS,09:12,4.17,4.26,4.17,4.24,4.21687,4150,9
20200102,ADMS,09:13,4.24,4.30,4.20,4.30,4.26432,4802,11
20200102,ADMS,09:14,4.29,4.40,4.29,4.40,4.32488,4991,11
20200102,ADMS,09:16,4.40,4.40,4.40,4.40,4.40,200,1
20200102,ADMS,09:17,4.40,4.40,4.29,4.29,4.35578,11903,20
20200102,ADMS,09:18,4.30,4.30,4.30,4.30,4.30,1000,1
20200102,ADMS,09:19,4.33,4.34,4.28,4.28,4.30832,7098,11
20200102,ADMS,09:20,4.19,4.19,4.19,4.19,4.19,100,1
20200102,ADMS,09:22,4.20,4.20,4.20,4.20,4.20,100,1
20200102,ADMS,09:26,4.22,4.23,4.22,4.23,4.22103,970,3
20200102,ADMS,09:27,4.25,4.25,4.22,4.22,4.23,300,3
20200102,ADMS,09:28,4.20,4.22,4.17,4.22,4.21593,25893,110
20200102,ADMS,09:29,4.06,4.06,4.06,4.06,4.06,198,1
20200102,ADMS,09:30,4.16,4.30,4.16,4.21,4.19376,38199,71
