Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ADRO,09:30,1.22,1.22,1.22,1.22,1.22,6853,1
20200102,ADRO,09:32,1.20,1.20,1.19,1.20,1.1957,3717,10
20200102,ADRO,09:33,1.19,1.20,1.18,1.19,1.18931,10100,32
20200102,ADRO,09:34,1.20,1.20,1.20,1.20,1.20,100,1
20200102,ADRO,09:35,1.19,1.19,1.19,1.19,1.19,451,4
20200102,ADRO,09:36,1.19,1.22,1.19,1.22,1.19439,1824,10
20200102,ADRO,09:37,1.22,1.22,1.22,1.22,1.22,100,1
20200102,ADRO,09:39,1.22,1.22,1.22,1.22,1.22,100,1
20200102,ADRO,09:40,1.21,1.21,1.21,1.21,1.21,100,1
20200102,ADRO,09:41,1.20,1.20,1.20,1.20,1.20,2812,10
20200102,ADRO,09:42,1.20,1.20,1.19,1.19,1.191,1000,7
20200102,ADRO,09:44,1.18,1.18,1.18,1.18,1.18,1987,8
20200102,ADRO,09:45,1.19,1.19,1.19,1.19,1.19,100,1
20200102,ADRO,09:46,1.19,1.19,1.19,1.19,1.19,100,1
20200102,ADRO,09:47,1.19,1.19,1.19,1.19,1.19,300,2
20200102,ADRO,09:49,1.19,1.19,1.19,1.19,1.19,100,1
20200102,ADRO,09:50,1.19,1.19,1.19,1.19,1.19,200,2
20200102,ADRO,09:53,1.19,1.19,1.19,1.19,1.19,400,4
20200102,ADRO,09:54,1.19,1.19,1.19,1.19,1.19,100,1
20200102,ADRO,09:55,1.19,1.19,1.19,1.19,1.19,253,2
20200102,ADRO,09:56,1.1950,1.1950,1.1950,1.1950,1.195,100,1
20200102,ADRO,10:10,1.20,1.20,1.20,1.20,1.20,200,1
20200102,ADRO,10:12,1.19,1.19,1.19,1.19,1.19,539,4
20200102,ADRO,10:13,1.19,1.19,1.19,1.19,1.19,739,2
20200102,ADRO,10:14,1.19,1.19,1.19,1.19,1.19,600,6
20200102,ADRO,10:15,1.19,1.19,1.17,1.17,1.18758,10688,26
20200102,ADRO,10:16,1.17,1.17,1.16,1.17,1.16939,4900,22
20200102,ADRO,10:17,1.17,1.18,1.17,1.18,1.17916,6543,36
20200102,ADRO,10:18,1.18,1.18,1.18,1.18,1.18,400,3
20200102,ADRO,10:19,1.1850,1.1850,1.18,1.18,1.1805,1000,7
20200102,ADRO,10:20,1.18,1.18,1.18,1.18,1.18,200,1
20200102,ADRO,10:21,1.18,1.18,1.18,1.18,1.18,200,1
20200102,ADRO,10:22,1.18,1.18,1.18,1.18,1.18,400,4
20200102,ADRO,10:24,1.18,1.18,1.18,1.18,1.18,300,2
20200102,ADRO,10:25,1.18,1.18,1.18,1.18,1.18,222,2
20200102,ADRO,10:28,1.1750,1.1750,1.1750,1.1750,1.175,100,1
20200102,ADRO,10:29,1.18,1.18,1.18,1.18,1.18,300,2
20200102,ADRO,10:31,1.18,1.18,1.1750,1.1750,1.176,500,4
20200102,ADRO,10:32,1.1750,1.18,1.17,1.17,1.17495,554,3
20200102,ADRO,10:33,1.18,1.18,1.18,1.18,1.18,344,2
20200102,ADRO,10:34,1.18,1.18,1.1750,1.1750,1.1775,400,3
20200102,ADRO,10:35,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,10:36,1.18,1.18,1.1750,1.1750,1.17796,676,6
20200102,ADRO,10:37,1.1750,1.1750,1.1750,1.1750,1.175,100,1
20200102,ADRO,10:38,1.18,1.18,1.18,1.18,1.18,300,3
20200102,ADRO,10:39,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,10:40,1.18,1.18,1.18,1.18,1.18,400,4
20200102,ADRO,10:41,1.18,1.18,1.1750,1.1750,1.1775,200,2
20200102,ADRO,10:42,1.18,1.18,1.18,1.18,1.18,500,4
20200102,ADRO,10:43,1.18,1.18,1.18,1.18,1.18,300,3
20200102,ADRO,10:45,1.18,1.18,1.18,1.18,1.18,600,5
20200102,ADRO,10:47,1.18,1.18,1.1750,1.1750,1.179,500,5
20200102,ADRO,10:48,1.1750,1.18,1.1750,1.18,1.17667,300,3
20200102,ADRO,10:49,1.18,1.18,1.18,1.18,1.18,600,5
20200102,ADRO,10:50,1.18,1.18,1.18,1.18,1.18,200,2
20200102,ADRO,10:51,1.18,1.18,1.18,1.18,1.18,300,2
20200102,ADRO,10:52,1.18,1.18,1.1750,1.18,1.17938,800,7
20200102,ADRO,10:53,1.18,1.18,1.18,1.18,1.18,120,1
20200102,ADRO,10:54,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,10:55,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,10:57,1.1750,1.18,1.1750,1.18,1.17875,400,4
20200102,ADRO,10:58,1.1750,1.18,1.1750,1.18,1.17625,400,3
20200102,ADRO,10:59,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,11:00,1.18,1.18,1.1750,1.18,1.17955,1100,11
20200102,ADRO,11:01,1.1750,1.18,1.1750,1.18,1.17833,300,3
20200102,ADRO,11:03,1.18,1.18,1.18,1.18,1.18,300,3
20200102,ADRO,11:04,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,11:05,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,11:07,1.1750,1.18,1.1750,1.18,1.17833,300,3
20200102,ADRO,11:08,1.18,1.18,1.18,1.18,1.18,200,2
20200102,ADRO,11:10,1.18,1.18,1.1750,1.18,1.17581,1240,7
20200102,ADRO,11:11,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,11:12,1.1750,1.1750,1.1750,1.1750,1.175,360,2
20200102,ADRO,11:13,1.18,1.18,1.18,1.18,1.18,300,3
20200102,ADRO,11:14,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,11:15,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,11:16,1.18,1.18,1.18,1.18,1.18,200,2
20200102,ADRO,11:17,1.18,1.18,1.1750,1.1750,1.1775,200,2
20200102,ADRO,11:18,1.1750,1.18,1.1750,1.18,1.1775,200,2
20200102,ADRO,11:21,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,11:22,1.18,1.18,1.18,1.18,1.18,200,2
20200102,ADRO,11:23,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,11:25,1.18,1.18,1.18,1.18,1.18,200,1
20200102,ADRO,11:26,1.18,1.18,1.18,1.18,1.18,400,3
20200102,ADRO,11:27,1.18,1.18,1.1750,1.18,1.17917,600,6
20200102,ADRO,11:28,1.18,1.18,1.18,1.18,1.18,199,1
20200102,ADRO,11:29,1.1750,1.1750,1.1750,1.1750,1.175,200,1
20200102,ADRO,11:30,1.17,1.17,1.17,1.17,1.17,1607,10
20200102,ADRO,11:32,1.17,1.17,1.17,1.17,1.17,200,2
20200102,ADRO,11:33,1.17,1.17,1.17,1.17,1.17,100,1
20200102,ADRO,11:34,1.17,1.17,1.17,1.17,1.17,100,1
20200102,ADRO,11:35,1.17,1.18,1.17,1.17,1.172,500,5
20200102,ADRO,11:37,1.17,1.17,1.17,1.17,1.17,1010,5
20200102,ADRO,11:38,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,11:40,1.1750,1.1750,1.1750,1.1750,1.175,100,1
20200102,ADRO,11:41,1.1750,1.18,1.1750,1.18,1.1775,200,2
20200102,ADRO,11:43,1.17,1.17,1.17,1.17,1.17,900,8
20200102,ADRO,11:44,1.1750,1.1750,1.17,1.17,1.17167,300,2
20200102,ADRO,11:46,1.17,1.17,1.17,1.17,1.17,155,1
20200102,ADRO,11:47,1.17,1.17,1.17,1.17,1.17,201,2
20200102,ADRO,11:48,1.17,1.18,1.17,1.17,1.1725,400,4
20200102,ADRO,11:49,1.17,1.17,1.17,1.17,1.17,400,4
20200102,ADRO,11:50,1.17,1.1750,1.17,1.17,1.1705,1000,8
20200102,ADRO,11:52,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,11:55,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,11:56,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,11:58,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,12:00,1.18,1.18,1.1750,1.1750,1.1775,200,2
20200102,ADRO,12:01,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,12:03,1.1750,1.1750,1.17,1.17,1.17083,600,6
20200102,ADRO,12:04,1.17,1.18,1.17,1.17,1.1725,400,4
20200102,ADRO,12:05,1.17,1.17,1.17,1.17,1.17,100,1
20200102,ADRO,12:06,1.18,1.18,1.18,1.18,1.18,200,2
20200102,ADRO,12:07,1.18,1.18,1.1750,1.1750,1.17932,1476,8
20200102,ADRO,12:09,1.18,1.18,1.1750,1.18,1.17718,3675,14
20200102,ADRO,12:10,1.18,1.18,1.18,1.18,1.18,200,1
20200102,ADRO,12:11,1.18,1.18,1.18,1.18,1.18,300,3
20200102,ADRO,12:12,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,12:13,1.18,1.18,1.1750,1.1750,1.17583,600,6
20200102,ADRO,12:15,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,12:16,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,12:18,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,12:20,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,12:21,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,12:23,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,12:25,1.17,1.18,1.17,1.18,1.17083,1200,6
20200102,ADRO,12:28,1.17,1.17,1.17,1.17,1.17,200,1
20200102,ADRO,12:33,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,12:36,1.18,1.18,1.17,1.17,1.17167,600,5
20200102,ADRO,12:38,1.17,1.17,1.17,1.17,1.17,1000,8
20200102,ADRO,12:39,1.17,1.17,1.17,1.17,1.17,300,3
20200102,ADRO,12:40,1.17,1.17,1.17,1.17,1.17,1029,6
20200102,ADRO,12:41,1.17,1.17,1.17,1.17,1.17,282,2
20200102,ADRO,12:42,1.17,1.17,1.17,1.17,1.17,300,2
20200102,ADRO,12:43,1.17,1.17,1.17,1.17,1.17,1443,5
20200102,ADRO,12:44,1.17,1.17,1.17,1.17,1.17,700,5
20200102,ADRO,12:45,1.17,1.17,1.17,1.17,1.17,800,6
20200102,ADRO,12:46,1.17,1.17,1.17,1.17,1.17,400,3
20200102,ADRO,12:47,1.17,1.18,1.17,1.17,1.17388,899,8
20200102,ADRO,12:48,1.17,1.17,1.17,1.17,1.17,500,5
20200102,ADRO,12:49,1.17,1.17,1.17,1.17,1.17,500,5
20200102,ADRO,12:54,1.17,1.17,1.17,1.17,1.17,100,1
20200102,ADRO,12:58,1.18,1.18,1.1750,1.1750,1.17839,13931,40
20200102,ADRO,12:59,1.1750,1.18,1.1750,1.18,1.17692,600,4
20200102,ADRO,13:00,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,13:01,1.18,1.18,1.18,1.18,1.18,200,2
20200102,ADRO,13:02,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,13:03,1.1750,1.1750,1.1750,1.1750,1.175,100,1
20200102,ADRO,13:05,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,13:09,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,13:10,1.18,1.18,1.1750,1.1750,1.17667,300,3
20200102,ADRO,13:11,1.18,1.18,1.1750,1.1750,1.1775,200,2
20200102,ADRO,13:12,1.18,1.18,1.18,1.18,1.18,200,2
20200102,ADRO,13:13,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,13:14,1.18,1.18,1.18,1.18,1.18,200,2
20200102,ADRO,13:15,1.1750,1.1750,1.1750,1.1750,1.175,200,1
20200102,ADRO,13:16,1.18,1.18,1.18,1.18,1.18,200,2
20200102,ADRO,13:17,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,13:19,1.18,1.18,1.1750,1.1750,1.177,500,3
20200102,ADRO,13:22,1.18,1.18,1.18,1.18,1.18,1610,13
20200102,ADRO,13:23,1.18,1.18,1.1750,1.18,1.17978,2300,23
20200102,ADRO,13:24,1.18,1.18,1.18,1.18,1.18,200,2
20200102,ADRO,13:26,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,13:27,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,13:29,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,13:30,1.18,1.18,1.18,1.18,1.18,100,1
20200102,ADRO,13:31,1.17,1.17,1.17,1.17,1.17,2301,10
20200102,ADRO,13:32,1.17,1.17,1.17,1.17,1.17,100,1
