Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ADS,09:29,113.35,113.35,113.35,113.35,113.35,200,2
20200102,ADS,09:30,113.46,113.46,113.46,113.46,113.46,5348,1
20200102,ADS,09:32,113.92,113.92,113.77,113.81,113.81703,404,4
20200102,ADS,09:33,113.94,114.49,113.94,114.03,114.16184,1493,11
20200102,ADS,09:34,114.29,114.43,113.89,114.25,114.34734,1246,10
20200102,ADS,09:35,113.9050,113.9050,113.9050,113.9050,113.905,100,1
20200102,ADS,09:36,113.85,113.85,113.85,113.85,113.85,100,1
20200102,ADS,09:37,113.76,114.18,113.55,114.17,113.84973,3699,35
20200102,ADS,09:38,114.07,114.14,113.80,113.83,113.91822,1141,11
20200102,ADS,09:40,113.6650,113.98,113.6650,113.98,113.80167,300,3
20200102,ADS,09:42,113.69,113.76,113.64,113.64,113.67667,600,5
20200102,ADS,09:43,113.59,113.60,113.50,113.52,113.5425,800,8
20200102,ADS,09:44,113.40,113.41,113.22,113.22,113.35959,2614,23
20200102,ADS,09:45,113.36,113.37,113.27,113.29,113.32398,5127,48
20200102,ADS,09:46,113.21,113.24,113.06,113.11,113.17762,715,6
20200102,ADS,09:47,112.88,112.88,112.71,112.71,112.78,300,3
20200102,ADS,09:48,112.80,112.80,112.59,112.59,112.695,200,2
20200102,ADS,09:49,112.69,113.06,112.69,113.06,112.86765,2323,23
20200102,ADS,09:50,112.91,112.91,112.62,112.67,112.78975,632,5
20200102,ADS,09:52,112.45,112.72,112.45,112.70,112.59096,1186,10
20200102,ADS,09:53,112.72,112.72,112.62,112.62,112.66367,229,2
20200102,ADS,09:55,112.58,112.58,112.40,112.5350,112.51929,700,7
20200102,ADS,09:56,112.42,112.54,112.30,112.54,112.415,1000,10
20200102,ADS,09:57,112.3450,112.3450,112.3450,112.3450,112.345,100,1
20200102,ADS,09:59,112.46,112.59,112.46,112.55,112.534,500,5
20200102,ADS,10:00,112.71,112.74,112.5850,112.5850,112.67227,1100,11
20200102,ADS,10:01,112.56,112.56,112.56,112.56,112.56,100,1
20200102,ADS,10:03,112.54,112.54,112.35,112.35,112.412,500,4
20200102,ADS,10:04,112.30,112.44,112.30,112.42,112.33714,1400,12
20200102,ADS,10:05,112.29,112.29,112.26,112.26,112.2825,400,4
20200102,ADS,10:06,112.34,112.34,112.34,112.34,112.34,100,1
20200102,ADS,10:07,112.29,112.29,112.29,112.29,112.29,100,1
20200102,ADS,10:08,112.29,112.29,112.22,112.22,112.25143,700,7
20200102,ADS,10:09,112.26,112.37,112.26,112.37,112.318,500,5
20200102,ADS,10:11,112.35,112.35,112.35,112.35,112.35,100,1
20200102,ADS,10:12,112.22,112.22,112.01,112.01,112.12126,1114,10
20200102,ADS,10:13,112.07,112.07,112.07,112.07,112.07,100,1
