Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ADTN,09:30,9.99,9.99,9.99,9.99,9.99,1608,1
20200102,ADTN,09:33,9.99,9.99,9.99,9.99,9.99,200,2
20200102,ADTN,09:34,10.00,10.04,10.00,10.04,10.0123,488,3
20200102,ADTN,09:35,10.07,10.07,10.07,10.07,10.07,405,4
20200102,ADTN,09:37,10.09,10.09,10.06,10.06,10.07286,350,3
20200102,ADTN,09:40,10.08,10.08,10.08,10.08,10.08,100,1
20200102,ADTN,09:44,10.11,10.11,10.10,10.10,10.1025,400,4
20200102,ADTN,09:45,10.10,10.10,10.0750,10.0750,10.09028,463,4
20200102,ADTN,09:47,10.06,10.06,10.06,10.06,10.06,200,2
20200102,ADTN,09:49,10.05,10.05,10.04,10.04,10.045,200,2
20200102,ADTN,09:50,10.02,10.02,10.02,10.02,10.02,100,1
20200102,ADTN,09:54,10.00,10.04,10.00,10.04,10.0175,800,8
20200102,ADTN,09:55,10.0450,10.0450,10.03,10.03,10.04,300,3
20200102,ADTN,09:58,10.06,10.06,10.06,10.06,10.06,100,1
20200102,ADTN,09:59,10.05,10.05,10.05,10.05,10.05,100,1
20200102,ADTN,10:00,10.05,10.05,10.04,10.04,10.044,500,4
20200102,ADTN,10:06,10.04,10.04,10.04,10.04,10.04,500,4
20200102,ADTN,10:08,10.04,10.04,10.04,10.04,10.04,100,1
20200102,ADTN,10:10,10.04,10.04,10.04,10.04,10.04,100,1
20200102,ADTN,10:11,10.03,10.03,9.99,10.01,10.00509,2162,20
20200102,ADTN,10:12,10.01,10.01,10.00,10.00,10.00875,800,5
20200102,ADTN,10:14,9.98,9.98,9.98,9.98,9.98,200,2
20200102,ADTN,10:18,9.98,9.98,9.98,9.98,9.98,300,3
20200102,ADTN,10:19,9.98,9.98,9.96,9.96,9.968,500,4
20200102,ADTN,10:20,9.97,9.97,9.97,9.97,9.97,100,1
20200102,ADTN,10:23,9.95,9.96,9.95,9.96,9.95667,300,2
20200102,ADTN,10:24,9.95,9.95,9.95,9.95,9.95,518,4
20200102,ADTN,10:32,9.93,9.93,9.93,9.93,9.93,100,1
20200102,ADTN,10:33,9.93,9.93,9.93,9.93,9.93,226,2
20200102,ADTN,10:34,9.93,9.93,9.93,9.93,9.93,100,1
20200102,ADTN,10:37,9.94,9.94,9.94,9.94,9.94,100,1
20200102,ADTN,10:40,9.95,9.95,9.95,9.95,9.95,100,1
20200102,ADTN,10:42,9.97,9.97,9.97,9.97,9.97,200,2
20200102,ADTN,10:48,9.97,9.97,9.96,9.96,9.965,200,2
20200102,ADTN,10:54,10.00,10.00,10.00,10.00,10.00,100,1
20200102,ADTN,10:57,10.01,10.01,10.01,10.01,10.01,695,4
20200102,ADTN,10:59,10.00,10.01,10.00,10.01,10.006,500,5
20200102,ADTN,11:09,9.99,9.99,9.99,9.99,9.99,400,4
20200102,ADTN,11:13,10.00,10.00,10.00,10.00,10.00,200,2
20200102,ADTN,11:17,10.00,10.00,9.99,9.99,9.9925,400,3
20200102,ADTN,11:18,9.9950,9.9950,9.9950,9.9950,9.995,100,1
20200102,ADTN,11:19,9.99,9.99,9.9850,9.9850,9.9875,200,2
20200102,ADTN,11:20,9.98,9.98,9.98,9.98,9.98,100,1
20200102,ADTN,11:22,9.9750,9.9750,9.9750,9.9750,9.975,100,1
20200102,ADTN,11:23,9.9750,9.9750,9.9750,9.9750,9.975,100,1
20200102,ADTN,11:25,9.98,9.99,9.98,9.99,9.98246,406,4
20200102,ADTN,11:28,9.98,9.98,9.98,9.98,9.98,300,3
20200102,ADTN,11:29,9.9650,9.9650,9.9650,9.9650,9.965,100,1
20200102,ADTN,11:30,9.95,9.95,9.95,9.95,9.95,100,1
20200102,ADTN,11:32,9.95,9.95,9.95,9.95,9.95,100,1
20200102,ADTN,11:33,9.9450,9.9450,9.9450,9.9450,9.945,100,1
20200102,ADTN,11:35,9.94,9.94,9.94,9.94,9.94,433,4
20200102,ADTN,11:36,9.91,9.91,9.91,9.91,9.91,100,1
20200102,ADTN,11:38,9.91,9.91,9.91,9.91,9.91,600,4
20200102,ADTN,11:42,9.94,9.94,9.94,9.94,9.94,100,1
20200102,ADTN,11:43,9.94,9.94,9.94,9.94,9.94,200,2
20200102,ADTN,11:49,9.95,9.95,9.95,9.95,9.95,100,1
20200102,ADTN,11:50,9.95,9.95,9.95,9.95,9.95,800,8
20200102,ADTN,11:56,9.9550,9.9550,9.9550,9.9550,9.955,100,1
20200102,ADTN,11:59,9.96,9.96,9.96,9.96,9.96,300,3
20200102,ADTN,12:01,9.97,9.97,9.97,9.97,9.97,200,2
20200102,ADTN,12:03,9.98,9.98,9.98,9.98,9.98,100,1
20200102,ADTN,12:05,9.97,9.97,9.97,9.97,9.97,300,2
20200102,ADTN,12:06,9.97,9.97,9.97,9.97,9.97,100,1
20200102,ADTN,12:09,9.96,9.96,9.96,9.96,9.96,300,3
20200102,ADTN,12:27,9.96,9.96,9.96,9.96,9.96,100,1
20200102,ADTN,12:30,9.95,9.95,9.95,9.95,9.95,100,1
20200102,ADTN,12:34,9.95,9.95,9.95,9.95,9.95,1657,13
20200102,ADTN,12:37,9.95,9.95,9.95,9.95,9.95,200,2
20200102,ADTN,12:52,9.96,9.96,9.96,9.96,9.96,300,3
20200102,ADTN,12:53,9.98,9.98,9.98,9.98,9.98,100,1
20200102,ADTN,12:54,9.98,9.98,9.98,9.98,9.98,500,5
20200102,ADTN,12:59,9.98,9.98,9.98,9.98,9.98,400,4
20200102,ADTN,13:01,9.98,9.98,9.98,9.98,9.98,200,2
20200102,ADTN,13:10,9.98,9.98,9.98,9.98,9.98,200,2
20200102,ADTN,13:16,9.97,9.98,9.97,9.98,9.97667,300,3
20200102,ADTN,13:19,9.98,9.98,9.98,9.98,9.98,400,3
20200102,ADTN,13:24,9.99,9.99,9.99,9.99,9.99,700,5
20200102,ADTN,13:25,9.99,9.99,9.99,9.99,9.99,100,1
20200102,ADTN,13:27,9.9950,9.9950,9.9950,9.9950,9.995,100,1
20200102,ADTN,13:29,9.99,10.00,9.99,10.00,9.99769,1300,13
20200102,ADTN,13:30,10.00,10.00,10.00,10.00,10.00,100,1
20200102,ADTN,13:34,9.99,10.00,9.99,10.00,9.99875,800,6
20200102,ADTN,13:36,9.99,10.00,9.99,10.00,9.99847,654,5
20200102,ADTN,13:42,9.99,9.99,9.98,9.98,9.985,400,4
20200102,ADTN,13:47,9.97,9.97,9.97,9.97,9.97,100,1
20200102,ADTN,13:49,9.98,9.98,9.98,9.98,9.98,100,1
20200102,ADTN,13:51,9.9750,9.98,9.97,9.98,9.975,300,3
20200102,ADTN,13:53,9.97,9.98,9.97,9.98,9.975,200,2
20200102,ADTN,13:55,9.98,9.98,9.98,9.98,9.98,100,1
20200102,ADTN,13:57,9.9750,9.9750,9.9750,9.9750,9.975,100,1
20200102,ADTN,14:00,9.98,9.98,9.98,9.98,9.98,400,4
20200102,ADTN,14:01,9.99,9.99,9.98,9.9850,9.985,500,5
20200102,ADTN,14:08,9.9850,9.9850,9.9850,9.9850,9.985,200,1
20200102,ADTN,14:09,9.98,9.98,9.98,9.98,9.98,100,1
20200102,ADTN,14:10,9.98,9.98,9.98,9.98,9.98,100,1
20200102,ADTN,14:11,9.98,9.98,9.98,9.98,9.98,100,1
20200102,ADTN,14:14,9.9850,9.9850,9.9850,9.9850,9.985,100,1
20200102,ADTN,14:18,9.99,9.99,9.99,9.99,9.99,100,1
20200102,ADTN,14:20,9.99,9.99,9.9850,9.99,9.98955,1102,10
20200102,ADTN,14:23,9.99,9.99,9.99,9.99,9.99,200,2
20200102,ADTN,14:28,9.99,9.99,9.99,9.99,9.99,100,1
20200102,ADTN,14:30,9.99,9.9950,9.99,9.99,9.99125,400,4
20200102,ADTN,14:36,9.99,9.99,9.99,9.99,9.99,100,1
20200102,ADTN,14:37,9.99,9.99,9.98,9.98,9.98333,601,6
20200102,ADTN,14:42,9.9850,9.9850,9.9850,9.9850,9.985,100,1
20200102,ADTN,14:45,9.99,9.99,9.99,9.99,9.99,100,1
20200102,ADTN,14:46,9.99,9.99,9.99,9.99,9.99,100,1
20200102,ADTN,14:47,9.99,9.99,9.99,9.99,9.99,100,1
20200102,ADTN,14:50,9.99,9.99,9.9850,9.99,9.98833,300,3
20200102,ADTN,14:52,9.9950,9.9950,9.9950,9.9950,9.995,100,1
20200102,ADTN,14:54,9.99,9.99,9.99,9.99,9.99,300,3
20200102,ADTN,14:56,9.9850,9.9850,9.9850,9.9850,9.985,200,2
20200102,ADTN,15:02,9.99,9.99,9.99,9.99,9.99,1396,11
20200102,ADTN,15:11,9.9950,9.9950,9.9950,9.9950,9.995,200,1
20200102,ADTN,15:12,9.99,9.99,9.99,9.99,9.99,600,6
20200102,ADTN,15:14,9.99,9.99,9.99,9.99,9.99,400,4
20200102,ADTN,15:20,9.9850,9.9850,9.9850,9.9850,9.985,100,1
20200102,ADTN,15:26,9.98,9.98,9.98,9.98,9.98,100,1
20200102,ADTN,15:30,9.9850,9.9850,9.9850,9.9850,9.985,100,1
20200102,ADTN,15:31,9.9850,9.9850,9.9850,9.9850,9.985,100,1
20200102,ADTN,15:32,9.99,9.99,9.99,9.99,9.99,200,2
20200102,ADTN,15:33,9.99,10.00,9.99,10.00,9.99838,3700,8
20200102,ADTN,15:34,10.01,10.01,10.01,10.01,10.01,323,3
20200102,ADTN,15:36,10.0150,10.0150,10.01,10.01,10.01045,1100,10
20200102,ADTN,15:37,10.00,10.00,10.00,10.00,10.00,200,2
20200102,ADTN,15:38,9.98,9.98,9.98,9.98,9.98,200,2
20200102,ADTN,15:40,9.99,9.99,9.9850,9.99,9.98951,4422,35
20200102,ADTN,15:42,9.99,9.99,9.99,9.99,9.99,200,2
20200102,ADTN,15:43,9.9950,9.9950,9.99,9.99,9.99167,300,3
20200102,ADTN,15:45,9.99,9.99,9.99,9.99,9.99,200,2
20200102,ADTN,15:46,9.99,9.9950,9.99,9.9950,9.99033,1500,12
20200102,ADTN,15:47,9.9850,9.9850,9.9850,9.9850,9.985,200,2
20200102,ADTN,15:48,9.9750,9.9750,9.97,9.97,9.97167,300,3
20200102,ADTN,15:49,9.97,9.97,9.95,9.95,9.96,700,7
20200102,ADTN,15:50,9.96,9.97,9.9550,9.97,9.96032,3136,25
20200102,ADTN,15:51,9.9650,9.97,9.9650,9.97,9.968,500,5
