Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ADVM,09:30,11.60,11.60,11.50,11.55,11.59869,17234,7
20200102,ADVM,09:31,11.55,11.55,11.51,11.51,11.54167,480,4
20200102,ADVM,09:32,11.30,11.36,11.29,11.36,11.31667,300,3
20200102,ADVM,09:33,11.34,11.58,11.34,11.58,11.43844,2649,19
20200102,ADVM,09:34,11.46,11.58,11.46,11.55,11.54838,10475,15
20200102,ADVM,09:35,11.45,11.47,11.39,11.45,11.44193,2069,17
20200102,ADVM,09:37,11.57,11.60,11.50,11.50,11.50541,11089,19
20200102,ADVM,09:38,11.43,11.51,11.43,11.49,11.4675,800,8
20200102,ADVM,09:39,11.51,11.51,11.51,11.51,11.51,100,1
20200102,ADVM,09:40,11.38,11.46,11.37,11.46,11.41333,600,6
20200102,ADVM,09:42,11.31,11.31,11.31,11.31,11.31,100,1
20200102,ADVM,09:43,11.36,11.36,11.36,11.36,11.36,200,2
20200102,ADVM,09:44,11.30,11.30,11.30,11.30,11.30,100,1
20200102,ADVM,09:45,11.35,11.35,11.30,11.35,11.33333,600,6
20200102,ADVM,09:46,11.30,11.33,11.29,11.29,11.316,500,5
20200102,ADVM,09:47,11.26,11.29,11.25,11.29,11.25723,11200,30
20200102,ADVM,09:48,11.29,11.30,11.23,11.23,11.25993,7601,32
20200102,ADVM,09:49,11.26,11.26,11.24,11.24,11.24571,700,7
20200102,ADVM,09:50,11.20,11.33,11.20,11.31,11.27189,6195,46
20200102,ADVM,09:51,11.30,11.35,11.30,11.35,11.33437,800,6
20200102,ADVM,09:53,11.41,11.41,11.37,11.41,11.397,1000,10
20200102,ADVM,09:54,11.39,11.40,11.39,11.40,11.395,200,2
20200102,ADVM,09:55,11.39,11.42,11.39,11.41,11.41111,1133,7
20200102,ADVM,09:56,11.44,11.47,11.44,11.47,11.458,500,5
20200102,ADVM,09:58,11.47,11.47,11.42,11.42,11.45821,933,9
20200102,ADVM,09:59,11.41,11.46,11.41,11.46,11.424,500,5
20200102,ADVM,10:00,11.49,11.49,11.43,11.43,11.4575,800,8
20200102,ADVM,10:01,11.41,11.41,11.38,11.38,11.395,200,2
20200102,ADVM,10:02,11.40,11.41,11.40,11.4050,11.404,500,5
20200102,ADVM,10:03,11.43,11.43,11.39,11.39,11.39667,600,5
20200102,ADVM,10:04,11.38,11.4050,11.38,11.4050,11.39278,900,6
20200102,ADVM,10:05,11.42,11.42,11.39,11.39,11.40667,600,6
20200102,ADVM,10:06,11.40,11.40,11.39,11.39,11.39167,600,6
20200102,ADVM,10:07,11.40,11.40,11.39,11.40,11.395,400,4
20200102,ADVM,10:08,11.37,11.37,11.3650,11.3650,11.3675,200,2
20200102,ADVM,10:09,11.38,11.38,11.38,11.38,11.38,200,2
