Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ADXS,04:46,0.8750,0.8750,0.8750,0.8750,0.875,1134,1
20200102,ADXS,04:48,0.88,0.88,0.88,0.88,0.88,252,1
20200102,ADXS,06:00,0.88,0.88,0.88,0.88,0.88,114,1
20200102,ADXS,06:09,0.90,0.90,0.90,0.90,0.90,300,1
20200102,ADXS,06:12,0.9075,0.9075,0.9075,0.9075,0.9075,400,1
20200102,ADXS,06:17,0.9110,0.9110,0.9110,0.9110,0.911,102,1
20200102,ADXS,06:35,0.9110,0.9110,0.9110,0.9110,0.911,1000,2
20200102,ADXS,06:59,0.94,0.94,0.94,0.94,0.94,2050,4
20200102,ADXS,07:00,0.92,0.9295,0.9120,0.9120,0.9165,6498,6
20200102,ADXS,07:01,0.9120,0.9155,0.9120,0.9155,0.91431,2100,2
20200102,ADXS,07:02,0.9115,0.9115,0.9115,0.9115,0.9115,612,1
20200102,ADXS,07:04,0.92,0.92,0.92,0.92,0.92,1700,3
20200102,ADXS,07:06,0.92,0.92,0.92,0.92,0.92,1300,1
20200102,ADXS,07:07,0.9115,0.9115,0.91,0.91,0.9109,2488,3
20200102,ADXS,07:09,0.91,0.91,0.91,0.91,0.91,1654,2
20200102,ADXS,07:15,0.8895,0.8895,0.8895,0.8895,0.8895,1100,1
20200102,ADXS,07:16,0.90,0.90,0.90,0.90,0.90,500,2
20200102,ADXS,07:32,0.92,0.92,0.92,0.92,0.92,1000,1
20200102,ADXS,07:39,0.92,0.92,0.92,0.92,0.92,1701,2
20200102,ADXS,07:47,0.92,0.92,0.92,0.92,0.92,299,1
20200102,ADXS,07:48,0.92,0.92,0.92,0.92,0.92,17111,1
20200102,ADXS,07:49,0.92,0.92,0.92,0.92,0.92,3100,1
20200102,ADXS,08:04,0.91,0.91,0.91,0.91,0.91,100,1
20200102,ADXS,08:07,0.91,0.91,0.91,0.91,0.91,1121,2
20200102,ADXS,08:08,0.9175,0.9175,0.9175,0.9175,0.9175,200,1
20200102,ADXS,08:13,0.91,0.91,0.91,0.91,0.91,5642,2
20200102,ADXS,08:16,0.91,0.91,0.91,0.91,0.91,100,1
20200102,ADXS,08:20,0.9001,0.9001,0.90,0.90,0.90,6100,3
20200102,ADXS,08:21,0.90,0.90,0.90,0.90,0.90,835,1
20200102,ADXS,08:31,0.91,0.91,0.91,0.91,0.91,1500,1
20200102,ADXS,08:39,0.9170,0.9170,0.9170,0.9170,0.917,1000,1
20200102,ADXS,08:42,0.9175,0.9175,0.9175,0.9175,0.9175,900,1
20200102,ADXS,08:45,0.9170,0.9170,0.9170,0.9170,0.917,175,1
20200102,ADXS,08:48,0.9175,0.9175,0.9175,0.9175,0.9175,2900,2
20200102,ADXS,08:50,0.9170,0.9170,0.9110,0.9110,0.91419,2135,2
20200102,ADXS,08:55,0.9101,0.9101,0.91,0.91,0.91003,365,2
20200102,ADXS,08:59,0.91,0.91,0.91,0.91,0.91,2112,4
20200102,ADXS,09:00,0.91,0.91,0.91,0.91,0.91,2015,4
20200102,ADXS,09:01,0.91,0.91,0.91,0.91,0.91,2125,2
20200102,ADXS,09:03,0.91,0.92,0.91,0.92,0.91955,3080,4
20200102,ADXS,09:04,0.9101,0.9101,0.9101,0.9101,0.9101,750,2
20200102,ADXS,09:05,0.9101,0.9101,0.9101,0.9101,0.9101,220,2
20200102,ADXS,09:06,0.9103,0.9103,0.9103,0.9103,0.9103,190,1
20200102,ADXS,09:07,0.91,0.91,0.91,0.91,0.91,450,1
20200102,ADXS,09:08,0.9103,0.9103,0.91,0.91,0.91002,1780,3
20200102,ADXS,09:09,0.91,0.91,0.91,0.91,0.91,12613,9
20200102,ADXS,09:11,0.91,0.91,0.91,0.91,0.91,100,1
20200102,ADXS,09:15,0.90,0.90,0.90,0.90,0.90,861,2
20200102,ADXS,09:20,0.90,0.90,0.90,0.90,0.90,7913,5
20200102,ADXS,09:21,0.90,0.90,0.90,0.90,0.90,600,2
20200102,ADXS,09:22,0.90,0.90,0.90,0.90,0.90,1019,1
20200102,ADXS,09:27,0.90,0.90,0.90,0.90,0.90,283,1
20200102,ADXS,09:29,0.9080,0.9080,0.9080,0.9080,0.908,300,1
20200102,ADXS,09:30,0.91,0.9187,0.9080,0.9187,0.91028,96573,17
20200102,ADXS,09:31,0.92,0.9295,0.92,0.92,0.92366,9142,13
20200102,ADXS,09:32,0.9295,0.94,0.9234,0.94,0.93236,68171,54
20200102,ADXS,09:33,0.94,0.96,0.94,0.96,0.95153,87270,89
20200102,ADXS,09:34,0.96,0.9793,0.96,0.9784,0.96969,87005,94
20200102,ADXS,09:35,0.9784,0.98,0.9730,0.9792,0.97898,26600,52
20200102,ADXS,09:36,0.9795,0.98,0.9784,0.9784,0.97945,8989,12
20200102,ADXS,09:37,0.9711,0.9787,0.9550,0.9550,0.96618,125447,270
20200102,ADXS,09:38,0.9599,0.9599,0.9356,0.9468,0.9467,62843,74
20200102,ADXS,09:39,0.9460,0.9460,0.9347,0.94,0.93907,35000,29
20200102,ADXS,09:40,0.9399,0.9496,0.9348,0.9496,0.93699,18424,28
20200102,ADXS,09:41,0.9496,0.96,0.9496,0.96,0.95749,33122,42
20200102,ADXS,09:42,0.9687,0.9699,0.95,0.9699,0.95997,12572,35
