Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AE,10:30,38.80,38.80,38.80,38.80,38.80,200,2
20200102,AE,10:32,38.69,38.69,38.69,38.69,38.69,100,1
20200102,AE,10:34,38.50,38.50,38.50,38.50,38.50,100,1
20200102,AE,10:36,38.59,38.59,38.59,38.59,38.59,100,1
20200102,AE,10:40,38.59,38.59,38.59,38.59,38.59,100,1
20200102,AE,10:43,38.60,38.73,38.60,38.73,38.65788,311,3
20200102,AE,10:46,39.11,39.11,39.11,39.11,39.11,200,2
20200102,AE,10:50,39.47,39.50,39.44,39.50,39.47857,700,3
20200102,AE,10:54,39.32,39.32,39.21,39.21,39.265,200,2
20200102,AE,10:55,39.12,39.12,39.12,39.12,39.12,100,1
20200102,AE,10:59,39.16,39.16,39.16,39.16,39.16,100,1
20200102,AE,11:02,38.99,38.99,38.99,38.99,38.99,100,1
20200102,AE,11:04,39.12,39.12,39.12,39.12,39.12,100,1
20200102,AE,11:07,39.10,39.10,39.10,39.10,39.10,100,1
20200102,AE,11:13,38.95,38.95,38.95,38.95,38.95,100,1
20200102,AE,11:14,39.10,39.10,39.10,39.10,39.10,200,2
20200102,AE,11:26,39.08,39.08,39.08,39.08,39.08,100,1
20200102,AE,11:34,39.05,39.05,39.05,39.05,39.05,200,2
20200102,AE,11:41,38.95,38.95,38.95,38.95,38.95,275,1
20200102,AE,11:44,38.71,38.72,38.71,38.72,38.715,200,2
20200102,AE,11:45,38.78,38.78,38.78,38.78,38.78,100,1
20200102,AE,11:49,38.75,38.75,38.75,38.75,38.75,100,1
20200102,AE,11:58,38.80,38.80,38.80,38.80,38.80,100,1
20200102,AE,11:59,38.75,38.75,38.75,38.75,38.75,100,1
20200102,AE,12:00,38.70,38.70,38.70,38.70,38.70,200,2
20200102,AE,12:01,38.68,38.68,38.68,38.68,38.68,100,1
20200102,AE,12:02,38.68,38.68,38.68,38.68,38.68,100,1
20200102,AE,12:03,38.65,38.65,38.65,38.65,38.65,100,1
20200102,AE,12:06,38.73,38.73,38.68,38.68,38.705,200,2
20200102,AE,12:12,38.80,38.80,38.80,38.80,38.80,505,1
20200102,AE,13:30,38.84,38.84,38.84,38.84,38.84,100,1
20200102,AE,14:32,38.85,38.85,38.85,38.85,38.85,100,1
20200102,AE,14:40,38.80,38.80,38.80,38.80,38.80,297,2
20200102,AE,14:51,38.83,38.83,38.83,38.83,38.83,100,1
20200102,AE,14:55,38.84,38.84,38.84,38.84,38.84,100,1
20200102,AE,15:34,38.96,38.98,38.96,38.98,38.97,200,2
20200102,AE,15:44,38.98,38.98,38.98,38.98,38.98,100,1
20200102,AE,15:58,38.96,38.99,38.96,38.99,38.975,200,2
20200102,AE,15:59,38.97,39.00,38.97,39.00,38.992,500,4
20200102,AE,16:00,38.94,38.94,38.94,38.94,38.94,344,1
