Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AEB,09:30,24.68,24.68,24.68,24.68,24.68,601,2
20200102,AEB,09:55,24.78,24.78,24.78,24.78,24.78,100,1
20200102,AEB,10:22,24.98,24.98,24.80,24.80,24.81508,2600,7
20200102,AEB,10:34,24.81,24.81,24.81,24.81,24.81,100,1
20200102,AEB,12:06,24.82,24.82,24.82,24.82,24.82,961,4
20200102,AEB,12:25,24.81,24.82,24.80,24.80,24.80287,1262,3
20200102,AEB,12:35,24.75,24.75,24.75,24.75,24.75,438,1
20200102,AEB,14:25,24.85,24.85,24.85,24.85,24.85,200,1
20200102,AEB,14:30,24.85,24.85,24.85,24.85,24.85,100,1
20200102,AEB,14:31,24.8050,24.85,24.8050,24.85,24.84584,1081,4
20200102,AEB,14:38,24.85,24.85,24.85,24.85,24.85,150,1
20200102,AEB,14:44,24.85,24.85,24.85,24.85,24.85,176,1
20200102,AEB,14:49,24.85,24.85,24.85,24.85,24.85,2600,2
20200102,AEB,14:54,24.85,24.85,24.85,24.85,24.85,100,1
20200102,AEB,15:19,24.85,24.85,24.85,24.85,24.85,176,1
20200102,AEB,15:48,24.79,24.79,24.78,24.78,24.78168,2923,3
20200102,AEB,16:02,24.77,24.77,24.77,24.77,24.77,236,1
