Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AEF,09:30,7.62,7.62,7.62,7.62,7.62,1868,1
20200102,AEF,09:44,7.67,7.67,7.67,7.67,7.67,2145,12
20200102,AEF,09:49,7.70,7.70,7.70,7.70,7.70,200,2
20200102,AEF,09:51,7.72,7.72,7.72,7.72,7.72,100,1
20200102,AEF,10:00,7.74,7.74,7.74,7.74,7.74,101,1
20200102,AEF,10:07,7.72,7.72,7.72,7.72,7.72,100,1
20200102,AEF,10:11,7.72,7.72,7.72,7.72,7.72,2198,7
20200102,AEF,11:00,7.73,7.75,7.73,7.75,7.73667,300,3
20200102,AEF,11:32,7.75,7.75,7.75,7.75,7.75,100,1
20200102,AEF,11:40,7.75,7.75,7.75,7.75,7.75,100,1
20200102,AEF,11:47,7.75,7.75,7.75,7.75,7.75,100,1
20200102,AEF,11:51,7.73,7.73,7.72,7.72,7.725,400,3
20200102,AEF,11:53,7.73,7.73,7.73,7.73,7.73,100,1
20200102,AEF,11:58,7.73,7.73,7.73,7.73,7.73,100,1
20200102,AEF,12:09,7.73,7.73,7.73,7.73,7.73,100,1
20200102,AEF,12:14,7.7250,7.73,7.7250,7.73,7.729,500,3
20200102,AEF,12:22,7.7350,7.75,7.7350,7.75,7.74357,424,4
20200102,AEF,12:30,7.75,7.75,7.75,7.75,7.75,100,1
20200102,AEF,12:41,7.75,7.75,7.75,7.75,7.75,100,1
20200102,AEF,13:03,7.75,7.75,7.75,7.75,7.75,969,5
20200102,AEF,13:04,7.76,7.77,7.76,7.77,7.762,500,4
20200102,AEF,13:16,7.77,7.77,7.76,7.76,7.765,600,5
20200102,AEF,13:19,7.75,7.75,7.73,7.73,7.74566,1533,9
20200102,AEF,14:13,7.75,7.75,7.75,7.75,7.75,100,1
20200102,AEF,14:17,7.75,7.75,7.75,7.75,7.75,492,1
20200102,AEF,14:20,7.75,7.75,7.75,7.75,7.75,100,1
20200102,AEF,14:27,7.75,7.75,7.75,7.75,7.75,100,1
20200102,AEF,14:33,7.75,7.75,7.75,7.75,7.75,100,1
20200102,AEF,14:45,7.74,7.74,7.74,7.74,7.74,100,1
20200102,AEF,14:57,7.74,7.74,7.74,7.74,7.74,100,1
20200102,AEF,14:58,7.73,7.73,7.72,7.73,7.72643,1400,12
20200102,AEF,15:08,7.74,7.74,7.74,7.74,7.74,501,4
20200102,AEF,15:13,7.75,7.75,7.75,7.75,7.75,100,1
20200102,AEF,15:14,7.74,7.74,7.74,7.74,7.74,100,1
20200102,AEF,15:15,7.73,7.73,7.73,7.73,7.73,575,3
20200102,AEF,15:16,7.73,7.73,7.73,7.73,7.73,300,3
20200102,AEF,15:32,7.75,7.75,7.75,7.75,7.75,100,1
20200102,AEF,15:35,7.76,7.76,7.76,7.76,7.76,100,1
20200102,AEF,15:36,7.73,7.74,7.73,7.73,7.73435,7585,25
20200102,AEF,15:37,7.73,7.73,7.73,7.73,7.73,300,2
20200102,AEF,15:41,7.73,7.73,7.73,7.73,7.73,100,1
20200102,AEF,15:43,7.73,7.73,7.73,7.73,7.73,100,1
20200102,AEF,15:46,7.73,7.73,7.73,7.73,7.73,100,1
20200102,AEF,15:49,7.73,7.73,7.73,7.73,7.73,276,2
20200102,AEF,15:51,7.76,7.76,7.76,7.76,7.76,100,1
20200102,AEF,15:54,7.76,7.76,7.74,7.74,7.75333,300,3
20200102,AEF,15:55,7.77,7.78,7.77,7.78,7.77887,885,5
20200102,AEF,15:58,7.78,7.78,7.78,7.78,7.78,100,1
20200102,AEF,15:59,7.78,7.78,7.78,7.78,7.78,100,1
20200102,AEF,19:41,7.86,7.86,7.86,7.86,7.86,400,1
