Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AEMD,07:00,0.97,0.97,0.97,0.97,0.97,300,1
20200102,AEMD,08:32,0.97,0.97,0.97,0.97,0.97,1000,1
20200102,AEMD,09:19,0.96,0.96,0.96,0.96,0.96,1488,1
20200102,AEMD,09:30,0.97,0.97,0.97,0.97,0.97,4444,6
20200102,AEMD,09:32,0.9725,0.9780,0.9725,0.9725,0.9744,2900,7
20200102,AEMD,09:33,0.9780,0.9780,0.9780,0.9780,0.978,100,1
20200102,AEMD,09:36,0.9788,0.98,0.9788,0.98,0.97999,12400,6
20200102,AEMD,09:37,0.9801,0.9801,0.9801,0.9801,0.9801,100,1
20200102,AEMD,09:40,0.9821,0.99,0.9821,0.99,0.98832,8635,17
20200102,AEMD,09:43,0.9940,0.9940,0.9940,0.9940,0.994,100,1
20200102,AEMD,09:45,0.9940,0.9940,0.9940,0.9940,0.994,663,3
20200102,AEMD,09:46,0.99,0.99,0.99,0.99,0.99,200,2
20200102,AEMD,09:47,0.9931,0.9931,0.9931,0.9931,0.9931,100,1
20200102,AEMD,09:49,0.9950,1.00,0.9950,1.00,0.99899,2873,10
20200102,AEMD,09:55,1.00,1.00,1.00,1.00,1.00,1053,5
20200102,AEMD,09:57,1.00,1.01,1.00,1.01,1.00476,2100,7
20200102,AEMD,09:58,1.00,1.00,0.99,0.99,0.99924,5302,7
20200102,AEMD,10:00,1.01,1.01,1.01,1.01,1.01,1200,4
20200102,AEMD,10:01,1.02,1.03,1.02,1.02,1.02088,5700,15
20200102,AEMD,10:02,1.02,1.03,1.02,1.03,1.02123,3251,5
20200102,AEMD,10:06,1.03,1.03,1.01,1.03,1.01982,8456,16
20200102,AEMD,10:08,1.02,1.02,1.02,1.02,1.02,1354,6
20200102,AEMD,10:10,1.02,1.03,1.02,1.03,1.02286,1050,3
20200102,AEMD,10:11,1.03,1.03,1.03,1.03,1.03,121,1
20200102,AEMD,10:12,1.02,1.02,1.02,1.02,1.02,3000,5
20200102,AEMD,10:13,1.01,1.01,1.01,1.01,1.01,1800,5
20200102,AEMD,10:14,1.01,1.01,0.97,0.97,1.00375,6033,14
20200102,AEMD,10:16,1.00,1.02,1.00,1.02,1.00222,900,5
20200102,AEMD,10:18,1.01,1.01,1.01,1.01,1.01,600,1
20200102,AEMD,10:19,1.01,1.02,1.00,1.00,1.00801,5990,7
20200102,AEMD,10:21,1.00,1.00,1.00,1.00,1.00,800,2
20200102,AEMD,10:22,1.01,1.01,1.00,1.00,1.00691,1800,2
20200102,AEMD,10:24,1.01,1.01,1.01,1.01,1.01,1500,6
20200102,AEMD,10:26,1.02,1.02,1.02,1.02,1.02,1775,5
20200102,AEMD,10:28,1.02,1.03,1.02,1.03,1.02087,4395,5
20200102,AEMD,10:32,1.03,1.03,1.03,1.03,1.03,2995,3
20200102,AEMD,10:35,1.02,1.02,1.02,1.02,1.02,100,1
20200102,AEMD,10:36,1.02,1.03,1.02,1.03,1.02952,4195,6
20200102,AEMD,10:37,1.03,1.04,1.03,1.04,1.03154,18370,26
20200102,AEMD,10:38,1.05,1.05,1.05,1.05,1.05,100,1
20200102,AEMD,10:40,1.05,1.05,1.03,1.03,1.0425,10389,10
20200102,AEMD,10:41,1.04,1.04,1.04,1.04,1.04,5500,3
20200102,AEMD,10:42,1.04,1.04,1.04,1.04,1.04,1650,1
20200102,AEMD,10:44,1.04,1.04,1.04,1.04,1.04,100,1
20200102,AEMD,10:45,1.04,1.05,1.04,1.05,1.04098,6795,9
20200102,AEMD,10:46,1.05,1.06,1.05,1.06,1.0516,31332,18
20200102,AEMD,10:48,1.0550,1.0550,1.05,1.05,1.051,2500,6
20200102,AEMD,10:50,1.06,1.06,1.06,1.06,1.06,4343,12
20200102,AEMD,10:51,1.06,1.06,1.06,1.06,1.06,3257,4
20200102,AEMD,10:52,1.07,1.07,1.07,1.07,1.07,200,2
20200102,AEMD,10:54,1.06,1.06,1.06,1.06,1.06,1000,4
20200102,AEMD,10:55,1.07,1.07,1.06,1.07,1.06986,22120,21
20200102,AEMD,10:56,1.07,1.07,1.07,1.07,1.07,100,1
20200102,AEMD,10:57,1.07,1.07,1.07,1.07,1.07,6550,9
20200102,AEMD,10:58,1.08,1.08,1.08,1.08,1.08,4480,8
