Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AEPpB,10:03,54.0250,54.0250,54.01,54.01,54.01507,296,2
20200102,AEPpB,10:04,54.02,54.02,54.01,54.01,54.015,200,2
20200102,AEPpB,10:05,54.00,54.00,54.00,54.00,54.00,306,3
20200102,AEPpB,10:21,53.92,53.92,53.92,53.92,53.92,103,1
20200102,AEPpB,11:20,53.84,53.84,53.84,53.84,53.84,132,1
20200102,AEPpB,11:32,53.79,53.79,53.79,53.79,53.79,100,1
20200102,AEPpB,11:33,53.78,53.78,53.78,53.78,53.78,862,4
20200102,AEPpB,11:52,53.73,53.73,53.73,53.73,53.73,100,1
20200102,AEPpB,11:53,53.72,53.72,53.72,53.72,53.72,100,1
20200102,AEPpB,11:58,53.65,53.65,53.65,53.65,53.65,500,3
20200102,AEPpB,12:22,53.60,53.60,53.60,53.60,53.60,200,2
20200102,AEPpB,12:32,53.55,53.55,53.55,53.55,53.55,175,1
20200102,AEPpB,12:47,53.65,53.65,53.65,53.65,53.65,100,1
20200102,AEPpB,12:58,53.66,53.66,53.65,53.65,53.65355,282,2
20200102,AEPpB,13:04,53.62,53.63,53.62,53.63,53.6216,1250,6
20200102,AEPpB,13:05,53.62,53.62,53.62,53.62,53.62,1316,4
20200102,AEPpB,13:06,53.63,53.63,53.63,53.63,53.63,200,1
20200102,AEPpB,13:09,53.62,53.63,53.62,53.62,53.62231,1299,5
20200102,AEPpB,13:32,53.61,53.61,53.61,53.61,53.61,100,1
20200102,AEPpB,13:36,53.61,53.61,53.61,53.61,53.61,587,3
20200102,AEPpB,14:05,53.66,53.66,53.66,53.66,53.66,100,1
20200102,AEPpB,14:15,53.66,53.66,53.66,53.66,53.66,100,1
20200102,AEPpB,14:23,53.71,53.71,53.71,53.71,53.71,100,1
20200102,AEPpB,14:25,53.72,53.72,53.72,53.72,53.72,100,1
20200102,AEPpB,14:28,53.71,53.71,53.71,53.71,53.71,100,1
20200102,AEPpB,14:35,53.69,53.69,53.69,53.69,53.69,100,1
20200102,AEPpB,14:37,53.66,53.66,53.66,53.66,53.66,200,2
20200102,AEPpB,14:44,53.73,53.74,53.73,53.74,53.73519,208,2
20200102,AEPpB,14:58,53.71,53.71,53.71,53.71,53.71,100,1
20200102,AEPpB,15:01,53.70,53.70,53.70,53.70,53.70,100,1
20200102,AEPpB,15:03,53.6850,53.6850,53.6850,53.6850,53.685,200,2
20200102,AEPpB,15:05,53.68,53.68,53.68,53.68,53.68,100,1
20200102,AEPpB,15:14,53.70,53.70,53.70,53.70,53.70,100,1
20200102,AEPpB,15:19,53.69,53.70,53.69,53.70,53.695,400,4
20200102,AEPpB,15:30,53.69,53.7050,53.69,53.69,53.69234,641,6
20200102,AEPpB,15:56,53.73,53.73,53.73,53.73,53.73,108,1
20200102,AEPpB,15:59,53.71,53.72,53.71,53.72,53.715,200,2
