Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AESE,10:05,2.70,2.70,2.70,2.70,2.70,100,1
20200102,AESE,11:03,2.80,2.80,2.80,2.80,2.80,100,1
20200102,AESE,11:09,2.75,2.79,2.75,2.79,2.75364,1100,2
20200102,AESE,11:37,2.69,2.69,2.68,2.68,2.68972,3576,10
20200102,AESE,12:01,2.71,2.71,2.71,2.71,2.71,100,1
20200102,AESE,12:29,2.69,2.69,2.69,2.69,2.69,200,1
20200102,AESE,12:45,2.69,2.69,2.69,2.69,2.69,100,1
20200102,AESE,12:46,2.70,2.70,2.70,2.70,2.70,100,1
20200102,AESE,13:02,2.67,2.67,2.67,2.67,2.67,200,2
20200102,AESE,13:04,2.70,2.70,2.70,2.70,2.70,100,1
20200102,AESE,13:20,2.67,2.67,2.67,2.67,2.67,196,1
20200102,AESE,13:55,2.60,2.60,2.60,2.60,2.60,100,1
20200102,AESE,13:56,2.67,2.67,2.67,2.67,2.67,100,1
20200102,AESE,14:01,2.63,2.63,2.63,2.63,2.63,100,1
20200102,AESE,14:02,2.67,2.67,2.67,2.67,2.67,100,1
20200102,AESE,14:12,2.65,2.67,2.65,2.67,2.66,200,2
20200102,AESE,14:15,2.65,2.65,2.65,2.65,2.65,100,1
20200102,AESE,14:22,2.63,2.63,2.63,2.63,2.63,100,1
20200102,AESE,14:33,2.60,2.60,2.60,2.60,2.60,249,2
20200102,AESE,14:34,2.66,2.66,2.66,2.66,2.66,100,1
20200102,AESE,14:35,2.67,2.67,2.67,2.67,2.67,100,1
20200102,AESE,15:24,2.66,2.66,2.66,2.66,2.66,100,1
20200102,AESE,15:35,2.67,2.69,2.67,2.69,2.67667,300,2
20200102,AESE,15:59,2.65,2.69,2.65,2.69,2.65154,2600,3
