Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AFG,09:30,110.00,110.00,109.69,109.99,109.92998,4970,13
20200102,AFG,09:31,109.79,109.84,109.75,109.75,109.79734,1430,12
20200102,AFG,09:32,109.95,109.95,109.78,109.78,109.865,200,2
20200102,AFG,09:33,109.96,109.96,109.96,109.96,109.96,100,1
20200102,AFG,09:34,109.99,110.17,109.99,110.17,110.02137,936,6
20200102,AFG,09:35,110.34,110.46,110.34,110.46,110.40,200,2
20200102,AFG,09:36,110.49,110.49,110.49,110.49,110.49,100,1
20200102,AFG,09:37,110.41,110.41,110.18,110.18,110.34167,600,6
20200102,AFG,09:38,110.17,110.17,110.14,110.15,110.15333,300,3
20200102,AFG,09:40,110.24,110.24,110.07,110.23,110.21429,700,7
20200102,AFG,09:41,110.19,110.19,110.02,110.02,110.07667,300,3
20200102,AFG,09:43,110.12,110.13,110.12,110.13,110.12857,700,6
20200102,AFG,09:44,110.15,110.15,110.15,110.15,110.15,100,1
20200102,AFG,09:45,110.23,110.23,110.23,110.23,110.23,100,1
20200102,AFG,09:46,110.24,110.36,110.24,110.36,110.30,200,2
20200102,AFG,09:47,110.26,110.3050,110.25,110.3050,110.27167,300,3
20200102,AFG,09:48,110.35,110.36,110.35,110.36,110.355,200,2
20200102,AFG,09:49,110.32,110.41,110.32,110.41,110.3375,1200,12
20200102,AFG,09:50,110.35,110.35,110.33,110.33,110.34,300,3
20200102,AFG,09:51,110.35,110.41,110.35,110.40,110.39091,1100,11
20200102,AFG,09:52,110.40,110.41,110.40,110.41,110.40167,600,6
20200102,AFG,09:53,110.45,110.46,110.45,110.46,110.45667,300,3
20200102,AFG,09:54,110.52,110.52,110.34,110.45,110.40014,1470,13
20200102,AFG,09:55,110.51,110.51,110.42,110.42,110.44059,510,5
20200102,AFG,09:56,110.48,110.50,110.48,110.50,110.4925,800,5
20200102,AFG,09:57,110.62,110.62,110.47,110.47,110.50025,595,4
20200102,AFG,09:58,110.55,110.55,110.55,110.55,110.55,100,1
20200102,AFG,09:59,110.56,110.66,110.54,110.66,110.57556,900,9
20200102,AFG,10:00,110.56,110.56,110.55,110.55,110.55278,360,3
20200102,AFG,10:01,110.50,110.54,110.49,110.50,110.50311,7396,64
20200102,AFG,10:02,110.50,110.50,110.37,110.37,110.45684,1900,18
20200102,AFG,10:03,110.33,110.33,110.33,110.33,110.33,100,1
20200102,AFG,10:04,110.29,110.29,110.29,110.29,110.29,199,1
20200102,AFG,10:05,110.24,110.24,110.24,110.24,110.24,300,2
20200102,AFG,10:06,110.26,110.32,110.26,110.30,110.29769,3900,31
20200102,AFG,10:07,110.37,110.42,110.37,110.40,110.38158,1900,15
20200102,AFG,10:09,110.41,110.45,110.41,110.45,110.43,200,2
20200102,AFG,10:10,110.47,110.51,110.44,110.44,110.468,500,5
20200102,AFG,10:11,110.43,110.43,110.43,110.43,110.43,200,2
20200102,AFG,10:12,110.50,110.50,110.42,110.42,110.45,300,3
20200102,AFG,10:15,110.37,110.37,110.32,110.32,110.34,300,3
20200102,AFG,10:16,110.32,110.32,110.31,110.31,110.315,600,5
20200102,AFG,10:17,110.3150,110.3150,110.3150,110.3150,110.315,100,1
20200102,AFG,10:18,110.39,110.43,110.39,110.41,110.40941,1700,16
20200102,AFG,10:19,110.41,110.44,110.41,110.41,110.41385,3114,24
20200102,AFG,10:20,110.45,110.45,110.45,110.45,110.45,500,5
20200102,AFG,10:21,110.45,110.45,110.45,110.45,110.45,300,3
20200102,AFG,10:22,110.45,110.45,110.43,110.43,110.44571,700,7
20200102,AFG,10:23,110.40,110.40,110.36,110.38,110.36457,3500,28
20200102,AFG,10:24,110.36,110.40,110.36,110.40,110.38182,1100,11
20200102,AFG,10:25,110.36,110.36,110.36,110.36,110.36,600,6
20200102,AFG,10:26,110.28,110.28,110.28,110.28,110.28,100,1
20200102,AFG,10:29,110.18,110.28,110.18,110.27,110.23,2100,18
20200102,AFG,10:31,110.27,110.27,110.25,110.25,110.26,200,2
20200102,AFG,10:32,110.30,110.39,110.30,110.38,110.35107,1400,14
20200102,AFG,10:33,110.37,110.37,110.37,110.37,110.37,100,1
20200102,AFG,10:34,110.38,110.38,110.38,110.38,110.38,100,1
20200102,AFG,10:35,110.41,110.41,110.37,110.37,110.38605,501,5
20200102,AFG,10:36,110.34,110.35,110.34,110.35,110.345,400,4
20200102,AFG,10:37,110.37,110.37,110.30,110.33,110.32583,600,6
20200102,AFG,10:38,110.28,110.31,110.28,110.31,110.29571,700,7
20200102,AFG,10:39,110.32,110.33,110.29,110.33,110.31714,700,6
20200102,AFG,10:40,110.33,110.34,110.29,110.33,110.32,800,8
20200102,AFG,10:41,110.31,110.31,110.31,110.31,110.31,100,1
20200102,AFG,10:42,110.35,110.35,110.33,110.33,110.34,200,2
20200102,AFG,10:43,110.35,110.40,110.35,110.40,110.36959,822,7
20200102,AFG,10:44,110.45,110.45,110.45,110.45,110.45,100,1
20200102,AFG,10:45,110.40,110.40,110.40,110.40,110.40,200,2
20200102,AFG,10:46,110.36,110.37,110.36,110.37,110.36062,1600,16
20200102,AFG,10:47,110.36,110.36,110.26,110.35,110.35043,2300,21
20200102,AFG,10:48,110.30,110.30,110.21,110.21,110.26,400,4
20200102,AFG,10:50,110.28,110.28,110.28,110.28,110.28,100,1
20200102,AFG,10:52,110.22,110.22,110.22,110.22,110.22,100,1
20200102,AFG,10:54,110.22,110.23,110.21,110.21,110.21949,738,6
20200102,AFG,10:56,110.19,110.19,110.19,110.19,110.19,105,1
20200102,AFG,10:57,110.24,110.24,110.22,110.22,110.2325,400,4
20200102,AFG,10:59,110.26,110.26,110.26,110.26,110.26,100,1
20200102,AFG,11:01,110.24,110.24,110.2250,110.2250,110.234,500,5
20200102,AFG,11:03,110.18,110.18,110.12,110.12,110.165,400,2
20200102,AFG,11:04,110.1250,110.1250,110.07,110.07,110.0975,200,2
20200102,AFG,11:06,110.04,110.04,109.99,110.03,110.01761,326,3
20200102,AFG,11:07,110.03,110.04,109.86,109.86,109.96294,1700,12
20200102,AFG,11:08,109.84,109.84,109.84,109.84,109.84,200,1
20200102,AFG,11:11,109.84,109.84,109.84,109.84,109.84,100,1
20200102,AFG,11:12,109.78,109.79,109.73,109.73,109.76512,1982,14
20200102,AFG,11:13,109.76,109.80,109.76,109.79,109.77678,953,7
20200102,AFG,11:14,109.82,109.99,109.82,109.91,109.90011,2439,21
20200102,AFG,11:15,109.94,110.11,109.94,109.99,110.03884,2777,24
20200102,AFG,11:16,110.00,110.06,109.97,109.99,110.00583,600,6
20200102,AFG,11:17,109.98,109.98,109.98,109.98,109.98,276,2
20200102,AFG,11:18,109.95,109.95,109.83,109.83,109.9005,2000,8
20200102,AFG,11:20,109.86,109.86,109.82,109.82,109.84,200,2
20200102,AFG,11:22,109.85,109.89,109.85,109.89,109.87333,300,3
20200102,AFG,11:23,109.85,109.85,109.85,109.85,109.85,208,2
20200102,AFG,11:24,109.83,109.92,109.83,109.92,109.898,500,5
20200102,AFG,11:25,109.99,109.99,109.94,109.94,109.95687,415,4
20200102,AFG,11:27,109.89,109.90,109.89,109.90,109.89667,300,3
20200102,AFG,11:29,109.93,110.07,109.93,109.99,109.9725,1200,12
20200102,AFG,11:30,109.99,109.99,109.92,109.92,109.96333,600,4
20200102,AFG,11:32,109.93,109.93,109.93,109.93,109.93,201,2
20200102,AFG,11:34,109.86,109.86,109.85,109.86,109.85709,344,3
20200102,AFG,11:35,109.72,109.72,109.67,109.67,109.69083,1104,8
20200102,AFG,11:36,109.70,109.71,109.70,109.71,109.7025,400,4
20200102,AFG,11:37,109.69,109.69,109.69,109.69,109.69,100,1
20200102,AFG,11:39,109.70,109.71,109.70,109.71,109.70143,700,7
