Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AFGB,09:30,27.40,27.40,27.40,27.40,27.40,100,1
20200102,AFGB,09:40,27.43,27.43,27.43,27.43,27.43,500,5
20200102,AFGB,09:41,27.43,27.43,27.43,27.43,27.43,300,3
20200102,AFGB,09:44,27.43,27.43,27.43,27.43,27.43,600,2
20200102,AFGB,09:45,27.43,27.43,27.43,27.43,27.43,300,2
20200102,AFGB,10:21,27.54,27.54,27.54,27.54,27.54,200,2
20200102,AFGB,10:22,27.54,27.54,27.54,27.54,27.54,100,1
20200102,AFGB,10:24,27.55,27.57,27.55,27.57,27.56641,1202,4
20200102,AFGB,10:39,27.59,27.60,27.59,27.60,27.59333,300,2
20200102,AFGB,10:47,27.59,27.59,27.59,27.59,27.59,200,1
20200102,AFGB,10:49,27.53,27.53,27.53,27.53,27.53,100,1
20200102,AFGB,10:59,27.60,27.60,27.60,27.60,27.60,101,1
20200102,AFGB,11:06,27.54,27.54,27.54,27.54,27.54,100,1
20200102,AFGB,11:24,27.55,27.55,27.55,27.55,27.55,100,1
20200102,AFGB,11:42,27.67,27.67,27.67,27.67,27.67,200,1
20200102,AFGB,12:21,27.60,27.60,27.60,27.60,27.60,100,1
20200102,AFGB,13:34,27.59,27.59,27.59,27.59,27.59,100,1
20200102,AFGB,13:53,27.70,27.70,27.65,27.65,27.675,200,2
20200102,AFGB,13:54,27.6050,27.62,27.60,27.62,27.60367,1500,8
20200102,AFGB,14:02,27.65,27.65,27.50,27.50,27.56959,5277,30
20200102,AFGB,14:03,27.50,27.50,27.50,27.50,27.50,900,5
20200102,AFGB,14:05,27.48,27.48,27.48,27.48,27.48,100,1
20200102,AFGB,14:07,27.48,27.50,27.48,27.50,27.49778,900,9
20200102,AFGB,14:13,27.50,27.50,27.48,27.48,27.49652,2300,8
20200102,AFGB,14:15,27.50,27.50,27.50,27.50,27.50,200,1
20200102,AFGB,14:29,27.50,27.50,27.50,27.50,27.50,626,3
20200102,AFGB,14:32,27.50,27.50,27.50,27.50,27.50,290,2
20200102,AFGB,14:38,27.50,27.60,27.50,27.60,27.51764,1134,2
20200102,AFGB,15:26,27.60,27.62,27.60,27.62,27.60667,300,3
20200102,AFGB,15:28,27.60,27.60,27.60,27.60,27.60,423,1
20200102,AFGB,15:36,27.67,27.67,27.67,27.67,27.67,1000,7
20200102,AFGB,15:50,27.65,27.66,27.65,27.65,27.65538,1300,11
20200102,AFGB,15:54,27.57,27.57,27.57,27.57,27.57,100,1
20200102,AFGB,15:56,27.66,27.66,27.59,27.65,27.63333,300,3
20200102,AFGB,15:57,27.61,27.65,27.61,27.65,27.64333,600,3
20200102,AFGB,15:59,27.65,27.65,27.64,27.65,27.644,500,5
