Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AFGC,09:30,28.02,28.02,28.02,28.02,28.02,14159,9
20200102,AFGC,09:31,28.02,28.02,28.02,28.02,28.02,2200,3
20200102,AFGC,09:34,28.02,28.02,28.02,28.02,28.02,4200,12
20200102,AFGC,09:35,28.02,28.02,28.02,28.02,28.02,7546,33
20200102,AFGC,09:36,28.01,28.01,28.00,28.01,28.006,1000,7
20200102,AFGC,09:37,28.00,28.00,27.90,27.90,27.95662,1383,7
20200102,AFGC,09:38,28.00,28.00,27.99,27.99,27.9925,800,3
20200102,AFGC,09:39,27.99,27.99,27.99,27.99,27.99,100,1
20200102,AFGC,09:40,27.99,27.99,27.99,27.99,27.99,100,1
20200102,AFGC,09:41,27.98,27.99,27.96,27.99,27.98152,2000,12
20200102,AFGC,09:45,27.96,27.96,27.90,27.9150,27.91971,1700,9
20200102,AFGC,09:46,27.97,27.98,27.90,27.98,27.96429,700,5
20200102,AFGC,09:47,27.97,27.98,27.97,27.98,27.97167,600,4
20200102,AFGC,09:48,27.98,28.02,27.98,28.02,28.00,500,4
20200102,AFGC,09:49,28.02,28.02,28.02,28.02,28.02,1700,6
20200102,AFGC,09:50,28.02,28.02,28.01,28.02,28.0195,2000,11
20200102,AFGC,09:51,28.02,28.02,28.01,28.02,28.01811,3700,13
20200102,AFGC,09:52,28.02,28.02,28.00,28.00,28.00222,2256,8
20200102,AFGC,09:54,28.02,28.02,28.02,28.02,28.02,100,1
20200102,AFGC,09:55,28.02,28.02,28.00,28.02,28.01429,1120,6
20200102,AFGC,09:56,28.02,28.02,28.02,28.02,28.02,800,5
20200102,AFGC,09:57,28.02,28.02,28.02,28.02,28.02,600,5
20200102,AFGC,09:58,28.02,28.02,28.02,28.02,28.02,600,5
20200102,AFGC,09:59,28.01,28.02,28.01,28.02,28.01857,700,5
20200102,AFGC,10:00,28.02,28.02,28.01,28.02,28.01556,900,8
20200102,AFGC,10:01,28.02,28.02,28.02,28.02,28.02,5700,6
20200102,AFGC,10:02,28.02,28.02,28.02,28.02,28.02,400,4
20200102,AFGC,10:03,28.02,28.02,28.02,28.02,28.02,100,1
20200102,AFGC,10:09,28.01,28.02,28.01,28.02,28.01667,300,2
20200102,AFGC,10:10,28.01,28.01,28.01,28.01,28.01,100,1
20200102,AFGC,10:12,28.00,28.00,27.90,27.90,27.95833,1087,5
20200102,AFGC,10:13,27.99,27.99,27.99,27.99,27.99,500,2
20200102,AFGC,10:18,27.91,27.92,27.88,27.88,27.90,1700,12
20200102,AFGC,10:19,27.90,27.90,27.90,27.90,27.90,100,1
20200102,AFGC,10:20,27.90,27.90,27.90,27.90,27.90,600,1
20200102,AFGC,10:21,27.89,27.89,27.89,27.89,27.89,300,2
20200102,AFGC,10:22,27.81,27.88,27.80,27.88,27.82066,910,3
20200102,AFGC,10:23,27.87,27.87,27.87,27.87,27.87,100,1
20200102,AFGC,10:32,27.85,27.85,27.85,27.85,27.85,1400,4
20200102,AFGC,10:33,27.85,27.8550,27.84,27.84,27.8475,800,4
20200102,AFGC,10:34,27.88,27.88,27.88,27.88,27.88,200,1
20200102,AFGC,10:35,27.90,27.90,27.90,27.90,27.90,200,2
20200102,AFGC,11:13,27.95,27.95,27.95,27.95,27.95,100,1
20200102,AFGC,11:33,27.95,27.95,27.95,27.95,27.95,352,2
20200102,AFGC,11:35,27.92,27.92,27.92,27.92,27.92,200,2
20200102,AFGC,11:50,27.95,27.95,27.95,27.95,27.95,306,1
20200102,AFGC,11:51,27.95,27.95,27.95,27.95,27.95,400,4
20200102,AFGC,12:36,27.95,27.95,27.95,27.95,27.95,200,2
20200102,AFGC,12:40,27.91,27.94,27.91,27.94,27.91697,1292,7
20200102,AFGC,13:05,27.94,27.94,27.94,27.94,27.94,400,4
20200102,AFGC,13:08,27.95,27.95,27.95,27.95,27.95,300,1
20200102,AFGC,13:23,27.95,27.95,27.95,27.95,27.95,700,3
20200102,AFGC,13:24,27.9450,27.95,27.9450,27.95,27.94976,2087,3
20200102,AFGC,13:25,27.9750,28.02,27.9750,28.02,28.01047,3396,6
20200102,AFGC,13:26,27.9950,28.02,27.9950,28.02,28.00716,584,4
20200102,AFGC,13:27,28.01,28.01,28.01,28.01,28.01,900,9
20200102,AFGC,13:28,28.02,28.02,28.0050,28.0050,28.015,1300,8
20200102,AFGC,13:30,28.02,28.02,28.02,28.02,28.02,300,3
20200102,AFGC,13:31,28.02,28.02,28.01,28.01,28.01625,800,3
20200102,AFGC,13:41,27.99,27.99,27.99,27.99,27.99,300,2
20200102,AFGC,13:45,27.99,27.99,27.99,27.99,27.99,100,1
20200102,AFGC,13:49,27.99,27.99,27.99,27.99,27.99,300,2
20200102,AFGC,14:04,27.99,27.99,27.99,27.99,27.99,200,2
20200102,AFGC,14:06,28.0050,28.0050,27.99,27.99,27.9975,400,4
20200102,AFGC,14:07,28.01,28.01,28.01,28.01,28.01,100,1
20200102,AFGC,14:13,28.01,28.01,28.01,28.01,28.01,100,1
20200102,AFGC,14:33,28.02,28.02,28.02,28.02,28.02,100,1
20200102,AFGC,14:38,28.02,28.02,28.02,28.02,28.02,806,1
20200102,AFGC,14:43,28.01,28.01,28.01,28.01,28.01,400,3
20200102,AFGC,14:44,28.01,28.01,28.00,28.00,28.002,500,2
20200102,AFGC,14:47,28.00,28.00,28.00,28.00,28.00,100,1
20200102,AFGC,14:53,28.00,28.00,28.00,28.00,28.00,100,1
20200102,AFGC,14:56,28.00,28.00,28.00,28.00,28.00,200,2
20200102,AFGC,15:08,27.96,27.96,27.95,27.95,27.95137,729,2
20200102,AFGC,15:20,27.97,27.97,27.97,27.97,27.97,200,2
20200102,AFGC,15:22,27.99,27.99,27.99,27.99,27.99,100,1
20200102,AFGC,15:24,27.97,27.97,27.95,27.95,27.95767,2148,12
20200102,AFGC,15:27,27.96,27.96,27.95,27.95,27.956,500,5
20200102,AFGC,15:32,27.96,27.96,27.95,27.95,27.95333,300,2
20200102,AFGC,15:34,27.97,27.97,27.96,27.96,27.965,400,3
20200102,AFGC,15:39,27.97,27.97,27.97,27.97,27.97,300,3
