Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AFINP,04:00,24.94,24.94,24.94,24.94,24.94,600,1
20200102,AFINP,04:05,24.93,24.93,24.93,24.93,24.93,100,1
20200102,AFINP,09:09,24.86,24.86,24.86,24.86,24.86,1000,1
20200102,AFINP,09:10,24.86,24.86,24.86,24.86,24.86,200,2
20200102,AFINP,09:23,24.90,24.90,24.90,24.90,24.90,100,1
20200102,AFINP,09:30,24.90,24.91,24.89,24.91,24.89904,5195,4
20200102,AFINP,09:32,24.91,24.91,24.91,24.91,24.91,700,3
20200102,AFINP,09:33,24.92,24.93,24.92,24.93,24.92397,3300,15
20200102,AFINP,09:34,24.93,24.95,24.93,24.95,24.94191,7891,44
20200102,AFINP,09:37,24.94,24.95,24.94,24.95,24.94417,480,4
20200102,AFINP,09:38,24.95,24.95,24.92,24.92,24.92667,600,4
20200102,AFINP,09:41,24.93,24.93,24.93,24.93,24.93,500,2
20200102,AFINP,09:43,24.94,24.94,24.94,24.94,24.94,1500,2
20200102,AFINP,09:47,24.94,24.94,24.94,24.94,24.94,290,1
20200102,AFINP,09:48,24.95,24.95,24.94,24.94,24.945,200,2
20200102,AFINP,09:49,24.94,24.95,24.94,24.95,24.94667,600,5
20200102,AFINP,09:52,24.95,24.95,24.95,24.95,24.95,300,3
20200102,AFINP,09:53,24.95,24.95,24.95,24.95,24.95,1000,1
20200102,AFINP,09:55,24.96,24.96,24.96,24.96,24.96,900,3
20200102,AFINP,09:56,24.97,24.97,24.97,24.97,24.97,2400,9
20200102,AFINP,09:57,24.97,24.97,24.97,24.97,24.97,200,1
20200102,AFINP,10:02,24.97,24.97,24.97,24.97,24.97,128,1
20200102,AFINP,10:03,24.98,24.98,24.98,24.98,24.98,300,2
20200102,AFINP,10:05,24.98,24.98,24.97,24.97,24.9784,624,5
20200102,AFINP,10:07,24.97,24.97,24.97,24.97,24.97,900,2
20200102,AFINP,10:09,24.97,24.97,24.97,24.97,24.97,492,1
20200102,AFINP,10:11,24.98,24.99,24.98,24.98,24.98145,1376,8
20200102,AFINP,10:12,24.99,24.99,24.99,24.99,24.99,300,3
20200102,AFINP,10:22,24.97,24.9750,24.97,24.97,24.97167,300,3
20200102,AFINP,10:24,24.97,24.97,24.97,24.97,24.97,300,3
20200102,AFINP,10:27,24.99,24.99,24.99,24.99,24.99,100,1
20200102,AFINP,10:30,24.99,24.99,24.98,24.98,24.982,1000,4
20200102,AFINP,10:31,24.98,24.98,24.98,24.98,24.98,482,2
20200102,AFINP,10:35,24.98,24.98,24.98,24.98,24.98,618,2
20200102,AFINP,10:36,24.97,24.97,24.97,24.97,24.97,400,1
