Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AG,04:00,12.26,12.26,12.26,12.26,12.26,100,1
20200102,AG,07:58,12.43,12.43,12.42,12.43,12.42962,2647,3
20200102,AG,08:00,12.43,12.43,12.43,12.43,12.43,2353,2
20200102,AG,08:45,12.45,12.45,12.45,12.45,12.45,200,1
20200102,AG,09:02,12.52,12.52,12.50,12.50,12.50333,600,3
20200102,AG,09:05,12.50,12.50,12.50,12.50,12.50,1000,1
20200102,AG,09:13,12.46,12.46,12.45,12.45,12.45624,500,2
20200102,AG,09:14,12.47,12.47,12.47,12.47,12.47,500,1
20200102,AG,09:19,12.47,12.47,12.47,12.47,12.47,800,2
20200102,AG,09:20,12.47,12.47,12.47,12.47,12.47,300,1
20200102,AG,09:23,12.48,12.49,12.48,12.49,12.485,1000,2
20200102,AG,09:29,12.45,12.45,12.44,12.44,12.445,200,2
20200102,AG,09:30,12.42,12.48,12.40,12.42,12.43757,62408,43
20200102,AG,09:31,12.44,12.44,12.40,12.41,12.4068,26603,42
20200102,AG,09:32,12.41,12.45,12.40,12.45,12.42361,10800,66
20200102,AG,09:33,12.46,12.47,12.44,12.47,12.45283,14620,55
20200102,AG,09:34,12.47,12.51,12.45,12.50,12.47306,24976,71
20200102,AG,09:35,12.49,12.53,12.49,12.52,12.50901,6327,18
20200102,AG,09:36,12.52,12.52,12.5050,12.51,12.51212,5709,13
20200102,AG,09:37,12.52,12.54,12.52,12.53,12.52632,1900,16
20200102,AG,09:38,12.53,12.54,12.52,12.52,12.5311,2551,14
20200102,AG,09:39,12.51,12.51,12.46,12.46,12.48454,8687,21
20200102,AG,09:40,12.46,12.46,12.42,12.42,12.44884,8141,34
20200102,AG,09:41,12.42,12.46,12.42,12.44,12.43964,50500,50
20200102,AG,09:42,12.44,12.47,12.44,12.47,12.45255,19275,32
20200102,AG,09:43,12.47,12.4750,12.4650,12.47,12.46967,1500,13
20200102,AG,09:44,12.48,12.49,12.43,12.44,12.46711,7424,26
20200102,AG,09:45,12.43,12.4350,12.41,12.42,12.4207,5700,28
20200102,AG,09:46,12.42,12.42,12.38,12.3850,12.39403,62402,233
20200102,AG,09:47,12.39,12.39,12.3850,12.3850,12.38786,700,6
20200102,AG,09:48,12.3850,12.3850,12.34,12.3450,12.3667,45183,117
20200102,AG,09:49,12.34,12.36,12.34,12.35,12.35099,8494,37
20200102,AG,09:50,12.35,12.38,12.35,12.3750,12.36976,4935,28
20200102,AG,09:51,12.38,12.41,12.38,12.40,12.3972,15174,52
20200102,AG,09:52,12.40,12.4350,12.40,12.41,12.41517,7427,50
20200102,AG,09:53,12.42,12.44,12.42,12.42,12.435,6300,35
20200102,AG,09:54,12.43,12.4350,12.38,12.38,12.41205,11163,77
20200102,AG,09:55,12.38,12.38,12.36,12.36,12.36754,6543,39
20200102,AG,09:56,12.36,12.36,12.33,12.33,12.33989,13039,38
20200102,AG,09:57,12.33,12.34,12.33,12.34,12.33332,5104,29
20200102,AG,09:58,12.33,12.33,12.31,12.31,12.31994,3527,11
20200102,AG,09:59,12.30,12.31,12.28,12.31,12.29634,10796,50
20200102,AG,10:00,12.31,12.32,12.3050,12.32,12.31204,2512,19
20200102,AG,10:01,12.32,12.33,12.30,12.32,12.31868,18515,63
20200102,AG,10:02,12.32,12.33,12.31,12.32,12.32605,3800,24
20200102,AG,10:03,12.31,12.31,12.30,12.30,12.30787,2108,13
20200102,AG,10:04,12.32,12.34,12.32,12.34,12.32775,4000,24
20200102,AG,10:05,12.34,12.36,12.34,12.36,12.34755,4240,19
20200102,AG,10:06,12.36,12.37,12.34,12.34,12.35751,9810,47
20200102,AG,10:07,12.35,12.35,12.34,12.35,12.34333,1503,10
20200102,AG,10:08,12.34,12.34,12.3350,12.34,12.33984,3052,11
20200102,AG,10:09,12.34,12.34,12.33,12.34,12.33942,3450,17
20200102,AG,10:10,12.34,12.34,12.33,12.34,12.33941,1700,10
20200102,AG,10:11,12.34,12.34,12.3350,12.3350,12.33969,1631,13
