Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AGCO,09:30,77.92,77.92,77.57,77.57,77.9002,3031,4
20200102,AGCO,09:31,77.36,77.36,77.31,77.31,77.3225,800,5
20200102,AGCO,09:35,77.69,77.77,77.69,77.77,77.71,400,4
20200102,AGCO,09:37,77.70,77.70,77.65,77.65,77.675,200,2
20200102,AGCO,09:38,77.64,77.64,77.64,77.64,77.64,100,1
20200102,AGCO,09:41,77.69,77.69,77.69,77.69,77.69,100,1
20200102,AGCO,09:42,77.62,77.62,77.62,77.62,77.62,100,1
20200102,AGCO,09:43,77.80,77.80,77.80,77.80,77.80,100,1
20200102,AGCO,09:45,77.81,77.81,77.81,77.81,77.81,200,2
20200102,AGCO,09:47,77.75,77.79,77.74,77.7750,77.76917,600,6
20200102,AGCO,09:48,77.75,77.75,77.75,77.75,77.75,100,1
20200102,AGCO,09:49,77.74,77.74,77.74,77.74,77.74,200,2
20200102,AGCO,09:51,77.70,77.70,77.70,77.70,77.70,100,1
20200102,AGCO,09:54,77.64,77.64,77.64,77.64,77.64,200,2
20200102,AGCO,09:56,77.71,77.7350,77.71,77.7350,77.7225,200,2
20200102,AGCO,09:57,77.71,77.71,77.71,77.71,77.71,100,1
20200102,AGCO,09:58,77.70,77.70,77.70,77.70,77.70,100,1
20200102,AGCO,09:59,77.64,77.64,77.64,77.64,77.64,100,1
20200102,AGCO,10:00,77.6050,77.6050,77.6050,77.6050,77.605,100,1
20200102,AGCO,10:01,77.53,77.53,77.53,77.53,77.53,100,1
20200102,AGCO,10:02,77.53,77.53,77.52,77.52,77.5275,400,4
20200102,AGCO,10:05,77.52,77.52,77.52,77.52,77.52,100,1
20200102,AGCO,10:06,77.47,77.47,77.47,77.47,77.47,100,1
20200102,AGCO,10:07,77.51,77.51,77.49,77.49,77.50,200,2
20200102,AGCO,10:08,77.49,77.49,77.48,77.48,77.485,200,2
20200102,AGCO,10:12,77.50,77.52,77.50,77.52,77.50667,300,2
20200102,AGCO,10:13,77.50,77.50,77.50,77.50,77.50,100,1
20200102,AGCO,10:15,77.41,77.41,77.41,77.41,77.41,100,1
20200102,AGCO,10:16,77.45,77.45,77.45,77.45,77.45,100,1
20200102,AGCO,10:20,77.41,77.41,77.41,77.41,77.41,100,1
20200102,AGCO,10:22,77.42,77.42,77.42,77.42,77.42,100,1
20200102,AGCO,10:23,77.39,77.39,77.34,77.36,77.36048,708,7
20200102,AGCO,10:26,77.2650,77.2650,77.2650,77.2650,77.265,100,1
20200102,AGCO,10:28,77.27,77.27,77.27,77.27,77.27,100,1
20200102,AGCO,10:29,77.25,77.25,77.25,77.25,77.25,435,4
20200102,AGCO,10:30,77.27,77.27,77.27,77.27,77.27,200,2
20200102,AGCO,10:32,77.29,77.29,77.29,77.29,77.29,100,1
20200102,AGCO,10:33,77.26,77.26,77.24,77.24,77.25,200,2
20200102,AGCO,10:35,77.21,77.24,77.21,77.24,77.2225,400,4
20200102,AGCO,10:37,77.14,77.14,77.14,77.14,77.14,262,2
20200102,AGCO,10:38,77.13,77.13,77.13,77.13,77.13,109,1
20200102,AGCO,10:39,77.17,77.17,77.17,77.17,77.17,200,2
20200102,AGCO,10:41,77.22,77.22,77.22,77.22,77.22,100,1
20200102,AGCO,10:43,77.29,77.29,77.29,77.29,77.29,150,1
20200102,AGCO,10:45,77.29,77.29,77.29,77.29,77.29,100,1
20200102,AGCO,10:47,77.25,77.25,77.25,77.25,77.25,200,2
20200102,AGCO,10:48,77.23,77.23,77.23,77.23,77.23,100,1
20200102,AGCO,10:49,77.22,77.2750,77.22,77.2750,77.25667,300,3
20200102,AGCO,10:50,77.30,77.30,77.29,77.30,77.29667,300,3
20200102,AGCO,10:51,77.33,77.33,77.33,77.33,77.33,100,1
20200102,AGCO,10:52,77.33,77.33,77.33,77.33,77.33,200,2
20200102,AGCO,10:54,77.37,77.40,77.37,77.39,77.38667,300,3
20200102,AGCO,10:57,77.40,77.40,77.34,77.34,77.385,400,4
20200102,AGCO,10:59,77.42,77.42,77.42,77.42,77.42,100,1
20200102,AGCO,11:01,77.42,77.43,77.42,77.43,77.42387,517,5
20200102,AGCO,11:02,77.47,77.47,77.47,77.47,77.47,200,2
20200102,AGCO,11:03,77.44,77.44,77.40,77.40,77.42,500,5
20200102,AGCO,11:04,77.38,77.38,77.38,77.38,77.38,200,1
20200102,AGCO,11:05,77.35,77.35,77.3450,77.3450,77.3475,200,2
20200102,AGCO,11:06,77.33,77.33,77.33,77.33,77.33,100,1
20200102,AGCO,11:07,77.34,77.34,77.30,77.30,77.32667,300,3
20200102,AGCO,11:12,77.23,77.23,77.23,77.23,77.23,200,2
20200102,AGCO,11:13,77.28,77.28,77.21,77.21,77.244,500,5
20200102,AGCO,11:14,77.25,77.28,77.25,77.28,77.25847,354,3
20200102,AGCO,11:15,77.26,77.26,77.26,77.26,77.26,100,1
20200102,AGCO,11:18,77.22,77.22,77.17,77.17,77.19333,300,3
20200102,AGCO,11:20,77.20,77.24,77.19,77.24,77.21,600,5
20200102,AGCO,11:23,77.2850,77.2850,77.2850,77.2850,77.285,100,1
20200102,AGCO,11:24,77.32,77.32,77.31,77.31,77.3175,400,4
20200102,AGCO,11:25,77.31,77.31,77.31,77.31,77.31,200,2
20200102,AGCO,11:28,77.32,77.32,77.32,77.32,77.32,100,1
20200102,AGCO,11:29,77.35,77.35,77.35,77.35,77.35,100,1
20200102,AGCO,11:30,77.35,77.35,77.34,77.34,77.345,200,2
20200102,AGCO,11:31,77.36,77.36,77.36,77.36,77.36,100,1
20200102,AGCO,11:33,77.39,77.39,77.37,77.37,77.378,500,4
20200102,AGCO,11:34,77.36,77.36,77.29,77.31,77.325,800,8
20200102,AGCO,11:36,77.30,77.30,77.30,77.30,77.30,100,1
20200102,AGCO,11:40,77.30,77.30,77.30,77.30,77.30,108,1
20200102,AGCO,11:44,77.37,77.37,77.37,77.37,77.37,100,1
20200102,AGCO,11:45,77.39,77.39,77.39,77.39,77.39,100,1
20200102,AGCO,11:46,77.44,77.44,77.44,77.44,77.44,100,1
20200102,AGCO,11:48,77.40,77.40,77.40,77.40,77.40,200,2
20200102,AGCO,11:49,77.39,77.39,77.38,77.38,77.385,200,2
20200102,AGCO,11:50,77.38,77.41,77.38,77.40,77.402,500,5
20200102,AGCO,11:53,77.42,77.42,77.42,77.42,77.42,100,1
20200102,AGCO,11:56,77.3750,77.3750,77.3750,77.3750,77.375,200,2
20200102,AGCO,11:57,77.39,77.39,77.39,77.39,77.39,200,2
20200102,AGCO,11:58,77.38,77.38,77.38,77.38,77.38,300,3
