Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AGFS,09:30,2.59,2.64,2.59,2.64,2.61222,225,2
20200102,AGFS,09:35,2.65,2.65,2.65,2.65,2.65,200,2
20200102,AGFS,09:36,2.64,2.64,2.64,2.64,2.64,200,2
20200102,AGFS,09:39,2.65,2.65,2.65,2.65,2.65,100,1
20200102,AGFS,10:09,2.68,2.68,2.68,2.68,2.68,200,2
20200102,AGFS,10:11,2.68,2.68,2.68,2.68,2.68,100,1
20200102,AGFS,10:19,2.70,2.70,2.70,2.70,2.70,100,1
20200102,AGFS,10:26,2.71,2.71,2.71,2.71,2.71,100,1
20200102,AGFS,10:33,2.72,2.72,2.72,2.72,2.72,100,1
20200102,AGFS,10:37,2.72,2.72,2.72,2.72,2.72,200,2
20200102,AGFS,10:45,2.70,2.70,2.69,2.70,2.698,500,5
20200102,AGFS,10:52,2.63,2.63,2.63,2.63,2.63,100,1
20200102,AGFS,10:59,2.63,2.63,2.63,2.63,2.63,100,1
20200102,AGFS,11:01,2.67,2.67,2.67,2.67,2.67,100,1
20200102,AGFS,11:24,2.63,2.63,2.63,2.63,2.63,100,1
20200102,AGFS,11:28,2.66,2.66,2.66,2.66,2.66,100,1
20200102,AGFS,11:32,2.64,2.66,2.64,2.66,2.65,200,2
20200102,AGFS,11:36,2.66,2.66,2.66,2.66,2.66,100,1
20200102,AGFS,11:40,2.67,2.69,2.66,2.69,2.67143,700,7
20200102,AGFS,11:43,2.71,2.71,2.71,2.71,2.71,100,1
20200102,AGFS,11:44,2.69,2.69,2.69,2.69,2.69,100,1
20200102,AGFS,11:48,2.68,2.68,2.68,2.68,2.68,100,1
20200102,AGFS,12:44,2.69,2.69,2.69,2.69,2.69,100,1
20200102,AGFS,12:51,2.70,2.70,2.69,2.69,2.695,200,2
20200102,AGFS,13:01,2.70,2.71,2.70,2.71,2.70333,300,3
20200102,AGFS,13:17,2.72,2.72,2.72,2.72,2.72,100,1
20200102,AGFS,13:20,2.68,2.68,2.68,2.68,2.68,100,1
20200102,AGFS,13:28,2.71,2.74,2.71,2.74,2.72701,3616,24
20200102,AGFS,13:31,2.73,2.73,2.73,2.73,2.73,200,2
20200102,AGFS,13:33,2.70,2.70,2.70,2.70,2.70,500,4
20200102,AGFS,13:37,2.73,2.73,2.73,2.73,2.73,100,1
20200102,AGFS,13:43,2.71,2.71,2.71,2.71,2.71,100,1
20200102,AGFS,13:47,2.73,2.73,2.73,2.73,2.73,100,1
20200102,AGFS,13:48,2.69,2.69,2.69,2.69,2.69,100,1
20200102,AGFS,13:49,2.71,2.71,2.71,2.71,2.71,100,1
20200102,AGFS,13:54,2.7150,2.7150,2.7150,2.7150,2.715,100,1
20200102,AGFS,13:57,2.7150,2.7150,2.7150,2.7150,2.715,100,1
20200102,AGFS,13:59,2.7150,2.7150,2.7150,2.7150,2.715,100,1
20200102,AGFS,14:06,2.70,2.70,2.70,2.70,2.70,100,1
20200102,AGFS,14:10,2.73,2.73,2.73,2.73,2.73,600,6
20200102,AGFS,14:12,2.74,2.74,2.74,2.74,2.74,100,1
20200102,AGFS,14:13,2.74,2.74,2.74,2.74,2.74,100,1
20200102,AGFS,14:22,2.74,2.74,2.74,2.74,2.74,100,1
20200102,AGFS,14:31,2.72,2.74,2.72,2.74,2.72667,300,3
20200102,AGFS,14:32,2.74,2.74,2.74,2.74,2.74,100,1
20200102,AGFS,14:39,2.73,2.74,2.73,2.74,2.73625,800,6
20200102,AGFS,14:46,2.75,2.75,2.75,2.75,2.75,100,1
20200102,AGFS,14:50,2.75,2.75,2.75,2.75,2.75,100,1
20200102,AGFS,14:51,2.75,2.75,2.75,2.75,2.75,100,1
20200102,AGFS,14:55,2.75,2.75,2.75,2.75,2.75,100,1
20200102,AGFS,14:58,2.75,2.75,2.75,2.75,2.75,100,1
20200102,AGFS,14:59,2.75,2.75,2.75,2.75,2.75,100,1
20200102,AGFS,15:01,2.75,2.75,2.75,2.75,2.75,3975,11
20200102,AGFS,15:03,2.75,2.75,2.75,2.75,2.75,400,1
20200102,AGFS,15:05,2.72,2.72,2.72,2.72,2.72,100,1
20200102,AGFS,15:08,2.75,2.75,2.75,2.75,2.75,200,2
20200102,AGFS,15:13,2.75,2.75,2.75,2.75,2.75,250,2
20200102,AGFS,15:15,2.75,2.75,2.75,2.75,2.75,100,1
20200102,AGFS,15:21,2.72,2.72,2.72,2.72,2.72,100,1
20200102,AGFS,15:23,2.72,2.72,2.72,2.72,2.72,100,1
20200102,AGFS,15:36,2.72,2.72,2.72,2.72,2.72,100,1
20200102,AGFS,15:40,2.74,2.74,2.74,2.74,2.74,100,1
20200102,AGFS,15:41,2.75,2.75,2.75,2.75,2.75,100,1
20200102,AGFS,15:43,2.75,2.75,2.75,2.75,2.75,100,1
20200102,AGFS,15:50,2.74,2.74,2.73,2.73,2.73333,300,3
20200102,AGFS,15:51,2.74,2.74,2.74,2.74,2.74,100,1
20200102,AGFS,15:53,2.75,2.75,2.75,2.75,2.75,974,3
20200102,AGFS,15:57,2.72,2.72,2.72,2.72,2.72,300,3
20200102,AGFS,15:58,2.71,2.71,2.71,2.71,2.71,100,1
20200102,AGFS,15:59,2.74,2.74,2.74,2.74,2.74,460,4
20200102,AGFS,16:00,2.75,2.75,2.75,2.75,2.75,304,1
