Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AGG,05:57,112.45,112.45,112.45,112.45,112.45,200,1
20200102,AGG,07:04,112.40,112.40,112.40,112.40,112.40,200,1
20200102,AGG,09:30,112.68,112.68,112.65,112.67,112.6797,39935,4
20200102,AGG,09:31,112.67,112.68,112.67,112.68,112.67048,2090,6
20200102,AGG,09:33,112.67,112.69,112.66,112.69,112.6734,5299,24
20200102,AGG,09:34,112.6850,112.69,112.6850,112.69,112.68875,400,4
20200102,AGG,09:35,112.70,112.71,112.70,112.70,112.7011,910,8
20200102,AGG,09:37,112.7050,112.72,112.7050,112.72,112.71417,6599,42
20200102,AGG,09:38,112.73,112.73,112.73,112.73,112.73,300,1
20200102,AGG,09:40,112.73,112.74,112.73,112.73,112.73934,24101,141
20200102,AGG,09:41,112.73,112.73,112.73,112.73,112.73,2200,14
20200102,AGG,09:42,112.73,112.73,112.73,112.73,112.73,586,4
20200102,AGG,09:43,112.73,112.73,112.73,112.73,112.73,3174,9
20200102,AGG,09:44,112.73,112.73,112.73,112.73,112.73,1000,6
20200102,AGG,09:45,112.73,112.73,112.71,112.71,112.72205,4400,28
20200102,AGG,09:46,112.71,112.72,112.71,112.72,112.71182,550,4
20200102,AGG,09:47,112.7250,112.73,112.72,112.72,112.72845,4200,15
20200102,AGG,09:48,112.72,112.72,112.72,112.72,112.72,200,1
20200102,AGG,09:49,112.73,112.7350,112.73,112.7350,112.73017,2900,4
20200102,AGG,09:50,112.7350,112.7350,112.73,112.73,112.73135,2600,7
20200102,AGG,09:52,112.74,112.74,112.73,112.73,112.73944,17964,39
20200102,AGG,09:53,112.74,112.74,112.7350,112.74,112.739,3504,15
20200102,AGG,09:54,112.74,112.74,112.73,112.7350,112.736,500,5
20200102,AGG,09:55,112.7350,112.7350,112.7350,112.7350,112.735,200,2
20200102,AGG,09:56,112.73,112.73,112.73,112.73,112.73,3644,20
20200102,AGG,09:57,112.73,112.74,112.73,112.74,112.732,2000,13
20200102,AGG,09:58,112.74,112.75,112.74,112.7450,112.74135,7667,27
20200102,AGG,09:59,112.74,112.74,112.74,112.74,112.74,3000,13
20200102,AGG,10:00,112.74,112.74,112.74,112.74,112.74,979,4
20200102,AGG,10:01,112.74,112.74,112.7150,112.73,112.72338,14760,52
20200102,AGG,10:02,112.73,112.73,112.73,112.73,112.73,4398,13
20200102,AGG,10:03,112.73,112.74,112.73,112.7350,112.73615,2199,8
20200102,AGG,10:04,112.73,112.73,112.73,112.73,112.73,100,1
20200102,AGG,10:05,112.73,112.7350,112.73,112.73,112.73056,1800,10
20200102,AGG,10:06,112.7290,112.7290,112.7290,112.7290,112.729,600,6
20200102,AGG,10:07,112.73,112.7450,112.73,112.7450,112.73753,8163,24
20200102,AGG,10:08,112.74,112.75,112.74,112.7450,112.74817,3072,11
20200102,AGG,10:09,112.7450,112.7450,112.7450,112.7450,112.745,100,1
20200102,AGG,10:11,112.74,112.74,112.74,112.74,112.74,300,1
20200102,AGG,10:13,112.75,112.75,112.75,112.75,112.75,6816,18
20200102,AGG,10:14,112.7550,112.7550,112.7550,112.7550,112.755,100,1
20200102,AGG,10:15,112.76,112.76,112.76,112.76,112.76,2056,10
20200102,AGG,10:16,112.77,112.77,112.7550,112.7550,112.76276,2624,18
20200102,AGG,10:17,112.7550,112.7550,112.75,112.75,112.75067,2772,20
20200102,AGG,10:19,112.75,112.75,112.7450,112.7450,112.74625,400,3
20200102,AGG,10:20,112.74,112.74,112.74,112.74,112.74,100,1
20200102,AGG,10:21,112.75,112.75,112.75,112.75,112.75,5834,17
20200102,AGG,10:22,112.75,112.76,112.75,112.76,112.75569,1405,6
20200102,AGG,10:23,112.76,112.7650,112.76,112.7650,112.76063,9516,26
20200102,AGG,10:24,112.76,112.76,112.76,112.76,112.76,757,5
20200102,AGG,10:25,112.76,112.76,112.76,112.76,112.76,3000,2
20200102,AGG,10:26,112.77,112.7750,112.77,112.7750,112.77012,8598,22
20200102,AGG,10:27,112.7750,112.7750,112.77,112.77,112.7701,4969,13
20200102,AGG,10:28,112.7750,112.7750,112.77,112.77,112.77172,1221,4
20200102,AGG,10:29,112.77,112.77,112.77,112.77,112.77,2070,7
20200102,AGG,10:30,112.77,112.78,112.77,112.78,112.77714,30816,68
20200102,AGG,10:32,112.78,112.7850,112.78,112.78,112.78048,6300,16
20200102,AGG,10:33,112.78,112.7850,112.78,112.78,112.78036,2800,7
20200102,AGG,10:35,112.78,112.7850,112.7750,112.7750,112.78033,4569,19
20200102,AGG,10:37,112.78,112.79,112.78,112.79,112.78628,17452,51
20200102,AGG,10:38,112.79,112.7950,112.79,112.7950,112.79286,4200,3
20200102,AGG,10:39,112.7950,112.7950,112.79,112.79,112.79167,600,2
20200102,AGG,10:41,112.79,112.79,112.78,112.78,112.78813,1069,8
20200102,AGG,10:42,112.78,112.78,112.78,112.78,112.78,800,2
20200102,AGG,10:43,112.78,112.78,112.76,112.76,112.77435,13818,71
20200102,AGG,10:44,112.77,112.77,112.77,112.77,112.77,200,2
20200102,AGG,10:45,112.77,112.7750,112.77,112.77,112.77025,20247,48
20200102,AGG,10:46,112.77,112.78,112.77,112.78,112.7775,6810,13
20200102,AGG,10:47,112.7750,112.78,112.7650,112.7650,112.77114,19613,73
20200102,AGG,10:48,112.76,112.7650,112.76,112.7650,112.76125,800,3
20200102,AGG,10:49,112.7650,112.7650,112.75,112.75,112.75674,6900,20
20200102,AGG,10:50,112.74,112.74,112.73,112.7350,112.7356,2500,13
20200102,AGG,10:51,112.74,112.75,112.74,112.74,112.74389,17203,42
20200102,AGG,10:52,112.74,112.74,112.74,112.74,112.74,1276,9
20200102,AGG,10:53,112.73,112.7350,112.73,112.73,112.73073,4108,19
20200102,AGG,10:54,112.72,112.7250,112.72,112.7250,112.72417,600,4
20200102,AGG,10:55,112.72,112.7250,112.72,112.72,112.7205,999,4
20200102,AGG,10:56,112.7250,112.7250,112.72,112.7250,112.72048,11670,35
20200102,AGG,10:57,112.72,112.72,112.71,112.71,112.71388,8655,31
20200102,AGG,10:58,112.71,112.7150,112.71,112.71,112.71012,20800,51
20200102,AGG,10:59,112.71,112.71,112.70,112.70,112.70556,11150,41
20200102,AGG,11:00,112.7050,112.71,112.70,112.70,112.70039,22041,54
20200102,AGG,11:01,112.70,112.70,112.69,112.69,112.6959,9499,28
20200102,AGG,11:02,112.6950,112.70,112.69,112.69,112.69158,35294,80
20200102,AGG,11:03,112.69,112.6950,112.68,112.68,112.68355,44876,87
20200102,AGG,11:04,112.68,112.6850,112.68,112.68,112.68099,26897,65
20200102,AGG,11:05,112.68,112.70,112.68,112.70,112.68446,12901,45
20200102,AGG,11:06,112.70,112.72,112.70,112.7150,112.7045,7213,28
20200102,AGG,11:07,112.7150,112.7150,112.71,112.71,112.71014,7100,25
20200102,AGG,11:09,112.70,112.7050,112.70,112.7050,112.70033,1500,9
20200102,AGG,11:10,112.71,112.71,112.70,112.7050,112.70181,4230,18
20200102,AGG,11:11,112.70,112.70,112.69,112.69,112.69377,10635,52
20200102,AGG,11:12,112.68,112.68,112.68,112.68,112.68,2000,12
20200102,AGG,11:13,112.6750,112.68,112.6750,112.68,112.67941,842,3
20200102,AGG,11:14,112.68,112.68,112.67,112.67,112.67609,19180,76
20200102,AGG,11:15,112.67,112.6750,112.67,112.6750,112.6704,2471,12
20200102,AGG,11:16,112.68,112.69,112.68,112.68,112.68138,5798,28
20200102,AGG,11:17,112.68,112.69,112.68,112.69,112.68026,42501,76
20200102,AGG,11:18,112.68,112.69,112.68,112.69,112.68331,89473,169
20200102,AGG,11:19,112.69,112.69,112.68,112.68,112.68022,45939,113
20200102,AGG,11:20,112.67,112.67,112.6650,112.67,112.66985,3378,31
20200102,AGG,11:22,112.67,112.67,112.67,112.67,112.67,1400,13
20200102,AGG,11:23,112.6750,112.6750,112.6750,112.6750,112.675,141,1
20200102,AGG,11:24,112.68,112.69,112.68,112.69,112.68073,4100,25
20200102,AGG,11:25,112.68,112.6850,112.68,112.68,112.68125,400,4
20200102,AGG,11:26,112.68,112.68,112.68,112.68,112.68,1228,7
20200102,AGG,11:27,112.68,112.68,112.67,112.67,112.67094,1600,11
20200102,AGG,11:28,112.6650,112.6650,112.6450,112.6450,112.65875,1600,15
20200102,AGG,11:29,112.6450,112.6450,112.64,112.6450,112.64437,800,8
20200102,AGG,11:30,112.64,112.64,112.64,112.64,112.64,4500,31
20200102,AGG,11:31,112.64,112.64,112.64,112.64,112.64,1900,16
20200102,AGG,11:32,112.64,112.64,112.64,112.64,112.64,6904,60
20200102,AGG,11:33,112.65,112.65,112.64,112.64,112.64875,800,6
20200102,AGG,11:35,112.65,112.65,112.6450,112.6450,112.64833,300,3
20200102,AGG,11:36,112.64,112.64,112.6350,112.6350,112.63897,4371,14
20200102,AGG,11:37,112.6350,112.6350,112.6350,112.6350,112.635,240,2
20200102,AGG,11:38,112.63,112.6350,112.63,112.63,112.6305,2000,14
20200102,AGG,11:39,112.62,112.6250,112.6150,112.6150,112.62122,1229,8
20200102,AGG,11:40,112.6150,112.6150,112.61,112.61,112.61019,2600,26
20200102,AGG,11:41,112.61,112.6150,112.61,112.6150,112.61266,3923,18
20200102,AGG,11:43,112.6150,112.6150,112.6150,112.6150,112.615,400,3
20200102,AGG,11:44,112.61,112.6150,112.61,112.6150,112.61359,1420,12
20200102,AGG,11:45,112.6150,112.6150,112.61,112.61,112.61125,5160,30
20200102,AGG,11:46,112.61,112.6150,112.61,112.6150,112.61417,600,5
20200102,AGG,11:47,112.6150,112.6150,112.61,112.61,112.61017,2900,18
20200102,AGG,11:48,112.61,112.61,112.61,112.61,112.61,2200,22
20200102,AGG,11:49,112.61,112.62,112.61,112.62,112.61037,2700,11
20200102,AGG,11:50,112.6150,112.62,112.6050,112.61,112.61126,6423,50
20200102,AGG,11:51,112.61,112.6150,112.61,112.61,112.6131,1577,13
20200102,AGG,11:52,112.62,112.62,112.62,112.62,112.62,2100,15
20200102,AGG,11:54,112.62,112.62,112.62,112.62,112.62,12179,50
20200102,AGG,11:55,112.62,112.62,112.61,112.61,112.61967,4600,20
20200102,AGG,11:56,112.62,112.62,112.61,112.61,112.61305,6400,45
20200102,AGG,11:57,112.6050,112.61,112.6050,112.61,112.60831,887,4
20200102,AGG,11:58,112.60,112.6050,112.5950,112.60,112.60007,6932,29
20200102,AGG,11:59,112.60,112.60,112.60,112.60,112.60,100,1
20200102,AGG,12:00,112.6050,112.6050,112.60,112.6050,112.60333,601,5
20200102,AGG,12:01,112.6050,112.6050,112.6050,112.6050,112.605,500,5
20200102,AGG,12:02,112.6050,112.6050,112.6050,112.6050,112.605,300,3
20200102,AGG,12:03,112.6050,112.6050,112.60,112.60,112.60091,4557,19
20200102,AGG,12:04,112.59,112.59,112.58,112.58,112.58977,4384,20
20200102,AGG,12:05,112.5850,112.59,112.5850,112.59,112.58575,1411,9
20200102,AGG,12:07,112.5850,112.5850,112.5850,112.5850,112.585,100,1
20200102,AGG,12:08,112.58,112.5850,112.58,112.58,112.5806,2500,18
20200102,AGG,12:10,112.59,112.59,112.59,112.59,112.59,5038,38
20200102,AGG,12:11,112.59,112.59,112.5850,112.59,112.58956,8190,27
20200102,AGG,12:12,112.59,112.60,112.59,112.60,112.59916,5336,43
20200102,AGG,12:13,112.60,112.60,112.60,112.60,112.60,1600,16
20200102,AGG,12:14,112.60,112.60,112.60,112.60,112.60,1400,14
20200102,AGG,12:15,112.60,112.60,112.60,112.60,112.60,2246,22
20200102,AGG,12:16,112.60,112.60,112.60,112.60,112.60,1100,11
20200102,AGG,12:18,112.5950,112.5950,112.59,112.59,112.59015,23489,53
20200102,AGG,12:19,112.59,112.59,112.59,112.59,112.59,2644,23
20200102,AGG,12:20,112.59,112.59,112.59,112.59,112.59,100,1
20200102,AGG,12:21,112.58,112.58,112.58,112.58,112.58,1393,8
20200102,AGG,12:24,112.58,112.59,112.58,112.59,112.58704,919,9
20200102,AGG,12:25,112.59,112.5950,112.59,112.59,112.59167,300,3
20200102,AGG,12:26,112.5950,112.60,112.5950,112.60,112.59667,300,3
20200102,AGG,12:29,112.59,112.59,112.59,112.59,112.59,100,1
20200102,AGG,12:30,112.60,112.60,112.60,112.60,112.60,2800,11
20200102,AGG,12:31,112.5950,112.60,112.5950,112.60,112.59625,400,3
20200102,AGG,12:32,112.60,112.60,112.5950,112.60,112.59975,1991,14
20200102,AGG,12:33,112.60,112.60,112.5990,112.60,112.59998,5715,19
