Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AGLE,09:35,7.43,7.43,7.43,7.43,7.43,100,1
20200102,AGLE,09:48,7.60,7.60,7.60,7.60,7.60,1385,9
20200102,AGLE,09:49,7.75,7.75,7.74,7.74,7.745,400,4
20200102,AGLE,09:51,7.73,7.73,7.73,7.73,7.73,300,3
20200102,AGLE,09:52,7.73,7.73,7.59,7.60,7.62467,1491,8
20200102,AGLE,09:53,7.70,7.70,7.70,7.70,7.70,1606,1
20200102,AGLE,09:55,7.80,7.80,7.80,7.80,7.80,100,1
20200102,AGLE,09:57,7.78,7.78,7.78,7.78,7.78,100,1
20200102,AGLE,10:01,7.77,7.77,7.77,7.77,7.77,100,1
20200102,AGLE,10:33,7.55,7.55,7.55,7.55,7.55,100,1
20200102,AGLE,11:16,7.42,7.42,7.42,7.42,7.42,100,1
20200102,AGLE,11:26,7.40,7.40,7.40,7.40,7.40,100,1
20200102,AGLE,11:34,7.40,7.40,7.40,7.40,7.40,542,4
20200102,AGLE,11:35,7.40,7.40,7.40,7.40,7.40,400,4
20200102,AGLE,11:41,7.38,7.38,7.38,7.38,7.38,179,1
20200102,AGLE,11:42,7.38,7.38,7.37,7.37,7.37734,376,2
20200102,AGLE,11:52,7.40,7.40,7.40,7.40,7.40,700,7
20200102,AGLE,11:53,7.42,7.42,7.42,7.42,7.42,300,3
20200102,AGLE,11:55,7.43,7.43,7.43,7.43,7.43,100,1
20200102,AGLE,11:59,7.46,7.46,7.46,7.46,7.46,300,3
20200102,AGLE,12:16,7.46,7.49,7.46,7.49,7.46857,700,6
20200102,AGLE,12:27,7.47,7.47,7.47,7.47,7.47,100,1
20200102,AGLE,12:34,7.47,7.48,7.47,7.47,7.47333,300,3
20200102,AGLE,13:13,7.52,7.52,7.51,7.52,7.51875,800,8
20200102,AGLE,13:17,7.56,7.58,7.56,7.58,7.56667,300,3
20200102,AGLE,13:45,7.58,7.58,7.58,7.58,7.58,400,4
20200102,AGLE,13:46,7.59,7.59,7.59,7.59,7.59,100,1
20200102,AGLE,14:03,7.57,7.57,7.57,7.57,7.57,300,3
20200102,AGLE,14:59,7.59,7.60,7.59,7.60,7.5975,400,4
20200102,AGLE,15:02,7.60,7.60,7.59,7.60,7.59923,2600,13
20200102,AGLE,15:27,7.5950,7.60,7.5950,7.60,7.59655,435,4
20200102,AGLE,15:29,7.60,7.60,7.60,7.60,7.60,100,1
20200102,AGLE,15:35,7.62,7.62,7.62,7.62,7.62,100,1
20200102,AGLE,15:40,7.61,7.61,7.61,7.61,7.61,100,1
20200102,AGLE,15:46,7.59,7.64,7.58,7.64,7.62062,2116,16
20200102,AGLE,15:47,7.67,7.67,7.65,7.65,7.665,400,3
20200102,AGLE,15:51,7.69,7.69,7.69,7.69,7.69,300,3
20200102,AGLE,15:55,7.70,7.70,7.70,7.70,7.70,200,2
20200102,AGLE,15:56,7.70,7.70,7.70,7.70,7.70,300,3
20200102,AGLE,15:57,7.70,7.80,7.70,7.80,7.76039,2351,23
20200102,AGLE,15:58,7.80,7.80,7.80,7.80,7.80,637,6
20200102,AGLE,15:59,7.77,7.78,7.75,7.75,7.76444,782,7
20200102,AGLE,16:00,7.75,7.75,7.75,7.75,7.75,4730,1
