Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AGN,08:31,191.90,191.90,191.90,191.90,191.90,100,1
20200102,AGN,09:30,191.84,191.84,191.74,191.74,191.83945,18123,2
20200102,AGN,09:31,191.60,191.73,191.53,191.62,191.62747,8598,79
20200102,AGN,09:32,191.62,191.68,191.49,191.53,191.56452,8345,68
20200102,AGN,09:33,191.60,191.74,191.60,191.65,191.66443,3594,21
20200102,AGN,09:34,191.60,191.69,191.60,191.60,191.65709,2750,26
20200102,AGN,09:35,191.60,191.60,191.51,191.52,191.56667,900,9
20200102,AGN,09:36,191.60,191.66,191.54,191.66,191.592,500,5
20200102,AGN,09:37,191.61,191.62,191.55,191.62,191.59143,700,7
20200102,AGN,09:38,191.68,191.68,191.55,191.55,191.5881,617,6
20200102,AGN,09:39,191.44,191.48,191.43,191.45,191.46,800,8
20200102,AGN,09:40,191.48,191.52,191.34,191.37,191.45015,3301,32
20200102,AGN,09:41,191.39,191.40,191.28,191.28,191.36381,2825,24
20200102,AGN,09:42,191.28,191.29,191.15,191.21,191.23295,4400,40
20200102,AGN,09:43,191.1850,191.27,191.18,191.21,191.2089,3204,32
20200102,AGN,09:44,191.25,191.35,191.24,191.35,191.26884,1460,13
20200102,AGN,09:45,191.39,191.39,191.26,191.30,191.31659,2016,20
20200102,AGN,09:46,191.41,191.41,191.32,191.33,191.36571,700,7
20200102,AGN,09:47,191.32,191.35,191.30,191.30,191.326,500,5
20200102,AGN,09:48,191.29,191.29,191.21,191.21,191.25483,2304,23
20200102,AGN,09:49,191.21,191.21,191.07,191.10,191.15293,2500,18
20200102,AGN,09:50,191.07,191.2050,191.07,191.17,191.16074,2715,25
20200102,AGN,09:51,191.13,191.13,191.08,191.08,191.0975,400,4
20200102,AGN,09:52,191.10,191.13,191.01,191.13,191.08178,3717,31
20200102,AGN,09:53,191.10,191.14,191.09,191.12,191.1185,2000,18
20200102,AGN,09:54,191.18,191.20,191.07,191.07,191.13325,1516,14
20200102,AGN,09:55,191.06,191.15,191.06,191.11,191.11645,930,9
20200102,AGN,09:56,191.10,191.10,191.02,191.08,191.06693,1301,11
20200102,AGN,09:57,191.09,191.09,191.01,191.01,191.03442,896,8
20200102,AGN,09:58,191.01,191.01,190.99,191.00,190.99886,925,8
20200102,AGN,09:59,191.06,191.14,191.06,191.14,191.09889,900,9
20200102,AGN,10:00,191.22,191.24,191.10,191.17,191.16883,2558,25
20200102,AGN,10:01,191.16,191.19,191.13,191.16,191.16722,900,9
