Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AGNC,09:17,17.71,17.76,17.71,17.76,17.75457,1281,3
20200102,AGNC,09:30,17.71,17.75,17.70,17.71,17.71198,64204,50
20200102,AGNC,09:31,17.71,17.71,17.68,17.69,17.69384,8602,62
20200102,AGNC,09:32,17.70,17.70,17.68,17.6850,17.68963,1350,8
20200102,AGNC,09:34,17.68,17.6850,17.68,17.68,17.68167,300,3
20200102,AGNC,09:35,17.68,17.69,17.67,17.69,17.68266,9578,49
20200102,AGNC,09:36,17.6950,17.70,17.6950,17.6950,17.69583,600,4
20200102,AGNC,09:37,17.70,17.71,17.70,17.7050,17.70007,20390,100
20200102,AGNC,09:38,17.71,17.71,17.70,17.7050,17.70047,8541,39
20200102,AGNC,09:39,17.71,17.72,17.70,17.72,17.71413,4855,29
20200102,AGNC,09:40,17.72,17.73,17.72,17.73,17.72667,300,3
20200102,AGNC,09:41,17.7250,17.73,17.7250,17.73,17.72833,300,3
20200102,AGNC,09:42,17.73,17.73,17.7250,17.7250,17.72636,1100,4
20200102,AGNC,09:43,17.7250,17.7250,17.72,17.72,17.72473,2640,10
20200102,AGNC,09:44,17.7250,17.7350,17.7250,17.73,17.72953,4528,29
20200102,AGNC,09:45,17.73,17.74,17.73,17.74,17.73462,1303,9
20200102,AGNC,09:46,17.7350,17.7350,17.73,17.7350,17.73156,1600,10
20200102,AGNC,09:47,17.73,17.73,17.71,17.71,17.72255,7439,47
20200102,AGNC,09:48,17.71,17.71,17.70,17.70,17.70463,21735,80
20200102,AGNC,09:49,17.70,17.7050,17.70,17.70,17.70004,47360,214
20200102,AGNC,09:50,17.70,17.71,17.70,17.71,17.70676,1700,11
20200102,AGNC,09:51,17.71,17.72,17.71,17.7150,17.7103,21497,50
20200102,AGNC,09:52,17.71,17.71,17.70,17.70,17.70311,16290,80
20200102,AGNC,09:54,17.7050,17.7050,17.7050,17.7050,17.705,203,2
20200102,AGNC,09:56,17.71,17.7150,17.71,17.7150,17.71026,3800,15
20200102,AGNC,09:57,17.71,17.7150,17.71,17.7150,17.71167,300,3
20200102,AGNC,09:58,17.7150,17.7150,17.70,17.70,17.70902,2395,19
20200102,AGNC,09:59,17.71,17.71,17.7050,17.71,17.7098,2450,18
20200102,AGNC,10:00,17.71,17.7150,17.71,17.71,17.71071,700,5
20200102,AGNC,10:01,17.7150,17.7150,17.71,17.7150,17.71375,400,4
20200102,AGNC,10:02,17.71,17.71,17.6950,17.7050,17.70136,13872,57
20200102,AGNC,10:03,17.7050,17.71,17.7050,17.71,17.70864,793,7
20200102,AGNC,10:04,17.7050,17.7050,17.69,17.7050,17.70005,21999,88
20200102,AGNC,10:06,17.7050,17.7050,17.70,17.70,17.70167,600,6
20200102,AGNC,10:07,17.70,17.7050,17.70,17.70,17.70018,5417,29
20200102,AGNC,10:08,17.70,17.70,17.6950,17.70,17.69996,23684,117
20200102,AGNC,10:09,17.71,17.7150,17.71,17.71,17.7102,5020,29
20200102,AGNC,10:10,17.71,17.7150,17.71,17.7150,17.71167,300,2
20200102,AGNC,10:11,17.7150,17.7150,17.71,17.71,17.71167,300,3
20200102,AGNC,10:12,17.71,17.71,17.71,17.71,17.71,1500,13
20200102,AGNC,10:13,17.71,17.71,17.70,17.70,17.70601,4893,33
20200102,AGNC,10:14,17.70,17.7050,17.70,17.7050,17.70118,1700,17
20200102,AGNC,10:15,17.7050,17.7050,17.69,17.6950,17.69956,9160,44
20200102,AGNC,10:16,17.70,17.70,17.69,17.69,17.6905,2993,20
20200102,AGNC,10:17,17.69,17.69,17.6850,17.6850,17.68929,703,5
20200102,AGNC,10:18,17.69,17.69,17.69,17.69,17.69,100,1
20200102,AGNC,10:19,17.68,17.68,17.68,17.68,17.68,100,1
20200102,AGNC,10:20,17.6850,17.6850,17.6850,17.6850,17.685,300,3
20200102,AGNC,10:21,17.69,17.69,17.68,17.6850,17.68563,800,8
20200102,AGNC,10:22,17.68,17.68,17.68,17.68,17.68,600,4
20200102,AGNC,10:23,17.68,17.69,17.67,17.69,17.68206,12651,70
20200102,AGNC,10:24,17.68,17.69,17.68,17.69,17.6825,2600,22
20200102,AGNC,10:25,17.69,17.69,17.69,17.69,17.69,200,1
20200102,AGNC,10:26,17.69,17.69,17.68,17.68,17.68467,2920,20
20200102,AGNC,10:27,17.6850,17.6850,17.68,17.68,17.68167,300,3
20200102,AGNC,10:28,17.6850,17.6850,17.68,17.68,17.68031,1600,15
20200102,AGNC,10:29,17.68,17.68,17.6750,17.68,17.679,1000,9
20200102,AGNC,10:30,17.67,17.6750,17.67,17.6750,17.67071,700,6
20200102,AGNC,10:31,17.67,17.6750,17.67,17.67,17.67016,3186,23
20200102,AGNC,10:32,17.67,17.67,17.6650,17.67,17.66975,2037,11
20200102,AGNC,10:33,17.67,17.67,17.6550,17.66,17.66039,8963,57
20200102,AGNC,10:34,17.66,17.66,17.66,17.66,17.66,509,5
20200102,AGNC,10:35,17.65,17.6550,17.6450,17.65,17.65011,31585,65
20200102,AGNC,10:37,17.65,17.65,17.64,17.65,17.64833,1500,13
20200102,AGNC,10:38,17.64,17.6450,17.64,17.6450,17.642,500,5
20200102,AGNC,10:39,17.64,17.6450,17.64,17.64,17.64071,700,7
20200102,AGNC,10:40,17.65,17.66,17.6450,17.6550,17.6505,9984,37
20200102,AGNC,10:41,17.65,17.65,17.65,17.65,17.65,500,4
20200102,AGNC,10:43,17.66,17.66,17.65,17.65,17.65715,2281,18
20200102,AGNC,10:44,17.65,17.65,17.65,17.65,17.65,400,4
20200102,AGNC,10:45,17.65,17.65,17.65,17.65,17.65,400,3
20200102,AGNC,10:46,17.65,17.6550,17.65,17.6550,17.65083,600,3
20200102,AGNC,10:47,17.65,17.65,17.64,17.64,17.64867,3773,24
20200102,AGNC,10:48,17.64,17.64,17.64,17.64,17.64,400,4
20200102,AGNC,10:49,17.6450,17.65,17.64,17.64,17.6442,1810,15
20200102,AGNC,10:50,17.64,17.64,17.63,17.63,17.63783,4612,28
20200102,AGNC,10:51,17.63,17.6350,17.63,17.6350,17.6307,930,9
20200102,AGNC,10:52,17.6350,17.65,17.6350,17.65,17.64009,11706,63
20200102,AGNC,10:53,17.6450,17.6450,17.6450,17.6450,17.645,400,4
20200102,AGNC,10:54,17.65,17.66,17.6450,17.6550,17.6506,5838,42
20200102,AGNC,10:56,17.6550,17.6550,17.65,17.65,17.65084,2373,15
20200102,AGNC,10:57,17.65,17.65,17.65,17.65,17.65,416,3
20200102,AGNC,10:58,17.65,17.65,17.65,17.65,17.65,100,1
20200102,AGNC,10:59,17.65,17.65,17.65,17.65,17.65,3043,17
20200102,AGNC,11:00,17.6550,17.66,17.6550,17.6550,17.65643,700,5
20200102,AGNC,11:01,17.6550,17.66,17.65,17.65,17.65212,1650,13
20200102,AGNC,11:02,17.65,17.6550,17.65,17.6550,17.65125,400,4
20200102,AGNC,11:03,17.66,17.66,17.66,17.66,17.66,100,1
20200102,AGNC,11:04,17.6550,17.6550,17.65,17.6550,17.6525,800,7
20200102,AGNC,11:05,17.65,17.6550,17.64,17.65,17.64964,9603,50
20200102,AGNC,11:06,17.65,17.65,17.6350,17.64,17.64226,7454,42
20200102,AGNC,11:07,17.64,17.64,17.6350,17.64,17.63981,5250,32
20200102,AGNC,11:08,17.64,17.64,17.64,17.64,17.64,600,6
20200102,AGNC,11:09,17.64,17.64,17.64,17.64,17.64,900,8
20200102,AGNC,11:11,17.64,17.64,17.64,17.64,17.64,1718,15
20200102,AGNC,11:13,17.64,17.6450,17.64,17.64,17.64029,1705,8
20200102,AGNC,11:14,17.64,17.64,17.63,17.63,17.6386,3527,17
20200102,AGNC,11:15,17.63,17.63,17.63,17.63,17.63,1700,17
20200102,AGNC,11:17,17.63,17.63,17.63,17.63,17.63,100,1
20200102,AGNC,11:18,17.63,17.63,17.63,17.63,17.63,223,2
20200102,AGNC,11:19,17.63,17.6350,17.63,17.63,17.63167,300,3
20200102,AGNC,11:21,17.6350,17.6350,17.6350,17.6350,17.635,500,4
20200102,AGNC,11:22,17.64,17.64,17.63,17.63,17.6325,600,5
20200102,AGNC,11:23,17.63,17.63,17.63,17.63,17.63,300,3
20200102,AGNC,11:24,17.6350,17.64,17.63,17.64,17.63931,10798,53
20200102,AGNC,11:25,17.64,17.6450,17.64,17.64,17.64118,851,8
20200102,AGNC,11:26,17.64,17.64,17.64,17.64,17.64,200,2
20200102,AGNC,11:27,17.64,17.64,17.64,17.64,17.64,873,6
20200102,AGNC,11:29,17.65,17.65,17.64,17.64,17.645,200,2
20200102,AGNC,11:30,17.64,17.6450,17.64,17.6450,17.64071,700,6
20200102,AGNC,11:31,17.64,17.64,17.64,17.64,17.64,1015,6
