Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AGQ,08:16,32.00,32.00,32.00,32.00,32.00,500,2
20200102,AGQ,08:23,32.12,32.12,32.12,32.12,32.12,600,6
20200102,AGQ,08:42,32.30,32.30,32.30,32.30,32.30,200,1
20200102,AGQ,08:59,32.40,32.40,32.40,32.40,32.40,1500,1
20200102,AGQ,09:16,32.29,32.29,32.29,32.29,32.29,900,1
20200102,AGQ,09:29,32.22,32.22,32.20,32.22,32.2173,2870,9
20200102,AGQ,09:30,32.19,32.25,32.19,32.23,32.19604,17510,8
20200102,AGQ,09:31,32.26,32.30,32.26,32.30,32.2852,777,4
20200102,AGQ,09:32,32.32,32.32,32.30,32.30,32.31667,600,2
20200102,AGQ,09:33,32.30,32.30,32.30,32.30,32.30,460,1
20200102,AGQ,09:34,32.34,32.34,32.34,32.34,32.34,180,1
20200102,AGQ,09:35,32.34,32.40,32.34,32.40,32.37058,3576,14
20200102,AGQ,09:36,32.43,32.43,32.43,32.43,32.43,106,1
20200102,AGQ,09:37,32.44,32.45,32.44,32.45,32.44179,1400,6
20200102,AGQ,09:38,32.45,32.45,32.42,32.42,32.43526,6070,18
20200102,AGQ,09:40,32.31,32.31,32.29,32.30,32.30409,2200,9
20200102,AGQ,09:42,32.27,32.27,32.27,32.27,32.27,300,1
20200102,AGQ,09:44,32.28,32.28,32.2750,32.2750,32.27905,529,2
20200102,AGQ,09:47,32.23,32.23,32.22,32.23,32.22532,855,6
20200102,AGQ,09:48,32.25,32.25,32.25,32.25,32.25,300,2
20200102,AGQ,09:52,32.17,32.18,32.17,32.18,32.17849,661,4
20200102,AGQ,09:53,32.17,32.18,32.16,32.17,32.16977,13000,15
20200102,AGQ,09:54,32.18,32.18,32.18,32.18,32.18,892,3
20200102,AGQ,09:56,32.10,32.10,32.09,32.09,32.09947,4750,3
20200102,AGQ,09:57,32.03,32.06,32.03,32.06,32.034,750,5
20200102,AGQ,09:59,31.96,31.96,31.91,31.95,31.94982,11024,14
20200102,AGQ,10:00,32.06,32.06,32.04,32.04,32.04887,1804,6
20200102,AGQ,10:04,32.12,32.12,32.12,32.12,32.12,100,1
20200102,AGQ,10:06,32.19,32.19,32.19,32.19,32.19,100,1
20200102,AGQ,10:08,32.18,32.18,32.18,32.18,32.18,363,1
20200102,AGQ,10:09,32.17,32.17,32.17,32.17,32.17,100,1
20200102,AGQ,10:11,32.19,32.19,32.19,32.19,32.19,2461,8
20200102,AGQ,10:12,32.19,32.19,32.19,32.19,32.19,100,1
20200102,AGQ,10:13,32.19,32.26,32.19,32.21,32.21556,8814,23
20200102,AGQ,10:14,32.20,32.24,32.20,32.22,32.23691,10764,19
20200102,AGQ,10:16,32.22,32.24,32.22,32.24,32.2221,952,3
20200102,AGQ,10:17,32.22,32.23,32.22,32.22,32.22181,551,4
20200102,AGQ,10:18,32.22,32.22,32.22,32.22,32.22,230,2
20200102,AGQ,10:19,32.25,32.25,32.25,32.25,32.25,100,1
20200102,AGQ,10:20,32.28,32.28,32.28,32.28,32.28,100,1
20200102,AGQ,10:22,32.27,32.27,32.27,32.27,32.27,241,1
20200102,AGQ,10:23,32.30,32.30,32.29,32.30,32.2975,800,7
20200102,AGQ,10:26,32.33,32.33,32.33,32.33,32.33,500,5
20200102,AGQ,10:27,32.35,32.35,32.35,32.35,32.35,100,1
20200102,AGQ,10:29,32.32,32.32,32.29,32.29,32.30474,1195,4
20200102,AGQ,10:32,32.34,32.34,32.34,32.34,32.34,1154,3
20200102,AGQ,10:33,32.34,32.34,32.32,32.32,32.33,200,2
20200102,AGQ,10:34,32.30,32.30,32.30,32.30,32.30,100,1
20200102,AGQ,10:35,32.29,32.29,32.28,32.28,32.28893,933,3
20200102,AGQ,10:41,32.28,32.28,32.28,32.28,32.28,200,2
20200102,AGQ,10:42,32.30,32.31,32.30,32.31,32.3011,907,3
20200102,AGQ,10:44,32.31,32.31,32.31,32.31,32.31,100,1
20200102,AGQ,10:45,32.30,32.30,32.30,32.30,32.30,3000,1
20200102,AGQ,10:46,32.34,32.34,32.34,32.34,32.34,960,2
20200102,AGQ,10:47,32.34,32.34,32.34,32.34,32.34,100,1
20200102,AGQ,10:49,32.29,32.29,32.29,32.29,32.29,476,3
20200102,AGQ,10:51,32.28,32.28,32.28,32.28,32.28,900,1
20200102,AGQ,10:52,32.29,32.29,32.29,32.29,32.29,100,1
20200102,AGQ,10:57,32.20,32.20,32.18,32.18,32.18603,2362,5
20200102,AGQ,11:01,32.18,32.18,32.18,32.18,32.18,463,2
20200102,AGQ,11:02,32.16,32.16,32.15,32.15,32.15283,1059,5
20200102,AGQ,11:04,32.11,32.11,32.11,32.11,32.11,112,1
20200102,AGQ,11:06,32.14,32.14,32.14,32.14,32.14,700,2
20200102,AGQ,11:08,32.14,32.14,32.14,32.14,32.14,100,1
20200102,AGQ,11:10,32.12,32.12,32.12,32.12,32.12,100,1
20200102,AGQ,11:15,32.08,32.08,32.08,32.08,32.08,491,3
20200102,AGQ,11:16,32.08,32.08,32.08,32.08,32.08,100,1
20200102,AGQ,11:17,32.09,32.11,32.09,32.11,32.1025,400,4
20200102,AGQ,11:18,32.11,32.15,32.11,32.15,32.1369,3353,14
20200102,AGQ,11:22,32.17,32.17,32.17,32.17,32.17,200,2
20200102,AGQ,11:23,32.17,32.17,32.17,32.17,32.17,1550,9
20200102,AGQ,11:24,32.18,32.18,32.18,32.18,32.18,1408,8
20200102,AGQ,11:29,32.08,32.08,32.08,32.08,32.08,200,2
20200102,AGQ,11:30,32.04,32.06,32.04,32.06,32.05235,810,2
