Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AGYS,09:30,25.54,25.54,25.54,25.54,25.54,397,1
20200102,AGYS,09:32,25.58,25.70,25.58,25.70,25.62,300,3
20200102,AGYS,09:35,25.64,25.64,25.47,25.47,25.5475,400,4
20200102,AGYS,09:42,25.5250,25.5250,25.51,25.5250,25.5175,400,4
20200102,AGYS,09:43,25.51,25.63,25.51,25.63,25.544,500,5
20200102,AGYS,09:49,25.55,25.55,25.55,25.55,25.55,100,1
20200102,AGYS,09:50,25.5350,25.5350,25.5350,25.5350,25.535,100,1
20200102,AGYS,09:53,25.61,25.61,25.61,25.61,25.61,700,7
20200102,AGYS,09:56,25.61,25.61,25.59,25.59,25.602,500,5
20200102,AGYS,09:58,25.55,25.55,25.53,25.53,25.54666,598,5
20200102,AGYS,09:59,25.56,25.56,25.56,25.56,25.56,100,1
20200102,AGYS,10:07,25.54,25.57,25.54,25.57,25.55,300,3
20200102,AGYS,10:08,25.53,25.54,25.51,25.52,25.52778,900,9
20200102,AGYS,10:09,25.47,25.52,25.47,25.52,25.49,500,4
20200102,AGYS,10:15,25.46,25.46,25.46,25.46,25.46,102,1
20200102,AGYS,10:16,25.46,25.46,25.46,25.46,25.46,100,1
20200102,AGYS,10:17,25.48,25.48,25.48,25.48,25.48,200,2
20200102,AGYS,10:18,25.46,25.52,25.44,25.48,25.47,700,7
20200102,AGYS,10:19,25.48,25.48,25.48,25.48,25.48,100,1
20200102,AGYS,10:23,25.48,25.54,25.47,25.54,25.48503,1930,15
20200102,AGYS,10:24,25.50,25.55,25.49,25.49,25.516,1000,7
20200102,AGYS,10:25,25.48,25.51,25.48,25.51,25.486,500,5
20200102,AGYS,10:26,25.46,25.49,25.44,25.46,25.45667,600,6
20200102,AGYS,10:29,25.45,25.45,25.45,25.45,25.45,100,1
20200102,AGYS,10:30,25.49,25.49,25.49,25.49,25.49,100,1
20200102,AGYS,10:32,25.50,25.50,25.48,25.48,25.49333,300,3
20200102,AGYS,10:37,25.48,25.52,25.48,25.52,25.50,400,4
20200102,AGYS,10:39,25.53,25.53,25.53,25.53,25.53,100,1
20200102,AGYS,10:43,25.55,25.55,25.55,25.55,25.55,100,1
20200102,AGYS,10:46,25.52,25.52,25.52,25.52,25.52,100,1
20200102,AGYS,10:47,25.53,25.55,25.53,25.55,25.535,400,4
20200102,AGYS,10:50,25.54,25.54,25.54,25.54,25.54,100,1
20200102,AGYS,10:58,25.6950,25.6950,25.6950,25.6950,25.695,100,1
20200102,AGYS,11:00,25.69,25.69,25.69,25.69,25.69,100,1
20200102,AGYS,11:01,25.69,25.69,25.67,25.67,25.68,200,2
20200102,AGYS,11:10,25.68,25.68,25.68,25.68,25.68,100,1
20200102,AGYS,11:16,25.65,25.65,25.65,25.65,25.65,200,2
20200102,AGYS,11:17,25.67,25.67,25.67,25.67,25.67,100,1
20200102,AGYS,11:20,25.69,25.70,25.69,25.70,25.69857,700,6
20200102,AGYS,11:21,25.69,25.71,25.69,25.71,25.69501,399,3
20200102,AGYS,11:24,25.70,25.70,25.70,25.70,25.70,100,1
20200102,AGYS,11:25,25.71,25.71,25.71,25.71,25.71,100,1
20200102,AGYS,11:30,25.68,25.69,25.68,25.69,25.68333,300,3
20200102,AGYS,11:34,25.63,25.63,25.63,25.63,25.63,100,1
20200102,AGYS,11:53,25.60,25.60,25.60,25.60,25.60,100,1
20200102,AGYS,11:54,25.58,25.59,25.58,25.59,25.5825,400,4
20200102,AGYS,11:56,25.57,25.57,25.57,25.57,25.57,100,1
