Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AHPI,07:03,1.07,1.07,1.07,1.07,1.07,188,1
20200102,AHPI,09:30,1.22,1.22,1.22,1.22,1.22,856,1
20200102,AHPI,10:34,1.38,1.38,1.38,1.38,1.38,100,1
20200102,AHPI,11:32,1.36,1.36,1.36,1.36,1.36,100,1
20200102,AHPI,13:41,1.30,1.30,1.30,1.30,1.30,400,1
20200102,AHPI,13:43,1.34,1.34,1.34,1.34,1.34,100,1
20200102,AHPI,13:49,1.34,1.34,1.34,1.34,1.34,1900,2
20200102,AHPI,14:21,1.30,1.30,1.30,1.30,1.30,1594,2
20200102,AHPI,15:30,1.30,1.30,1.30,1.30,1.30,6100,4
20200102,AHPI,15:52,1.26,1.26,1.26,1.26,1.26,200,1
