Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AI,07:00,5.51,5.51,5.51,5.51,5.51,100,1
20200102,AI,09:30,5.58,5.58,5.58,5.58,5.58,7598,2
20200102,AI,09:31,5.58,5.58,5.57,5.57,5.57222,1800,5
20200102,AI,09:32,5.57,5.57,5.56,5.56,5.563,500,4
20200102,AI,09:33,5.56,5.5650,5.56,5.5650,5.56167,300,2
20200102,AI,09:34,5.5650,5.5650,5.56,5.56,5.56063,799,7
20200102,AI,09:35,5.56,5.58,5.56,5.58,5.57,985,7
20200102,AI,09:39,5.57,5.58,5.57,5.58,5.575,800,4
20200102,AI,09:40,5.58,5.58,5.58,5.58,5.58,1000,2
20200102,AI,09:41,5.57,5.57,5.57,5.57,5.57,746,3
20200102,AI,09:47,5.57,5.57,5.57,5.57,5.57,100,1
20200102,AI,09:48,5.57,5.57,5.57,5.57,5.57,200,1
20200102,AI,09:50,5.57,5.57,5.56,5.57,5.5692,2499,15
20200102,AI,09:51,5.57,5.57,5.56,5.56,5.56333,300,3
20200102,AI,09:52,5.5650,5.5650,5.56,5.56,5.56182,1098,8
20200102,AI,09:53,5.56,5.56,5.56,5.56,5.56,400,3
20200102,AI,09:54,5.57,5.57,5.57,5.57,5.57,300,2
20200102,AI,09:55,5.57,5.57,5.57,5.57,5.57,200,2
20200102,AI,09:56,5.57,5.5750,5.5650,5.5750,5.57009,5700,32
20200102,AI,09:57,5.57,5.57,5.57,5.57,5.57,200,2
20200102,AI,09:58,5.57,5.58,5.57,5.58,5.57714,700,4
20200102,AI,09:59,5.5750,5.5750,5.56,5.56,5.57012,4180,9
20200102,AI,10:00,5.57,5.57,5.57,5.57,5.57,287,2
20200102,AI,10:01,5.57,5.57,5.57,5.57,5.57,1100,5
20200102,AI,10:03,5.58,5.58,5.58,5.58,5.58,200,2
20200102,AI,10:04,5.58,5.5850,5.58,5.58,5.58006,7891,15
20200102,AI,10:08,5.5850,5.5850,5.5850,5.5850,5.585,100,1
20200102,AI,10:09,5.59,5.59,5.59,5.59,5.59,1194,3
20200102,AI,10:10,5.59,5.60,5.59,5.60,5.59111,900,9
20200102,AI,10:11,5.60,5.60,5.60,5.60,5.60,1890,9
20200102,AI,10:12,5.6050,5.61,5.6050,5.6050,5.60667,300,3
20200102,AI,10:13,5.60,5.6050,5.60,5.6050,5.60167,300,2
20200102,AI,10:14,5.6050,5.6050,5.6050,5.6050,5.605,500,3
20200102,AI,10:15,5.60,5.60,5.60,5.60,5.60,600,5
20200102,AI,10:16,5.61,5.61,5.60,5.60,5.60333,300,2
20200102,AI,10:17,5.60,5.60,5.60,5.60,5.60,400,2
20200102,AI,10:19,5.60,5.60,5.60,5.60,5.60,100,1
20200102,AI,10:21,5.60,5.60,5.60,5.60,5.60,100,1
20200102,AI,10:22,5.60,5.60,5.60,5.60,5.60,300,3
20200102,AI,10:23,5.60,5.60,5.60,5.60,5.60,800,5
20200102,AI,10:24,5.60,5.60,5.60,5.60,5.60,733,5
20200102,AI,10:28,5.60,5.60,5.60,5.60,5.60,100,1
20200102,AI,10:29,5.60,5.60,5.59,5.59,5.59839,1865,9
20200102,AI,10:30,5.59,5.59,5.59,5.59,5.59,400,4
20200102,AI,10:31,5.59,5.59,5.59,5.59,5.59,200,1
20200102,AI,10:34,5.59,5.59,5.59,5.59,5.59,503,4
20200102,AI,10:35,5.59,5.59,5.59,5.59,5.59,300,3
20200102,AI,10:36,5.59,5.59,5.58,5.58,5.58956,2286,9
20200102,AI,10:37,5.58,5.58,5.58,5.58,5.58,300,3
20200102,AI,10:38,5.58,5.58,5.58,5.58,5.58,100,1
20200102,AI,10:39,5.58,5.59,5.58,5.58,5.58833,1200,8
20200102,AI,10:40,5.58,5.59,5.58,5.59,5.585,200,2
20200102,AI,10:41,5.59,5.59,5.59,5.59,5.59,300,2
20200102,AI,10:43,5.59,5.59,5.59,5.59,5.59,300,2
20200102,AI,10:44,5.59,5.5950,5.59,5.5950,5.5905,1123,7
20200102,AI,10:45,5.59,5.59,5.59,5.59,5.59,200,1
20200102,AI,10:46,5.59,5.59,5.57,5.57,5.58006,8600,25
20200102,AI,10:50,5.5750,5.5750,5.57,5.57,5.573,500,2
20200102,AI,10:51,5.57,5.57,5.57,5.57,5.57,400,3
20200102,AI,10:53,5.5750,5.5750,5.57,5.57,5.57123,405,4
20200102,AI,10:54,5.58,5.58,5.58,5.58,5.58,100,1
20200102,AI,10:55,5.57,5.57,5.57,5.57,5.57,200,2
20200102,AI,10:58,5.57,5.57,5.57,5.57,5.57,300,2
20200102,AI,10:59,5.57,5.57,5.57,5.57,5.57,100,1
20200102,AI,11:01,5.57,5.5750,5.57,5.5750,5.5725,200,2
20200102,AI,11:02,5.57,5.57,5.57,5.57,5.57,200,2
20200102,AI,11:04,5.57,5.57,5.57,5.57,5.57,180,1
20200102,AI,11:06,5.57,5.57,5.57,5.57,5.57,200,1
20200102,AI,11:07,5.57,5.57,5.57,5.57,5.57,2784,13
20200102,AI,11:08,5.57,5.57,5.57,5.57,5.57,1411,2
20200102,AI,11:09,5.56,5.56,5.56,5.56,5.56,200,1
20200102,AI,11:10,5.56,5.56,5.56,5.56,5.56,200,2
20200102,AI,11:11,5.5650,5.5650,5.5650,5.5650,5.565,200,2
20200102,AI,11:12,5.56,5.56,5.56,5.56,5.56,100,1
20200102,AI,11:13,5.56,5.56,5.56,5.56,5.56,300,2
20200102,AI,11:14,5.56,5.56,5.56,5.56,5.56,400,3
