Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AIH,09:40,6.40,6.40,6.40,6.40,6.40,100,1
20200102,AIH,09:53,6.45,6.45,6.45,6.45,6.45,600,4
20200102,AIH,10:02,6.44,6.44,6.39,6.39,6.40767,2217,11
20200102,AIH,10:16,6.35,6.35,6.35,6.35,6.35,100,1
20200102,AIH,10:29,6.25,6.25,6.25,6.25,6.25,216,2
20200102,AIH,10:30,6.25,6.25,6.25,6.25,6.25,261,2
20200102,AIH,10:34,6.28,6.28,6.28,6.28,6.28,100,1
20200102,AIH,10:41,6.27,6.27,6.27,6.27,6.27,100,1
20200102,AIH,10:45,6.28,6.28,6.25,6.25,6.2706,319,3
20200102,AIH,10:50,6.27,6.34,6.27,6.34,6.30521,4800,18
20200102,AIH,10:51,6.30,6.30,6.30,6.30,6.30,100,1
20200102,AIH,11:42,6.30,6.30,6.30,6.30,6.30,300,2
20200102,AIH,11:43,6.30,6.30,6.30,6.30,6.30,100,1
20200102,AIH,11:48,6.30,6.35,6.30,6.35,6.33645,3100,13
20200102,AIH,11:49,6.35,6.35,6.35,6.35,6.35,1400,5
20200102,AIH,11:51,6.39,6.45,6.39,6.45,6.42782,10100,10
20200102,AIH,11:53,6.47,6.55,6.45,6.55,6.51039,10150,14
20200102,AIH,13:30,6.37,6.37,6.37,6.37,6.37,1482,3
20200102,AIH,13:31,6.38,6.38,6.38,6.38,6.38,300,1
20200102,AIH,14:17,6.37,6.37,6.37,6.37,6.37,100,1
20200102,AIH,14:38,6.40,6.40,6.40,6.40,6.40,200,2
20200102,AIH,14:44,6.4350,6.45,6.4350,6.45,6.44625,400,3
20200102,AIH,14:45,6.45,6.45,6.45,6.45,6.45,500,1
20200102,AIH,15:04,6.42,6.45,6.42,6.45,6.444,1000,6
20200102,AIH,15:07,6.43,6.45,6.43,6.45,6.43667,600,6
20200102,AIH,15:08,6.45,6.45,6.45,6.45,6.45,1719,5
20200102,AIH,15:15,6.47,6.47,6.45,6.47,6.46619,2100,6
20200102,AIH,15:19,6.46,6.47,6.46,6.47,6.46667,900,3
20200102,AIH,15:20,6.46,6.46,6.46,6.46,6.46,100,1
20200102,AIH,15:23,6.47,6.47,6.47,6.47,6.47,500,1
20200102,AIH,15:44,6.46,6.49,6.45,6.49,6.47488,4300,10
