Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AIHS,09:30,0.70,0.70,0.70,0.70,0.70,521,1
20200102,AIHS,09:41,0.67,0.67,0.67,0.67,0.67,1500,1
20200102,AIHS,09:43,0.67,0.67,0.67,0.67,0.67,100,1
20200102,AIHS,09:52,0.6940,0.6940,0.6940,0.6940,0.694,550,1
20200102,AIHS,10:27,0.6610,0.6610,0.6610,0.6610,0.661,100,1
20200102,AIHS,10:53,0.6610,0.6610,0.6610,0.6610,0.661,6900,2
20200102,AIHS,11:00,0.6757,0.6757,0.6757,0.6757,0.6757,350,2
20200102,AIHS,11:18,0.6601,0.6601,0.6601,0.6601,0.6601,1600,2
20200102,AIHS,11:20,0.6661,0.6661,0.6661,0.6661,0.6661,1400,2
20200102,AIHS,11:24,0.6667,0.6667,0.6667,0.6667,0.6667,100,1
20200102,AIHS,11:38,0.6667,0.6667,0.6667,0.6667,0.6667,800,2
20200102,AIHS,11:57,0.67,0.6750,0.67,0.6750,0.67013,3900,12
20200102,AIHS,12:03,0.6667,0.6667,0.6666,0.6666,0.66661,1633,2
20200102,AIHS,12:12,0.6680,0.67,0.6680,0.67,0.66962,3160,14
20200102,AIHS,12:18,0.67,0.67,0.67,0.67,0.67,300,2
20200102,AIHS,12:23,0.67,0.67,0.67,0.67,0.67,100,1
20200102,AIHS,12:24,0.6750,0.6750,0.6750,0.6750,0.675,200,2
20200102,AIHS,12:27,0.6750,0.6850,0.6750,0.6850,0.67698,900,7
20200102,AIHS,12:28,0.69,0.6997,0.69,0.6997,0.69567,4975,3
20200102,AIHS,12:29,0.70,0.70,0.70,0.70,0.70,2700,3
20200102,AIHS,12:30,0.6875,0.6875,0.6875,0.6875,0.6875,100,1
20200102,AIHS,12:31,0.6949,0.6949,0.6949,0.6949,0.6949,846,1
20200102,AIHS,12:39,0.6925,0.6925,0.6901,0.6901,0.69078,1420,12
20200102,AIHS,12:41,0.6925,0.6925,0.6925,0.6925,0.6925,100,1
20200102,AIHS,12:44,0.6901,0.6901,0.6901,0.6901,0.6901,200,2
20200102,AIHS,12:45,0.6949,0.6949,0.6949,0.6949,0.6949,445,4
20200102,AIHS,13:03,0.70,0.70,0.70,0.70,0.70,1535,6
20200102,AIHS,13:05,0.70,0.70,0.70,0.70,0.70,8892,9
20200102,AIHS,13:06,0.70,0.70,0.70,0.70,0.70,21019,26
20200102,AIHS,13:07,0.70,0.70,0.70,0.70,0.70,100,1
20200102,AIHS,13:10,0.70,0.70,0.70,0.70,0.70,5807,13
20200102,AIHS,13:11,0.70,0.7199,0.70,0.7190,0.70731,7381,7
20200102,AIHS,13:12,0.7190,0.72,0.7190,0.72,0.71965,2600,6
20200102,AIHS,13:15,0.72,0.7301,0.72,0.73,0.72946,1600,4
20200102,AIHS,13:16,0.7301,0.7301,0.73,0.73,0.73007,300,3
20200102,AIHS,13:17,0.7301,0.7301,0.7201,0.7201,0.72387,2900,8
20200102,AIHS,13:20,0.71,0.71,0.71,0.71,0.71,4300,12
20200102,AIHS,13:21,0.7001,0.7035,0.70,0.70,0.70034,1991,13
20200102,AIHS,13:23,0.71,0.7198,0.71,0.7198,0.71537,1500,3
20200102,AIHS,13:33,0.7099,0.7099,0.7099,0.7099,0.7099,200,1
20200102,AIHS,13:50,0.71,0.71,0.71,0.71,0.71,4399,2
20200102,AIHS,13:57,0.71,0.71,0.71,0.71,0.71,801,1
20200102,AIHS,14:11,0.7169,0.7169,0.7041,0.7041,0.70839,3241,12
20200102,AIHS,14:14,0.7170,0.7170,0.7040,0.7040,0.705,4000,9
20200102,AIHS,14:15,0.7035,0.7035,0.70,0.70,0.70058,600,6
20200102,AIHS,14:16,0.6926,0.6926,0.6926,0.6926,0.6926,500,4
20200102,AIHS,14:18,0.6926,0.6926,0.6926,0.6926,0.6926,100,1
20200102,AIHS,14:30,0.6927,0.6927,0.6927,0.6927,0.6927,100,1
20200102,AIHS,14:33,0.6927,0.6927,0.6927,0.6927,0.6927,282,2
20200102,AIHS,14:36,0.6971,0.6971,0.6926,0.6926,0.69557,1211,4
20200102,AIHS,15:32,0.70,0.70,0.70,0.70,0.70,1700,2
20200102,AIHS,15:33,0.70,0.70,0.70,0.70,0.70,200,2
20200102,AIHS,15:43,0.7025,0.7025,0.7025,0.7025,0.7025,100,1
20200102,AIHS,15:53,0.7050,0.7050,0.7050,0.7050,0.705,5000,2
20200102,AIHS,15:54,0.7051,0.7051,0.7051,0.7051,0.7051,100,1
20200102,AIHS,15:55,0.7051,0.7051,0.7051,0.7051,0.7051,1855,1
20200102,AIHS,15:57,0.7051,0.7051,0.7051,0.7051,0.7051,3145,3
