Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AIM,09:01,0.5677,0.5677,0.5677,0.5677,0.5677,700,1
20200102,AIM,09:03,0.57,0.57,0.57,0.57,0.57,1000,1
20200102,AIM,09:30,0.5712,0.5712,0.5650,0.5650,0.5709,2937,4
20200102,AIM,09:31,0.56,0.56,0.56,0.56,0.56,300,1
20200102,AIM,09:32,0.56,0.57,0.5595,0.57,0.56674,6000,12
20200102,AIM,09:33,0.5625,0.5625,0.5625,0.5625,0.5625,200,2
20200102,AIM,09:34,0.5617,0.58,0.5617,0.5709,0.57396,4600,15
20200102,AIM,09:36,0.5709,0.5709,0.56,0.56,0.56338,1931,3
20200102,AIM,09:37,0.5708,0.5708,0.5708,0.5708,0.5708,100,1
20200102,AIM,09:38,0.5617,0.5617,0.5617,0.5617,0.5617,100,1
20200102,AIM,09:39,0.56,0.56,0.56,0.56,0.56,1300,5
20200102,AIM,09:40,0.5672,0.5673,0.5672,0.5673,0.5673,5700,8
20200102,AIM,09:42,0.56,0.56,0.56,0.56,0.56,100,1
20200102,AIM,09:45,0.5620,0.5620,0.5620,0.5620,0.562,400,4
20200102,AIM,09:46,0.5620,0.5620,0.5620,0.5620,0.562,400,1
20200102,AIM,09:50,0.5674,0.5674,0.5674,0.5674,0.5674,100,1
20200102,AIM,09:51,0.5724,0.5850,0.5724,0.5774,0.58134,11603,14
20200102,AIM,09:54,0.5774,0.58,0.5774,0.58,0.57974,1000,3
20200102,AIM,09:55,0.5724,0.5750,0.5724,0.5750,0.57384,450,3
20200102,AIM,09:57,0.5724,0.5749,0.57,0.57,0.57143,5400,8
20200102,AIM,09:58,0.57,0.5724,0.56,0.56,0.56617,6573,18
20200102,AIM,10:02,0.5673,0.5673,0.5673,0.5673,0.5673,200,1
20200102,AIM,10:03,0.5673,0.5750,0.5673,0.5749,0.5731,15500,13
20200102,AIM,10:04,0.5749,0.5750,0.5749,0.5750,0.575,30768,6
20200102,AIM,10:07,0.5749,0.5750,0.5749,0.5750,0.57498,3560,7
20200102,AIM,10:09,0.5727,0.5727,0.57,0.57,0.57075,1400,6
20200102,AIM,10:10,0.5701,0.5701,0.57,0.57,0.57,5000,4
20200102,AIM,10:11,0.5701,0.5701,0.5701,0.5701,0.5701,100,1
20200102,AIM,10:13,0.5727,0.5750,0.5727,0.5750,0.57413,3800,7
20200102,AIM,10:14,0.5750,0.5750,0.5750,0.5750,0.575,1000,3
20200102,AIM,10:15,0.5750,0.5750,0.5710,0.5740,0.57158,3900,8
20200102,AIM,10:16,0.5740,0.5740,0.5740,0.5740,0.574,1600,7
20200102,AIM,10:17,0.5740,0.5740,0.5736,0.5736,0.57374,295,2
20200102,AIM,10:18,0.5730,0.5730,0.5730,0.5730,0.573,100,1
20200102,AIM,10:19,0.5730,0.5730,0.57,0.57,0.5706,8750,15
20200102,AIM,10:20,0.5730,0.5730,0.5730,0.5730,0.573,100,1
20200102,AIM,10:21,0.5720,0.5720,0.57,0.57,0.57016,1340,4
20200102,AIM,10:22,0.57,0.5720,0.57,0.5720,0.57067,300,2
20200102,AIM,10:23,0.5720,0.5720,0.5720,0.5720,0.572,100,1
20200102,AIM,10:25,0.5720,0.5720,0.5720,0.5720,0.572,100,1
20200102,AIM,10:26,0.5720,0.5720,0.57,0.57,0.57076,3150,5
20200102,AIM,10:27,0.5720,0.5720,0.5720,0.5720,0.572,100,1
20200102,AIM,10:28,0.5720,0.5720,0.57,0.57,0.57013,1550,2
20200102,AIM,10:30,0.5720,0.5720,0.5720,0.5720,0.572,100,1
20200102,AIM,10:31,0.57,0.5750,0.57,0.5750,0.57466,61950,14
20200102,AIM,10:32,0.5744,0.5744,0.5744,0.5744,0.5744,400,3
20200102,AIM,10:33,0.5744,0.5750,0.5744,0.5750,0.57498,37669,10
20200102,AIM,10:34,0.5749,0.59,0.5749,0.59,0.57932,62465,67
20200102,AIM,10:35,0.5875,0.5933,0.5875,0.5905,0.59148,10331,25
20200102,AIM,10:36,0.5919,0.5933,0.5919,0.5930,0.59304,4200,5
20200102,AIM,10:37,0.5930,0.5930,0.5930,0.5930,0.593,230,1
20200102,AIM,10:38,0.5933,0.5933,0.5930,0.5933,0.59322,3742,13
20200102,AIM,10:39,0.5950,0.6120,0.5950,0.6120,0.60433,42839,108
20200102,AIM,10:40,0.6150,0.62,0.6132,0.6132,0.61905,17397,35
20200102,AIM,10:41,0.6132,0.6160,0.6105,0.6160,0.61106,9150,18
20200102,AIM,10:42,0.6106,0.6206,0.61,0.62,0.61705,26151,33
20200102,AIM,10:43,0.6151,0.6151,0.6117,0.6117,0.61355,550,2
20200102,AIM,10:44,0.6101,0.6101,0.6064,0.6064,0.60984,12716,14
20200102,AIM,10:45,0.6075,0.6075,0.6075,0.6075,0.6075,200,1
20200102,AIM,10:46,0.6075,0.61,0.6075,0.61,0.60983,7930,6
20200102,AIM,10:48,0.61,0.62,0.61,0.62,0.61694,7749,33
20200102,AIM,10:49,0.6199,0.6199,0.6199,0.6199,0.6199,600,6
20200102,AIM,10:50,0.62,0.63,0.62,0.6235,0.62153,10152,38
20200102,AIM,10:51,0.6255,0.63,0.62,0.62,0.62628,20922,30
20200102,AIM,10:52,0.62,0.6298,0.62,0.6220,0.6205,27380,27
20200102,AIM,10:53,0.62,0.63,0.62,0.63,0.62579,13010,32
20200102,AIM,10:54,0.63,0.63,0.62,0.62,0.62605,16060,21
20200102,AIM,10:55,0.6211,0.6305,0.62,0.63,0.62814,22181,58
20200102,AIM,10:56,0.63,0.63,0.6287,0.6287,0.62995,2400,2
20200102,AIM,10:57,0.63,0.64,0.63,0.64,0.63166,24019,49
20200102,AIM,10:58,0.64,0.64,0.64,0.64,0.64,100,1
20200102,AIM,10:59,0.64,0.64,0.64,0.64,0.64,3400,8
20200102,AIM,11:00,0.6311,0.6311,0.62,0.6255,0.62742,11055,17
20200102,AIM,11:01,0.6251,0.63,0.6251,0.63,0.62608,500,2
20200102,AIM,11:04,0.63,0.63,0.63,0.63,0.63,250,1
20200102,AIM,11:06,0.6260,0.6260,0.6250,0.6250,0.62539,2700,3
20200102,AIM,11:07,0.6203,0.6250,0.6203,0.6203,0.62307,1217,5
20200102,AIM,11:08,0.6226,0.6298,0.6203,0.6298,0.62519,4808,15
20200102,AIM,11:09,0.6298,0.6299,0.6202,0.6299,0.62386,3070,8
20200102,AIM,11:10,0.6299,0.63,0.6299,0.63,0.62996,4821,21
20200102,AIM,11:11,0.63,0.63,0.62,0.62,0.62308,20210,21
20200102,AIM,11:13,0.6298,0.6299,0.6298,0.6299,0.62982,966,4
20200102,AIM,11:14,0.6299,0.6299,0.6299,0.6299,0.6299,1201,3
20200102,AIM,11:15,0.62,0.62,0.58,0.58,0.60565,28226,39
