Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AIMT,09:17,34.00,34.00,34.00,34.00,34.00,100,1
20200102,AIMT,09:30,33.88,33.9250,33.76,33.76,33.87659,17330,16
20200102,AIMT,09:31,33.75,33.81,33.60,33.69,33.68004,2264,14
20200102,AIMT,09:33,33.66,33.71,33.62,33.62,33.65377,963,9
20200102,AIMT,09:34,33.63,33.63,33.57,33.57,33.62059,850,5
20200102,AIMT,09:36,33.63,33.77,33.63,33.68,33.695,400,4
20200102,AIMT,09:38,33.68,33.70,33.68,33.70,33.6825,800,7
20200102,AIMT,09:39,33.76,33.76,33.68,33.68,33.70667,300,3
20200102,AIMT,09:40,33.71,33.71,33.62,33.62,33.66339,2419,24
20200102,AIMT,09:41,33.67,33.67,33.66,33.66,33.66167,600,3
20200102,AIMT,09:42,33.72,33.72,33.71,33.71,33.715,200,2
20200102,AIMT,09:43,33.72,33.72,33.72,33.72,33.72,600,3
20200102,AIMT,09:44,33.75,33.75,33.75,33.75,33.75,1374,13
20200102,AIMT,09:45,33.75,33.82,33.75,33.82,33.75313,3517,11
20200102,AIMT,09:46,33.85,33.91,33.85,33.91,33.87333,600,6
20200102,AIMT,09:47,33.93,33.93,33.93,33.93,33.93,100,1
20200102,AIMT,09:48,33.84,33.84,33.77,33.77,33.8171,1723,14
20200102,AIMT,09:49,33.77,33.79,33.75,33.79,33.77333,600,6
20200102,AIMT,09:50,33.81,33.94,33.81,33.92,33.91352,6507,24
20200102,AIMT,09:51,33.90,33.96,33.90,33.96,33.94824,1700,17
20200102,AIMT,09:52,33.97,34.08,33.96,33.96,34.00167,7470,47
20200102,AIMT,09:53,33.90,33.90,33.87,33.88,33.89297,711,5
20200102,AIMT,09:54,33.75,33.75,33.67,33.67,33.70182,1100,7
20200102,AIMT,09:55,33.69,33.80,33.69,33.78,33.72292,6513,34
20200102,AIMT,09:56,33.80,33.84,33.80,33.83,33.814,1000,8
20200102,AIMT,09:57,33.84,33.84,33.84,33.84,33.84,100,1
20200102,AIMT,09:58,33.86,33.86,33.76,33.78,33.83123,2851,9
20200102,AIMT,09:59,33.77,33.78,33.77,33.78,33.775,200,2
20200102,AIMT,10:00,33.79,33.80,33.79,33.80,33.792,500,5
20200102,AIMT,10:01,33.82,33.82,33.75,33.77,33.78821,1903,16
20200102,AIMT,10:02,33.72,33.76,33.72,33.75,33.74714,700,7
20200102,AIMT,10:03,33.75,33.78,33.75,33.78,33.76,400,4
20200102,AIMT,10:04,33.75,33.75,33.74,33.75,33.74714,1400,6
20200102,AIMT,10:06,33.73,33.73,33.70,33.70,33.71333,300,3
20200102,AIMT,10:07,33.71,33.71,33.65,33.65,33.68371,890,8
20200102,AIMT,10:08,33.62,33.62,33.61,33.61,33.615,200,2
20200102,AIMT,10:09,33.62,33.63,33.58,33.59,33.59667,600,6
20200102,AIMT,10:11,33.57,33.60,33.57,33.60,33.58182,1100,11
