Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AIR,09:30,45.32,45.32,45.32,45.32,45.32,2503,1
20200102,AIR,09:35,45.32,45.33,45.32,45.33,45.32417,240,2
20200102,AIR,09:38,45.38,45.38,45.33,45.33,45.36,500,5
20200102,AIR,09:41,45.38,45.38,45.38,45.38,45.38,100,1
20200102,AIR,09:42,45.41,45.41,45.41,45.41,45.41,100,1
20200102,AIR,09:45,45.4250,45.4250,45.4250,45.4250,45.425,100,1
20200102,AIR,09:49,45.38,45.38,45.34,45.34,45.35,400,4
20200102,AIR,09:53,45.31,45.31,45.31,45.31,45.31,100,1
20200102,AIR,09:55,45.43,45.44,45.43,45.44,45.435,200,2
20200102,AIR,10:01,45.45,45.45,45.41,45.41,45.42143,700,5
20200102,AIR,10:05,45.42,45.42,45.42,45.42,45.42,200,2
20200102,AIR,10:10,45.33,45.33,45.33,45.33,45.33,400,2
20200102,AIR,10:11,45.38,45.38,45.30,45.30,45.33,300,3
20200102,AIR,10:15,45.28,45.28,45.28,45.28,45.28,100,1
20200102,AIR,10:16,45.23,45.24,45.23,45.24,45.235,200,2
20200102,AIR,10:18,45.2550,45.2550,45.2550,45.2550,45.255,300,3
20200102,AIR,10:19,45.26,45.26,45.26,45.26,45.26,100,1
20200102,AIR,10:20,45.27,45.27,45.27,45.27,45.27,100,1
20200102,AIR,10:21,45.28,45.28,45.26,45.26,45.27,200,2
20200102,AIR,10:23,45.21,45.21,45.21,45.21,45.21,100,1
20200102,AIR,10:25,45.15,45.15,45.15,45.15,45.15,100,1
20200102,AIR,10:26,45.17,45.17,45.17,45.17,45.17,100,1
20200102,AIR,10:32,45.16,45.16,45.16,45.16,45.16,100,1
20200102,AIR,10:34,45.16,45.16,45.16,45.16,45.16,100,1
20200102,AIR,10:35,45.16,45.16,45.16,45.16,45.16,100,1
20200102,AIR,10:36,45.21,45.22,45.21,45.21,45.21179,560,5
20200102,AIR,10:38,45.19,45.19,45.19,45.19,45.19,100,1
20200102,AIR,10:39,45.14,45.14,45.14,45.14,45.14,100,1
20200102,AIR,10:41,45.22,45.25,45.22,45.25,45.2375,400,4
20200102,AIR,10:48,45.24,45.24,45.24,45.24,45.24,300,2
20200102,AIR,10:49,45.18,45.18,45.16,45.16,45.178,1000,10
20200102,AIR,10:50,45.13,45.15,45.13,45.15,45.13667,300,3
20200102,AIR,10:52,45.12,45.12,45.12,45.12,45.12,100,1
20200102,AIR,10:53,45.1550,45.1550,45.1550,45.1550,45.155,100,1
20200102,AIR,10:58,45.24,45.24,45.24,45.24,45.24,240,1
20200102,AIR,10:59,45.17,45.17,45.11,45.13,45.12906,1210,9
20200102,AIR,11:00,45.10,45.10,45.02,45.0450,45.07727,1100,9
20200102,AIR,11:05,45.07,45.07,45.07,45.07,45.07,100,1
20200102,AIR,11:09,45.07,45.10,45.07,45.10,45.08259,517,3
20200102,AIR,11:11,45.10,45.11,45.09,45.09,45.09436,1605,15
20200102,AIR,11:15,45.08,45.08,45.08,45.08,45.08,600,4
20200102,AIR,11:18,45.0750,45.0750,45.0750,45.0750,45.075,100,1
20200102,AIR,11:20,45.07,45.07,45.07,45.07,45.07,100,1
20200102,AIR,11:25,45.1150,45.1150,45.07,45.07,45.08056,900,4
20200102,AIR,11:26,45.04,45.04,45.04,45.04,45.04,200,2
20200102,AIR,11:27,45.03,45.03,45.03,45.03,45.03,100,1
20200102,AIR,11:29,45.07,45.08,45.07,45.08,45.075,200,2
20200102,AIR,11:30,45.10,45.10,45.10,45.10,45.10,200,2
20200102,AIR,11:34,45.05,45.05,45.05,45.05,45.05,100,1
20200102,AIR,11:35,45.02,45.02,45.02,45.02,45.02,100,1
20200102,AIR,11:36,45.00,45.00,45.00,45.00,45.00,900,1
20200102,AIR,11:38,45.05,45.05,45.05,45.05,45.05,100,1
20200102,AIR,11:39,45.08,45.08,45.08,45.08,45.08,100,1
20200102,AIR,11:43,45.03,45.05,45.03,45.05,45.04333,300,3
20200102,AIR,11:44,45.06,45.06,45.06,45.06,45.06,100,1
20200102,AIR,11:46,45.06,45.06,45.06,45.06,45.06,100,1
20200102,AIR,11:48,45.02,45.0350,45.02,45.0350,45.0275,200,2
20200102,AIR,11:56,45.07,45.07,45.06,45.06,45.065,200,2
20200102,AIR,11:57,45.05,45.05,44.93,44.93,45.0145,1000,8
20200102,AIR,11:58,44.96,44.96,44.96,44.96,44.96,100,1
20200102,AIR,11:59,44.9350,44.9350,44.9350,44.9350,44.935,100,1
20200102,AIR,12:03,44.97,44.97,44.95,44.95,44.96,200,2
20200102,AIR,12:04,44.95,44.95,44.95,44.95,44.95,100,1
20200102,AIR,12:05,44.95,44.95,44.95,44.95,44.95,100,1
20200102,AIR,12:07,44.94,44.94,44.94,44.94,44.94,100,1
20200102,AIR,12:12,44.89,44.89,44.89,44.89,44.89,100,1
20200102,AIR,12:13,44.93,44.93,44.93,44.93,44.93,131,1
20200102,AIR,12:18,44.91,44.91,44.91,44.91,44.91,100,1
20200102,AIR,12:19,44.92,44.92,44.92,44.92,44.92,100,1
20200102,AIR,12:21,44.95,44.95,44.95,44.95,44.95,363,2
20200102,AIR,12:22,44.96,44.97,44.96,44.97,44.96333,300,3
20200102,AIR,12:26,44.9750,44.9750,44.9750,44.9750,44.975,100,1
20200102,AIR,12:28,44.9750,44.9750,44.9750,44.9750,44.975,100,1
20200102,AIR,12:30,44.9750,44.9750,44.9750,44.9750,44.975,100,1
20200102,AIR,12:34,44.97,44.97,44.94,44.94,44.965,600,6
20200102,AIR,12:35,44.9550,44.9550,44.9550,44.9550,44.955,100,1
20200102,AIR,12:38,44.96,44.96,44.96,44.96,44.96,100,1
20200102,AIR,12:45,44.96,44.96,44.96,44.96,44.96,100,1
20200102,AIR,12:46,44.94,44.94,44.94,44.94,44.94,100,1
20200102,AIR,12:47,44.9350,44.9350,44.9350,44.9350,44.935,100,1
20200102,AIR,12:48,44.92,44.92,44.92,44.92,44.92,100,1
20200102,AIR,12:49,44.92,44.92,44.92,44.92,44.92,100,1
20200102,AIR,12:54,44.9150,44.93,44.9150,44.92,44.92375,400,4
20200102,AIR,12:55,44.94,44.94,44.94,44.94,44.94,200,2
20200102,AIR,12:59,44.95,44.95,44.95,44.95,44.95,100,1
20200102,AIR,13:01,44.94,44.94,44.94,44.94,44.94,500,5
20200102,AIR,13:02,44.9450,44.9450,44.9450,44.9450,44.945,500,3
20200102,AIR,13:06,44.94,44.94,44.94,44.94,44.94,100,1
20200102,AIR,13:09,44.93,44.93,44.93,44.93,44.93,100,1
20200102,AIR,13:10,44.93,44.95,44.93,44.94,44.94,900,8
20200102,AIR,13:11,44.96,44.96,44.96,44.96,44.96,300,3
20200102,AIR,13:20,44.9650,44.9650,44.9650,44.9650,44.965,100,1
20200102,AIR,13:21,44.97,44.98,44.96,44.9650,44.96875,400,4
20200102,AIR,13:23,44.9650,44.98,44.9650,44.98,44.9725,200,2
20200102,AIR,13:25,45.00,45.00,45.00,45.00,45.00,100,1
20200102,AIR,13:28,45.04,45.04,45.04,45.04,45.04,100,1
20200102,AIR,13:29,45.0250,45.0250,45.0250,45.0250,45.025,100,1
20200102,AIR,13:31,45.01,45.01,45.01,45.01,45.01,380,3
