Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AIRI,07:00,2.30,2.30,2.30,2.30,2.30,500,1
20200102,AIRI,09:30,2.45,2.45,2.39,2.39,2.44868,4543,2
20200102,AIRI,09:34,2.40,2.42,2.40,2.42,2.4186,1505,4
20200102,AIRI,09:45,2.44,2.44,2.43,2.43,2.43561,684,5
20200102,AIRI,09:46,2.44,2.44,2.44,2.44,2.44,100,1
20200102,AIRI,09:49,2.44,2.44,2.43,2.43,2.43829,585,2
20200102,AIRI,09:50,2.43,2.43,2.43,2.43,2.43,100,1
20200102,AIRI,09:51,2.43,2.43,2.38,2.38,2.42625,1600,3
20200102,AIRI,09:52,2.35,2.35,2.35,2.35,2.35,200,2
20200102,AIRI,09:55,2.36,2.36,2.36,2.36,2.36,200,1
20200102,AIRI,09:57,2.40,2.40,2.40,2.40,2.40,1000,2
20200102,AIRI,09:58,2.35,2.35,2.35,2.35,2.35,200,1
20200102,AIRI,10:04,2.40,2.40,2.35,2.37,2.37667,600,6
20200102,AIRI,10:06,2.35,2.35,2.35,2.35,2.35,200,2
20200102,AIRI,10:10,2.40,2.40,2.3850,2.40,2.397,500,4
20200102,AIRI,10:16,2.4250,2.44,2.40,2.40,2.43217,11873,25
20200102,AIRI,10:17,2.40,2.40,2.40,2.40,2.40,100,1
20200102,AIRI,10:19,2.37,2.37,2.37,2.37,2.37,100,1
20200102,AIRI,10:21,2.36,2.38,2.36,2.38,2.37,400,4
20200102,AIRI,10:22,2.3650,2.40,2.35,2.35,2.374,500,5
20200102,AIRI,10:33,2.38,2.40,2.38,2.40,2.39278,1800,16
20200102,AIRI,10:34,2.42,2.42,2.41,2.41,2.41667,300,3
20200102,AIRI,10:40,2.40,2.40,2.40,2.40,2.40,100,1
20200102,AIRI,10:59,2.42,2.42,2.42,2.42,2.42,2280,4
20200102,AIRI,11:00,2.43,2.43,2.43,2.43,2.43,400,2
20200102,AIRI,11:01,2.44,2.45,2.44,2.45,2.44818,1100,3
20200102,AIRI,11:02,2.45,2.45,2.45,2.45,2.45,1903,4
20200102,AIRI,11:18,2.45,2.45,2.45,2.45,2.45,100,1
20200102,AIRI,11:41,2.47,2.47,2.47,2.47,2.47,200,2
20200102,AIRI,11:47,2.4750,2.48,2.47,2.48,2.47954,10013,19
20200102,AIRI,11:49,2.4750,2.4750,2.4750,2.4750,2.475,200,2
20200102,AIRI,11:52,2.48,2.48,2.4750,2.4750,2.47875,400,4
20200102,AIRI,11:58,2.48,2.48,2.46,2.46,2.47827,1155,7
20200102,AIRI,12:05,2.48,2.48,2.48,2.48,2.48,1000,4
20200102,AIRI,12:15,2.47,2.47,2.46,2.46,2.465,2000,10
20200102,AIRI,12:16,2.46,2.48,2.46,2.48,2.46333,600,3
20200102,AIRI,12:17,2.46,2.46,2.46,2.46,2.46,100,1
20200102,AIRI,12:19,2.46,2.46,2.46,2.46,2.46,600,2
20200102,AIRI,12:20,2.46,2.46,2.46,2.46,2.46,100,1
20200102,AIRI,12:21,2.46,2.47,2.46,2.47,2.46857,700,6
20200102,AIRI,12:22,2.46,2.48,2.46,2.46,2.47621,2900,13
20200102,AIRI,12:23,2.46,2.47,2.46,2.47,2.4622,4100,15
20200102,AIRI,12:25,2.47,2.48,2.44,2.48,2.46069,6995,29
20200102,AIRI,12:41,2.4650,2.4650,2.4650,2.4650,2.465,100,1
