Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AIV,09:30,51.69,51.78,51.69,51.70,51.69157,8934,5
20200102,AIV,09:31,51.66,51.66,51.40,51.46,51.48408,3040,21
20200102,AIV,09:32,51.45,51.46,51.45,51.46,51.45667,300,2
20200102,AIV,09:33,51.47,51.52,51.47,51.51,51.49682,1100,10
20200102,AIV,09:34,51.59,51.62,51.59,51.62,51.6125,400,3
20200102,AIV,09:35,51.63,51.66,51.63,51.65,51.6475,400,4
20200102,AIV,09:36,51.71,51.71,51.6650,51.6650,51.68,300,3
20200102,AIV,09:37,51.70,51.70,51.60,51.60,51.63846,1125,9
20200102,AIV,09:38,51.59,51.64,51.58,51.58,51.61982,2285,16
20200102,AIV,09:39,51.57,51.57,51.56,51.56,51.565,200,2
20200102,AIV,09:40,51.5350,51.5350,51.45,51.45,51.49711,892,8
20200102,AIV,09:41,51.36,51.43,51.36,51.43,51.41535,1722,13
20200102,AIV,09:42,51.41,51.42,51.41,51.42,51.4175,400,4
20200102,AIV,09:43,51.40,51.54,51.40,51.53,51.50599,3088,26
20200102,AIV,09:44,51.57,51.57,51.54,51.57,51.55,700,7
20200102,AIV,09:45,51.60,51.60,51.55,51.5650,51.58,2080,17
20200102,AIV,09:46,51.57,51.57,51.56,51.57,51.569,1005,8
20200102,AIV,09:47,51.5850,51.5850,51.56,51.56,51.56887,3657,16
20200102,AIV,09:48,51.5550,51.57,51.52,51.53,51.54676,2746,23
20200102,AIV,09:49,51.52,51.52,51.45,51.45,51.50937,800,6
20200102,AIV,09:50,51.47,51.50,51.47,51.50,51.48151,869,8
20200102,AIV,09:51,51.44,51.48,51.44,51.45,51.45921,2363,20
20200102,AIV,09:52,51.45,51.52,51.39,51.42,51.48607,3419,23
20200102,AIV,09:53,51.46,51.47,51.46,51.47,51.46769,915,4
20200102,AIV,09:54,51.48,51.51,51.44,51.47,51.47413,2420,11
20200102,AIV,09:55,51.4350,51.4350,51.4150,51.4150,51.42333,300,3
20200102,AIV,09:56,51.45,51.47,51.45,51.4550,51.45767,446,4
20200102,AIV,09:57,51.4550,51.4550,51.4550,51.4550,51.455,100,1
20200102,AIV,09:58,51.47,51.47,51.42,51.42,51.44043,979,7
20200102,AIV,09:59,51.4350,51.46,51.43,51.43,51.44357,700,6
20200102,AIV,10:00,51.42,51.43,51.36,51.36,51.40684,1900,16
20200102,AIV,10:01,51.34,51.34,51.31,51.31,51.32662,1659,9
20200102,AIV,10:03,51.26,51.29,51.22,51.22,51.26714,933,9
20200102,AIV,10:04,51.23,51.23,51.1950,51.1950,51.2125,200,2
20200102,AIV,10:05,51.20,51.24,51.20,51.22,51.21744,782,7
20200102,AIV,10:06,51.20,51.20,51.20,51.20,51.20,200,2
20200102,AIV,10:07,51.17,51.17,51.14,51.14,51.16556,900,3
20200102,AIV,10:08,51.16,51.19,51.16,51.19,51.17432,1390,10
20200102,AIV,10:09,51.22,51.22,51.22,51.22,51.22,200,2
20200102,AIV,10:11,51.20,51.20,51.20,51.20,51.20,300,3
20200102,AIV,10:12,51.2050,51.2050,51.19,51.19,51.20065,460,4
20200102,AIV,10:13,51.25,51.25,51.23,51.23,51.24827,1735,8
20200102,AIV,10:14,51.24,51.2450,51.22,51.24,51.23767,1500,12
20200102,AIV,10:15,51.24,51.2450,51.23,51.23,51.23692,1661,16
20200102,AIV,10:16,51.23,51.23,51.19,51.19,51.22333,600,6
20200102,AIV,10:17,51.17,51.17,51.17,51.17,51.17,100,1
20200102,AIV,10:18,51.18,51.18,51.13,51.14,51.15666,857,6
20200102,AIV,10:19,51.13,51.13,51.09,51.09,51.11256,546,5
20200102,AIV,10:20,51.08,51.08,51.05,51.05,51.05571,700,6
20200102,AIV,10:21,51.04,51.07,51.04,51.04,51.05291,852,8
20200102,AIV,10:22,51.02,51.02,51.00,51.00,51.01661,602,3
20200102,AIV,10:23,51.01,51.02,51.01,51.01,51.01546,1104,10
20200102,AIV,10:24,51.02,51.06,51.02,51.06,51.04545,659,5
20200102,AIV,10:25,51.02,51.05,51.02,51.02,51.03739,587,5
20200102,AIV,10:26,51.05,51.07,51.05,51.07,51.05763,727,5
20200102,AIV,10:27,51.10,51.13,51.10,51.11,51.114,500,5
20200102,AIV,10:28,51.09,51.10,51.09,51.10,51.095,200,2
20200102,AIV,10:29,51.08,51.09,51.08,51.08,51.08333,600,6
20200102,AIV,10:30,51.10,51.10,51.05,51.05,51.08308,1300,12
20200102,AIV,10:31,51.04,51.05,51.02,51.05,51.0375,400,4
20200102,AIV,10:32,51.05,51.05,51.03,51.03,51.044,500,4
20200102,AIV,10:33,51.07,51.10,51.04,51.07,51.07041,2869,22
20200102,AIV,10:34,51.0850,51.13,51.0850,51.13,51.11688,800,8
20200102,AIV,10:35,51.12,51.14,51.12,51.1250,51.1325,800,8
20200102,AIV,10:36,51.09,51.1050,51.09,51.09,51.095,300,3
20200102,AIV,10:37,51.08,51.08,51.0550,51.06,51.06625,400,4
20200102,AIV,10:38,51.07,51.07,51.07,51.07,51.07,100,1
20200102,AIV,10:41,51.06,51.09,51.06,51.09,51.07,300,3
20200102,AIV,10:42,51.1050,51.1050,51.1050,51.1050,51.105,301,3
20200102,AIV,10:43,51.11,51.12,51.11,51.12,51.11312,800,8
20200102,AIV,10:44,51.13,51.13,51.1250,51.1250,51.12681,277,2
20200102,AIV,10:45,51.14,51.14,51.14,51.14,51.14,100,1
20200102,AIV,10:46,51.11,51.11,51.0750,51.0950,51.08423,1300,12
20200102,AIV,10:47,51.02,51.0350,51.00,51.01,51.01728,920,7
20200102,AIV,10:48,50.99,50.99,50.99,50.99,50.99,100,1
20200102,AIV,10:49,50.95,50.9650,50.94,50.94,50.95277,2515,18
20200102,AIV,10:50,50.9250,50.9250,50.87,50.87,50.89936,507,5
20200102,AIV,10:51,50.89,50.8950,50.87,50.87,50.88405,1687,14
20200102,AIV,10:52,50.8850,50.89,50.88,50.88,50.88776,1338,11
20200102,AIV,10:53,50.87,50.8750,50.85,50.85,50.86634,546,5
20200102,AIV,10:54,50.8550,50.8950,50.8550,50.88,50.87269,1300,13
20200102,AIV,10:55,50.86,50.86,50.85,50.86,50.8575,1000,9
20200102,AIV,10:56,50.82,50.84,50.82,50.84,50.834,500,5
20200102,AIV,10:57,50.85,50.85,50.85,50.85,50.85,276,2
20200102,AIV,10:58,50.87,50.88,50.87,50.88,50.8725,400,4
20200102,AIV,10:59,50.90,50.91,50.88,50.88,50.89912,837,6
20200102,AIV,11:00,50.89,50.92,50.89,50.92,50.91006,503,4
20200102,AIV,11:01,50.94,50.95,50.94,50.94,50.9425,400,4
20200102,AIV,11:02,50.93,50.93,50.91,50.91,50.92417,600,4
20200102,AIV,11:03,50.96,50.96,50.96,50.96,50.96,200,2
20200102,AIV,11:04,50.97,50.98,50.97,50.98,50.97667,300,3
20200102,AIV,11:05,50.97,50.99,50.97,50.99,50.98106,559,4
20200102,AIV,11:07,51.01,51.01,50.99,50.9950,50.9975,800,8
20200102,AIV,11:08,50.98,51.0150,50.97,50.98,50.9875,2600,25
20200102,AIV,11:09,50.9750,50.9750,50.9650,50.97,50.97,400,4
20200102,AIV,11:10,50.98,50.98,50.98,50.98,50.98,200,2
20200102,AIV,11:11,50.99,51.00,50.99,50.99,50.992,500,5
20200102,AIV,11:12,50.98,50.98,50.96,50.96,50.97333,300,3
20200102,AIV,11:13,50.94,50.94,50.94,50.94,50.94,200,2
20200102,AIV,11:14,50.96,50.9750,50.96,50.96,50.96881,1862,16
20200102,AIV,11:15,50.96,50.98,50.96,50.98,50.9675,400,4
20200102,AIV,11:16,50.96,50.96,50.96,50.96,50.96,200,2
20200102,AIV,11:17,50.97,50.9850,50.97,50.9850,50.97833,300,3
20200102,AIV,11:18,50.97,50.97,50.96,50.96,50.9625,400,4
20200102,AIV,11:19,50.96,50.9650,50.9550,50.96,50.96,900,7
20200102,AIV,11:20,50.9550,50.97,50.9550,50.97,50.9675,600,5
20200102,AIV,11:21,50.98,50.99,50.98,50.99,50.985,200,2
20200102,AIV,11:22,50.99,51.00,50.99,50.99,50.99333,300,3
20200102,AIV,11:23,50.97,50.97,50.97,50.97,50.97,200,2
20200102,AIV,11:24,50.98,50.99,50.98,50.99,50.9875,400,4
20200102,AIV,11:25,50.9950,50.9950,50.98,50.98,50.9861,1026,10
20200102,AIV,11:26,50.9650,50.9650,50.94,50.94,50.94943,901,9
20200102,AIV,11:27,50.91,50.91,50.91,50.91,50.91,100,1
20200102,AIV,11:28,50.92,50.92,50.91,50.91,50.9175,800,7
20200102,AIV,11:29,50.91,50.91,50.91,50.91,50.91,200,2
20200102,AIV,11:30,50.91,50.96,50.91,50.95,50.92745,2762,22
20200102,AIV,11:31,50.96,50.9650,50.96,50.96,50.96125,400,4
20200102,AIV,11:32,50.94,50.94,50.92,50.93,50.92667,900,6
20200102,AIV,11:33,50.92,50.9350,50.92,50.9350,50.929,501,4
20200102,AIV,11:34,50.94,50.95,50.92,50.92,50.93517,1241,9
20200102,AIV,11:35,50.91,50.92,50.91,50.92,50.91444,900,8
20200102,AIV,11:36,50.91,50.91,50.91,50.91,50.91,100,1
20200102,AIV,11:37,50.91,50.92,50.90,50.92,50.91,1151,9
20200102,AIV,11:38,50.9250,50.9250,50.9250,50.9250,50.925,100,1
20200102,AIV,11:39,50.93,50.94,50.93,50.94,50.93287,698,5
20200102,AIV,11:40,50.93,50.95,50.93,50.95,50.938,500,4
20200102,AIV,11:41,50.95,50.95,50.94,50.94,50.94631,271,2
20200102,AIV,11:42,50.94,50.95,50.94,50.94,50.94333,300,3
20200102,AIV,11:43,50.93,50.9350,50.93,50.9350,50.93151,664,5
20200102,AIV,11:44,50.93,50.97,50.93,50.97,50.9505,1429,11
20200102,AIV,11:45,50.97,50.97,50.91,50.91,50.93579,1384,13
20200102,AIV,11:47,50.8950,50.90,50.8850,50.8850,50.89417,600,6
20200102,AIV,11:48,50.8750,50.8750,50.87,50.87,50.87333,300,3
20200102,AIV,11:49,50.86,50.86,50.85,50.86,50.85495,792,6
20200102,AIV,11:50,50.86,50.86,50.82,50.82,50.84091,1100,11
20200102,AIV,11:51,50.83,50.8350,50.83,50.8350,50.83125,400,4
20200102,AIV,11:52,50.8250,50.8250,50.8150,50.8150,50.81787,696,6
20200102,AIV,11:53,50.8250,50.8250,50.81,50.82,50.81575,1058,8
20200102,AIV,11:54,50.81,50.81,50.77,50.79,50.79,300,3
20200102,AIV,11:55,50.79,50.8050,50.79,50.8050,50.79493,608,6
20200102,AIV,11:56,50.7950,50.7950,50.79,50.79,50.79167,300,3
20200102,AIV,11:57,50.77,50.79,50.77,50.79,50.78,200,2
