Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AKER,09:30,3.20,3.20,3.20,3.20,3.20,203,1
20200102,AKER,09:42,3.25,3.25,3.25,3.25,3.25,100,1
20200102,AKER,09:44,3.30,3.30,3.30,3.30,3.30,1301,2
20200102,AKER,09:45,3.30,3.35,3.30,3.35,3.3169,6629,8
20200102,AKER,09:49,3.33,3.33,3.33,3.33,3.33,400,2
20200102,AKER,09:51,3.33,3.33,3.33,3.33,3.33,400,2
20200102,AKER,09:53,3.34,3.35,3.34,3.35,3.34426,235,2
20200102,AKER,09:54,3.35,3.35,3.35,3.35,3.35,4800,4
20200102,AKER,09:56,3.35,3.35,3.34,3.34,3.34056,1800,3
20200102,AKER,10:13,3.31,3.31,3.31,3.31,3.31,100,1
20200102,AKER,11:13,3.32,3.32,3.32,3.32,3.32,498,3
20200102,AKER,11:15,3.30,3.30,3.30,3.30,3.30,2160,5
20200102,AKER,11:20,3.29,3.29,3.29,3.29,3.29,1000,9
20200102,AKER,11:27,3.25,3.25,3.25,3.25,3.25,1395,6
20200102,AKER,11:31,3.27,3.27,3.25,3.25,3.25571,700,6
20200102,AKER,11:43,3.25,3.25,3.25,3.25,3.25,4977,4
20200102,AKER,12:46,3.29,3.29,3.29,3.29,3.29,100,1
20200102,AKER,13:19,3.29,3.29,3.29,3.29,3.29,400,3
20200102,AKER,13:25,3.30,3.30,3.30,3.30,3.30,2566,2
20200102,AKER,13:44,3.30,3.30,3.30,3.30,3.30,100,1
20200102,AKER,13:49,3.33,3.33,3.33,3.33,3.33,100,1
20200102,AKER,14:15,3.30,3.30,3.30,3.30,3.30,500,2
20200102,AKER,14:22,3.33,3.33,3.33,3.33,3.33,100,1
20200102,AKER,14:25,3.34,3.34,3.34,3.34,3.34,200,1
20200102,AKER,14:28,3.30,3.30,3.30,3.30,3.30,301,3
20200102,AKER,14:33,3.30,3.30,3.30,3.30,3.30,300,2
20200102,AKER,14:36,3.33,3.33,3.33,3.33,3.33,100,1
20200102,AKER,14:37,3.33,3.33,3.33,3.33,3.33,5100,2
20200102,AKER,14:41,3.34,3.35,3.34,3.35,3.34273,5500,8
20200102,AKER,14:42,3.37,3.37,3.37,3.37,3.37,800,2
20200102,AKER,14:46,3.37,3.37,3.37,3.37,3.37,100,1
20200102,AKER,14:49,3.36,3.36,3.36,3.36,3.36,100,1
20200102,AKER,14:53,3.37,3.37,3.37,3.37,3.37,100,1
20200102,AKER,14:55,3.37,3.37,3.37,3.37,3.37,200,1
20200102,AKER,15:02,3.39,3.39,3.39,3.39,3.39,6700,3
20200102,AKER,15:04,3.39,3.40,3.39,3.40,3.39785,11145,7
20200102,AKER,15:05,3.42,3.42,3.40,3.40,3.41,200,2
20200102,AKER,15:08,3.39,3.39,3.39,3.39,3.39,2153,8
20200102,AKER,15:09,3.39,3.39,3.39,3.39,3.39,1621,2
20200102,AKER,15:11,3.38,3.38,3.38,3.38,3.38,400,4
20200102,AKER,15:47,3.37,3.37,3.37,3.37,3.37,100,1
20200102,AKER,15:49,3.37,3.37,3.37,3.37,3.37,100,1
20200102,AKER,15:55,3.38,3.38,3.38,3.38,3.38,100,1
20200102,AKER,15:56,3.38,3.38,3.38,3.38,3.38,100,1
20200102,AKER,15:57,3.38,3.38,3.38,3.38,3.38,100,1
20200102,AKER,15:58,3.38,3.38,3.38,3.38,3.38,100,1
