Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AKO.B,09:35,18.36,18.36,18.36,18.36,18.36,200,1
20200102,AKO.B,09:42,17.58,17.61,17.55,17.55,17.56538,650,5
20200102,AKO.B,10:58,17.47,17.47,17.47,17.47,17.47,100,1
20200102,AKO.B,10:59,17.48,17.48,17.48,17.48,17.48,100,1
20200102,AKO.B,11:06,17.50,17.50,17.50,17.50,17.50,100,1
20200102,AKO.B,12:33,17.49,17.49,17.49,17.49,17.49,905,3
20200102,AKO.B,12:35,17.49,17.49,17.49,17.49,17.49,500,3
20200102,AKO.B,12:36,17.49,17.49,17.49,17.49,17.49,100,1
20200102,AKO.B,12:38,17.44,17.44,17.44,17.44,17.44,200,2
20200102,AKO.B,12:44,17.43,17.43,17.43,17.43,17.43,100,1
20200102,AKO.B,12:59,17.42,17.42,17.42,17.42,17.42,100,1
20200102,AKO.B,13:04,17.42,17.42,17.42,17.42,17.42,100,1
20200102,AKO.B,13:09,17.42,17.42,17.42,17.42,17.42,100,1
20200102,AKO.B,13:19,17.42,17.42,17.42,17.42,17.42,100,1
20200102,AKO.B,13:34,17.42,17.42,17.42,17.42,17.42,100,1
20200102,AKO.B,13:35,17.45,17.45,17.45,17.45,17.45,600,6
20200102,AKO.B,13:45,17.42,17.42,17.42,17.42,17.42,100,1
20200102,AKO.B,13:55,17.30,17.30,17.30,17.30,17.30,100,1
20200102,AKO.B,14:19,17.31,17.31,17.31,17.31,17.31,100,1
20200102,AKO.B,15:32,17.81,17.81,17.81,17.81,17.81,100,1
20200102,AKO.B,15:42,17.79,17.79,17.79,17.79,17.79,100,1
