Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AKR,09:30,26.10,26.10,26.10,26.10,26.10,2518,1
20200102,AKR,09:31,26.00,26.00,25.98,25.98,25.98857,700,6
20200102,AKR,09:32,25.97,25.97,25.96,25.96,25.965,200,2
20200102,AKR,09:33,25.98,25.98,25.98,25.98,25.98,100,1
20200102,AKR,09:36,25.9950,25.9950,25.9950,25.9950,25.995,100,1
20200102,AKR,09:37,25.97,25.97,25.97,25.97,25.97,199,1
20200102,AKR,09:38,25.97,25.97,25.97,25.97,25.97,200,2
20200102,AKR,09:39,25.99,25.99,25.99,25.99,25.99,300,3
20200102,AKR,09:40,25.99,25.99,25.91,25.91,25.955,1200,11
20200102,AKR,09:43,25.91,25.93,25.91,25.93,25.925,400,4
20200102,AKR,09:45,25.9450,25.96,25.89,25.89,25.9346,1122,10
20200102,AKR,09:46,25.92,25.92,25.92,25.92,25.92,800,8
20200102,AKR,09:47,25.94,25.94,25.94,25.94,25.94,193,1
20200102,AKR,09:48,25.94,25.94,25.91,25.91,25.92125,800,8
20200102,AKR,09:49,25.88,25.88,25.88,25.88,25.88,100,1
20200102,AKR,09:50,25.88,25.88,25.87,25.87,25.87514,1265,10
20200102,AKR,09:51,25.88,25.88,25.83,25.83,25.85062,960,7
20200102,AKR,09:54,25.83,25.83,25.83,25.83,25.83,100,1
20200102,AKR,09:55,25.84,25.84,25.84,25.84,25.84,200,2
20200102,AKR,09:56,25.85,25.85,25.85,25.85,25.85,100,1
20200102,AKR,09:57,25.83,25.85,25.83,25.85,25.84,200,2
20200102,AKR,10:00,25.83,25.83,25.82,25.82,25.82401,501,4
20200102,AKR,10:01,25.81,25.81,25.81,25.81,25.81,200,2
20200102,AKR,10:07,25.79,25.79,25.79,25.79,25.79,200,2
20200102,AKR,10:08,25.77,25.78,25.77,25.78,25.775,200,2
20200102,AKR,10:09,25.79,25.79,25.79,25.79,25.79,300,3
20200102,AKR,10:10,25.7750,25.7750,25.7750,25.7750,25.775,100,1
20200102,AKR,10:13,25.79,25.79,25.77,25.77,25.77857,700,7
20200102,AKR,10:15,25.77,25.77,25.77,25.77,25.77,200,2
20200102,AKR,10:16,25.78,25.79,25.77,25.7750,25.77786,700,7
20200102,AKR,10:17,25.77,25.77,25.77,25.77,25.77,100,1
20200102,AKR,10:18,25.77,25.77,25.77,25.77,25.77,300,3
20200102,AKR,10:19,25.77,25.77,25.73,25.73,25.755,1000,9
20200102,AKR,10:21,25.71,25.72,25.71,25.72,25.715,200,2
20200102,AKR,10:22,25.71,25.71,25.71,25.71,25.71,400,1
20200102,AKR,10:23,25.7050,25.7150,25.70,25.7150,25.70917,600,6
20200102,AKR,10:24,25.70,25.70,25.70,25.70,25.70,100,1
20200102,AKR,10:25,25.70,25.70,25.70,25.70,25.70,100,1
20200102,AKR,10:26,25.70,25.70,25.70,25.70,25.70,100,1
20200102,AKR,10:27,25.72,25.72,25.72,25.72,25.72,100,1
20200102,AKR,10:28,25.70,25.70,25.70,25.70,25.70,100,1
20200102,AKR,10:29,25.70,25.70,25.68,25.68,25.68667,300,3
20200102,AKR,10:30,25.66,25.66,25.66,25.66,25.66,100,1
20200102,AKR,10:31,25.66,25.66,25.66,25.66,25.66,200,2
20200102,AKR,10:33,25.66,25.66,25.66,25.66,25.66,300,3
20200102,AKR,10:34,25.64,25.64,25.64,25.64,25.64,100,1
20200102,AKR,10:35,25.65,25.65,25.65,25.65,25.65,100,1
20200102,AKR,10:36,25.64,25.64,25.64,25.64,25.64,200,2
20200102,AKR,10:37,25.6350,25.65,25.6350,25.65,25.64125,400,4
20200102,AKR,10:39,25.65,25.65,25.65,25.65,25.65,335,3
20200102,AKR,10:40,25.64,25.64,25.64,25.64,25.64,200,2
20200102,AKR,10:41,25.64,25.64,25.64,25.64,25.64,500,3
20200102,AKR,10:42,25.64,25.65,25.64,25.6450,25.64545,642,5
20200102,AKR,10:43,25.66,25.66,25.66,25.66,25.66,477,3
20200102,AKR,10:46,25.66,25.66,25.64,25.64,25.65,400,4
20200102,AKR,10:47,25.64,25.64,25.63,25.63,25.6342,238,2
20200102,AKR,10:50,25.57,25.57,25.55,25.55,25.56,600,6
20200102,AKR,10:52,25.56,25.56,25.56,25.56,25.56,263,2
20200102,AKR,10:53,25.56,25.56,25.55,25.55,25.55125,800,5
20200102,AKR,10:54,25.56,25.56,25.56,25.56,25.56,261,2
20200102,AKR,10:55,25.56,25.56,25.56,25.56,25.56,300,3
20200102,AKR,10:56,25.56,25.56,25.55,25.55,25.555,400,4
20200102,AKR,10:57,25.55,25.56,25.55,25.56,25.5585,665,6
20200102,AKR,10:59,25.57,25.57,25.57,25.57,25.57,100,1
20200102,AKR,11:00,25.57,25.5950,25.57,25.5950,25.57915,586,5
20200102,AKR,11:02,25.58,25.59,25.58,25.59,25.58846,650,6
20200102,AKR,11:04,25.59,25.59,25.59,25.59,25.59,120,1
20200102,AKR,11:05,25.59,25.59,25.59,25.59,25.59,200,2
20200102,AKR,11:06,25.59,25.59,25.59,25.59,25.59,300,2
20200102,AKR,11:07,25.59,25.59,25.58,25.58,25.58227,441,4
20200102,AKR,11:08,25.57,25.58,25.57,25.58,25.575,200,2
20200102,AKR,11:09,25.57,25.59,25.57,25.58,25.58198,505,5
20200102,AKR,11:11,25.58,25.58,25.58,25.58,25.58,100,1
20200102,AKR,11:12,25.57,25.57,25.57,25.57,25.57,200,2
20200102,AKR,11:13,25.5550,25.5550,25.5550,25.5550,25.555,100,1
20200102,AKR,11:14,25.56,25.56,25.56,25.56,25.56,100,1
20200102,AKR,11:15,25.56,25.56,25.54,25.54,25.55,800,6
20200102,AKR,11:17,25.53,25.53,25.53,25.53,25.53,100,1
20200102,AKR,11:18,25.5350,25.5350,25.5150,25.5150,25.52311,555,5
20200102,AKR,11:20,25.51,25.51,25.51,25.51,25.51,104,1
20200102,AKR,11:21,25.52,25.52,25.52,25.52,25.52,500,4
20200102,AKR,11:22,25.52,25.52,25.52,25.52,25.52,100,1
20200102,AKR,11:24,25.53,25.53,25.53,25.53,25.53,100,1
20200102,AKR,11:25,25.53,25.53,25.52,25.52,25.52667,600,6
20200102,AKR,11:26,25.52,25.52,25.52,25.52,25.52,100,1
20200102,AKR,11:28,25.51,25.51,25.51,25.51,25.51,300,3
20200102,AKR,11:30,25.51,25.53,25.51,25.53,25.51328,609,6
20200102,AKR,11:32,25.5250,25.5250,25.51,25.51,25.51984,620,5
20200102,AKR,11:35,25.50,25.50,25.49,25.50,25.49933,1500,11
20200102,AKR,11:37,25.48,25.49,25.48,25.49,25.48519,208,2
20200102,AKR,11:38,25.50,25.50,25.50,25.50,25.50,370,3
20200102,AKR,11:39,25.50,25.50,25.50,25.50,25.50,227,2
20200102,AKR,11:40,25.51,25.51,25.50,25.51,25.50833,600,6
20200102,AKR,11:41,25.51,25.51,25.50,25.51,25.50607,1249,9
20200102,AKR,11:42,25.51,25.5150,25.51,25.5150,25.5125,200,2
20200102,AKR,11:44,25.51,25.52,25.51,25.51,25.51167,900,9
20200102,AKR,11:45,25.50,25.50,25.50,25.50,25.50,1800,12
20200102,AKR,11:46,25.49,25.49,25.49,25.49,25.49,100,1
20200102,AKR,11:48,25.48,25.48,25.48,25.48,25.48,100,1
20200102,AKR,11:50,25.48,25.48,25.47,25.47,25.47941,1700,15
20200102,AKR,11:53,25.46,25.47,25.46,25.47,25.46867,1500,9
20200102,AKR,11:54,25.45,25.45,25.44,25.44,25.44556,1800,14
20200102,AKR,11:55,25.4450,25.45,25.4450,25.45,25.4475,200,2
20200102,AKR,11:56,25.4450,25.4450,25.42,25.42,25.43846,1300,12
20200102,AKR,11:59,25.42,25.42,25.42,25.42,25.42,200,1
20200102,AKR,12:00,25.42,25.42,25.41,25.41,25.41462,1300,12
20200102,AKR,12:01,25.40,25.40,25.39,25.39,25.39505,202,2
20200102,AKR,12:02,25.38,25.38,25.38,25.38,25.38,548,4
20200102,AKR,12:03,25.3850,25.3850,25.3850,25.3850,25.385,100,1
20200102,AKR,12:04,25.38,25.3850,25.38,25.38,25.38045,1100,8
20200102,AKR,12:05,25.38,25.38,25.38,25.38,25.38,200,2
20200102,AKR,12:06,25.39,25.39,25.38,25.38,25.38227,1101,10
20200102,AKR,12:07,25.38,25.38,25.38,25.38,25.38,100,1
20200102,AKR,12:08,25.38,25.38,25.37,25.37,25.3725,400,4
20200102,AKR,12:09,25.37,25.37,25.3650,25.37,25.36875,400,4
20200102,AKR,12:10,25.38,25.38,25.38,25.38,25.38,300,2
