Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ALB,05:40,73.39,73.39,73.39,73.39,73.39,100,1
20200102,ALB,05:41,73.40,73.40,73.40,73.40,73.40,100,1
20200102,ALB,05:43,73.43,73.43,73.43,73.43,73.43,100,1
20200102,ALB,05:55,73.35,73.35,73.35,73.35,73.35,200,2
20200102,ALB,05:56,73.25,73.25,73.25,73.25,73.25,650,3
20200102,ALB,06:15,73.09,73.09,73.09,73.09,73.09,300,3
20200102,ALB,06:22,73.09,73.09,73.09,73.09,73.09,200,2
20200102,ALB,06:53,73.09,73.19,73.09,73.19,73.11,500,5
20200102,ALB,07:00,73.19,73.19,73.19,73.19,73.19,230,2
20200102,ALB,07:04,73.10,73.10,73.10,73.10,73.10,500,2
20200102,ALB,08:00,73.05,73.05,73.05,73.05,73.05,500,2
20200102,ALB,08:01,73.05,73.05,73.05,73.05,73.05,600,2
20200102,ALB,08:06,73.15,73.15,73.15,73.15,73.15,200,2
20200102,ALB,08:07,73.15,73.15,73.15,73.15,73.15,300,1
20200102,ALB,08:10,73.20,73.29,73.20,73.29,73.245,1000,2
20200102,ALB,09:27,73.35,73.35,73.35,73.35,73.35,500,1
20200102,ALB,09:30,73.50,73.6250,73.50,73.6250,73.50155,33289,8
20200102,ALB,09:31,73.55,73.59,73.29,73.50,73.42454,2690,19
20200102,ALB,09:32,73.69,73.69,73.69,73.69,73.69,100,1
20200102,ALB,09:33,73.69,73.85,73.69,73.7850,73.72423,2229,10
20200102,ALB,09:34,73.87,73.87,73.70,73.7350,73.77778,3533,22
20200102,ALB,09:35,73.70,73.77,73.52,73.71,73.64421,1900,17
20200102,ALB,09:36,73.5750,73.61,73.5750,73.59,73.58833,600,4
20200102,ALB,09:37,73.58,73.58,73.51,73.51,73.55239,712,7
20200102,ALB,09:38,73.45,73.55,73.45,73.55,73.505,1000,8
20200102,ALB,09:39,73.57,73.68,73.57,73.68,73.59045,1100,8
20200102,ALB,09:40,73.65,73.67,73.60,73.64,73.63593,1928,19
