Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ALE,09:30,81.39,81.39,81.14,81.14,81.32502,2647,9
20200102,ALE,09:31,81.08,81.08,80.99,80.99,81.01429,700,7
20200102,ALE,09:32,81.03,81.03,80.92,80.92,80.975,200,2
20200102,ALE,09:34,81.13,81.13,81.12,81.12,81.125,200,2
20200102,ALE,09:37,81.13,81.13,81.13,81.13,81.13,100,1
20200102,ALE,09:40,80.92,81.03,80.92,81.03,80.975,200,2
20200102,ALE,09:41,80.99,80.99,80.99,80.99,80.99,100,1
20200102,ALE,09:42,81.05,81.05,81.05,81.05,81.05,100,1
20200102,ALE,09:43,81.05,81.09,81.05,81.09,81.07,200,2
20200102,ALE,09:45,81.07,81.07,81.07,81.07,81.07,300,2
20200102,ALE,09:48,81.00,81.00,81.00,81.00,81.00,300,1
20200102,ALE,09:49,80.90,80.90,80.90,80.90,80.90,100,1
20200102,ALE,09:51,80.93,80.93,80.84,80.84,80.90,300,3
20200102,ALE,09:52,80.8750,80.8750,80.84,80.84,80.86333,300,2
20200102,ALE,09:55,80.83,80.8650,80.83,80.8650,80.84167,300,2
20200102,ALE,09:56,80.86,80.88,80.81,80.88,80.84573,702,7
20200102,ALE,09:58,80.87,80.93,80.87,80.90,80.8926,1032,9
20200102,ALE,10:00,80.96,80.96,80.96,80.96,80.96,100,1
20200102,ALE,10:01,80.99,80.99,80.97,80.97,80.98333,300,3
20200102,ALE,10:03,80.99,80.99,80.94,80.94,80.965,200,2
20200102,ALE,10:04,80.93,80.93,80.84,80.87,80.88857,700,7
20200102,ALE,10:06,80.86,80.89,80.86,80.86,80.86577,1040,10
20200102,ALE,10:07,80.84,80.86,80.84,80.86,80.84625,800,7
20200102,ALE,10:09,80.89,80.93,80.89,80.92,80.92517,1241,4
20200102,ALE,10:12,81.05,81.05,81.03,81.03,81.04,200,2
20200102,ALE,10:13,81.01,81.07,81.01,81.07,81.04,200,2
20200102,ALE,10:14,81.08,81.08,81.08,81.08,81.08,100,1
20200102,ALE,10:15,81.11,81.11,81.11,81.11,81.11,100,1
20200102,ALE,10:16,81.12,81.12,81.12,81.12,81.12,100,1
20200102,ALE,10:17,81.05,81.05,81.05,81.05,81.05,300,3
20200102,ALE,10:18,81.08,81.08,81.08,81.08,81.08,100,1
20200102,ALE,10:19,81.10,81.10,81.10,81.10,81.10,100,1
20200102,ALE,10:20,81.05,81.05,81.05,81.05,81.05,100,1
20200102,ALE,10:22,81.11,81.11,81.11,81.11,81.11,100,1
20200102,ALE,10:25,81.07,81.07,81.07,81.07,81.07,242,1
20200102,ALE,10:26,81.05,81.05,81.05,81.05,81.05,100,1
20200102,ALE,10:27,81.01,81.01,81.01,81.01,81.01,100,1
20200102,ALE,10:31,80.94,80.9450,80.93,80.9450,80.94,500,5
20200102,ALE,10:32,80.96,80.96,80.96,80.96,80.96,100,1
20200102,ALE,10:33,80.95,80.95,80.95,80.95,80.95,300,3
20200102,ALE,10:35,80.9050,80.9050,80.9050,80.9050,80.905,100,1
20200102,ALE,10:36,80.90,80.90,80.87,80.87,80.885,400,4
20200102,ALE,10:37,80.81,80.81,80.81,80.81,80.81,311,3
20200102,ALE,10:38,80.79,80.79,80.79,80.79,80.79,100,1
20200102,ALE,10:39,80.81,80.81,80.81,80.81,80.81,100,1
20200102,ALE,10:41,80.83,80.83,80.83,80.83,80.83,200,2
20200102,ALE,10:44,80.95,80.95,80.95,80.95,80.95,100,1
20200102,ALE,10:45,80.93,80.93,80.90,80.90,80.92231,780,5
20200102,ALE,10:46,80.82,80.82,80.77,80.77,80.80,300,3
20200102,ALE,10:48,80.67,80.67,80.67,80.67,80.67,100,1
20200102,ALE,10:49,80.64,80.64,80.63,80.63,80.635,200,2
20200102,ALE,10:50,80.53,80.57,80.51,80.51,80.528,500,5
20200102,ALE,10:51,80.54,80.54,80.54,80.54,80.54,100,1
20200102,ALE,10:52,80.57,80.57,80.57,80.57,80.57,100,1
20200102,ALE,10:56,80.53,80.53,80.53,80.53,80.53,100,1
20200102,ALE,10:57,80.55,80.55,80.55,80.55,80.55,500,3
20200102,ALE,11:00,80.59,80.68,80.59,80.68,80.6325,400,4
20200102,ALE,11:02,80.67,80.67,80.67,80.67,80.67,200,2
20200102,ALE,11:05,80.67,80.67,80.67,80.67,80.67,100,1
20200102,ALE,11:06,80.67,80.67,80.67,80.67,80.67,100,1
20200102,ALE,11:08,80.59,80.59,80.50,80.52,80.53231,1300,13
20200102,ALE,11:10,80.53,80.53,80.52,80.52,80.52493,406,4
20200102,ALE,11:11,80.5250,80.5250,80.51,80.5150,80.52307,1292,7
20200102,ALE,11:12,80.5050,80.52,80.5050,80.52,80.50929,700,5
20200102,ALE,11:13,80.55,80.58,80.55,80.58,80.56,700,7
