Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ALEC,09:30,17.34,17.44,17.34,17.44,17.34225,4450,2
20200102,ALEC,09:34,17.49,17.50,17.49,17.50,17.495,200,2
20200102,ALEC,09:39,17.33,17.36,17.21,17.21,17.28947,816,7
20200102,ALEC,09:43,17.09,17.09,17.09,17.09,17.09,100,1
20200102,ALEC,09:46,17.01,17.01,17.00,17.00,17.005,200,2
20200102,ALEC,09:52,16.85,16.85,16.85,16.85,16.85,1988,3
20200102,ALEC,09:55,16.78,16.78,16.78,16.78,16.78,100,1
20200102,ALEC,09:57,16.6250,16.71,16.6250,16.71,16.68167,300,3
20200102,ALEC,10:08,16.71,16.75,16.69,16.75,16.72182,1100,11
20200102,ALEC,10:11,16.72,16.72,16.71,16.71,16.71833,600,6
20200102,ALEC,10:13,16.70,16.70,16.70,16.70,16.70,397,3
20200102,ALEC,10:14,16.71,16.71,16.71,16.71,16.71,100,1
20200102,ALEC,10:15,16.65,16.65,16.64,16.64,16.644,500,2
20200102,ALEC,10:17,16.66,16.66,16.66,16.66,16.66,400,4
20200102,ALEC,10:23,16.66,16.66,16.66,16.66,16.66,100,1
20200102,ALEC,10:25,16.57,16.57,16.57,16.57,16.57,100,1
20200102,ALEC,10:31,16.50,16.50,16.50,16.50,16.50,247,2
20200102,ALEC,10:33,16.48,16.48,16.37,16.37,16.40571,700,7
20200102,ALEC,10:34,16.43,16.43,16.43,16.43,16.43,100,1
20200102,ALEC,10:35,16.43,16.46,16.43,16.46,16.44667,600,6
20200102,ALEC,10:36,16.49,16.49,16.49,16.49,16.49,200,2
20200102,ALEC,10:43,16.51,16.55,16.51,16.55,16.52,600,6
20200102,ALEC,10:44,16.55,16.55,16.55,16.55,16.55,100,1
20200102,ALEC,10:45,16.54,16.54,16.54,16.54,16.54,100,1
20200102,ALEC,10:46,16.55,16.55,16.55,16.55,16.55,100,1
20200102,ALEC,10:49,16.56,16.56,16.56,16.56,16.56,400,3
20200102,ALEC,10:53,16.62,16.62,16.62,16.62,16.62,100,1
20200102,ALEC,10:55,16.58,16.58,16.58,16.58,16.58,200,2
20200102,ALEC,10:56,16.58,16.69,16.57,16.65,16.60214,1400,11
20200102,ALEC,10:57,16.66,16.67,16.59,16.59,16.64119,3145,20
20200102,ALEC,10:59,16.58,16.64,16.58,16.64,16.59572,699,4
20200102,ALEC,11:00,16.64,16.65,16.64,16.65,16.64286,700,6
20200102,ALEC,11:06,16.61,16.62,16.60,16.62,16.61167,600,4
20200102,ALEC,11:22,16.60,16.60,16.60,16.60,16.60,400,2
20200102,ALEC,11:23,16.58,16.58,16.58,16.58,16.58,500,3
20200102,ALEC,11:24,16.5550,16.5550,16.5550,16.5550,16.555,100,1
20200102,ALEC,11:26,16.55,16.60,16.55,16.60,16.5725,400,4
20200102,ALEC,11:30,16.55,16.55,16.55,16.55,16.55,100,1
20200102,ALEC,11:34,16.52,16.52,16.46,16.46,16.50,4500,12
