Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ALGR,09:03,10.23,10.23,10.23,10.23,10.23,200,1
20200102,ALGR,09:07,10.23,10.23,10.23,10.23,10.23,19800,4
20200102,ALGR,09:30,10.23,10.23,10.23,10.23,10.23,4677,5
20200102,ALGR,09:32,10.23,10.23,10.23,10.23,10.23,15179,5
20200102,ALGR,10:14,10.24,10.24,10.24,10.24,10.24,600,3
20200102,ALGR,10:15,10.24,10.24,10.24,10.24,10.24,1754,8
20200102,ALGR,10:19,10.24,10.24,10.24,10.24,10.24,43250,5
20200102,ALGR,10:27,10.25,10.25,10.25,10.25,10.25,500,3
20200102,ALGR,11:16,10.24,10.24,10.24,10.24,10.24,2500,6
20200102,ALGR,16:00,10.24,10.24,10.24,10.24,10.24,1727,1
