Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ALGT,09:30,175.14,175.14,175.14,175.14,175.14,665,1
20200102,ALGT,09:53,175.22,175.22,175.10,175.10,175.19818,1100,11
20200102,ALGT,09:56,174.74,174.74,174.42,174.42,174.57625,800,6
20200102,ALGT,09:57,174.69,174.70,174.69,174.70,174.695,200,2
20200102,ALGT,09:58,174.80,174.80,174.80,174.80,174.80,179,1
20200102,ALGT,10:02,175.38,175.38,175.38,175.38,175.38,100,1
20200102,ALGT,10:03,175.45,175.45,175.45,175.45,175.45,100,1
20200102,ALGT,10:04,175.62,175.62,175.62,175.62,175.62,100,1
20200102,ALGT,10:05,175.59,175.59,175.59,175.59,175.59,100,1
20200102,ALGT,10:08,175.79,175.79,175.79,175.79,175.79,100,1
20200102,ALGT,10:09,176.00,176.00,176.00,176.00,176.00,100,1
20200102,ALGT,10:14,176.16,176.16,176.16,176.16,176.16,100,1
20200102,ALGT,10:19,176.36,176.36,176.36,176.36,176.36,100,1
20200102,ALGT,10:20,176.01,176.01,176.01,176.01,176.01,100,1
20200102,ALGT,10:21,176.36,176.36,176.36,176.36,176.36,100,1
20200102,ALGT,10:23,176.21,176.21,176.21,176.21,176.21,100,1
20200102,ALGT,10:28,176.19,176.19,176.19,176.19,176.19,200,1
20200102,ALGT,10:30,176.09,176.09,176.04,176.04,176.0758,352,3
20200102,ALGT,10:32,175.96,175.96,175.96,175.96,175.96,300,3
20200102,ALGT,10:37,175.92,175.92,175.91,175.91,175.915,200,2
20200102,ALGT,10:39,176.02,176.02,176.02,176.02,176.02,100,1
20200102,ALGT,10:40,176.20,176.20,176.20,176.20,176.20,200,2
20200102,ALGT,10:41,176.2350,176.26,176.2350,176.26,176.2475,200,2
20200102,ALGT,10:42,176.2450,176.2450,176.2450,176.2450,176.245,100,1
20200102,ALGT,10:43,176.45,176.45,176.45,176.45,176.45,100,1
20200102,ALGT,10:46,176.5750,176.5750,176.5750,176.5750,176.575,100,1
20200102,ALGT,10:47,176.47,176.47,176.47,176.47,176.47,100,1
20200102,ALGT,10:51,176.4850,176.4850,176.38,176.38,176.4325,200,2
20200102,ALGT,10:55,176.68,176.68,176.68,176.68,176.68,100,1
20200102,ALGT,10:57,176.60,176.60,176.60,176.60,176.60,100,1
20200102,ALGT,11:02,176.68,176.68,176.68,176.68,176.68,100,1
20200102,ALGT,11:03,176.56,176.56,176.56,176.56,176.56,300,3
20200102,ALGT,11:06,176.30,176.30,176.30,176.30,176.30,100,1
20200102,ALGT,11:09,176.43,176.43,176.43,176.43,176.43,200,2
20200102,ALGT,11:10,176.30,176.30,176.30,176.30,176.30,100,1
20200102,ALGT,11:12,176.40,176.40,176.40,176.40,176.40,100,1
20200102,ALGT,11:13,176.38,176.38,176.28,176.28,176.34667,300,3
20200102,ALGT,11:18,176.14,176.14,176.14,176.14,176.14,100,1
20200102,ALGT,11:22,176.24,176.24,176.24,176.24,176.24,100,1
20200102,ALGT,11:23,176.25,176.96,176.25,176.35,176.48284,5244,52
20200102,ALGT,11:24,176.33,176.33,176.23,176.23,176.2725,400,4
20200102,ALGT,11:29,176.26,176.26,176.26,176.26,176.26,100,1
20200102,ALGT,11:32,176.29,176.29,176.15,176.15,176.22,200,2
20200102,ALGT,11:34,176.11,176.11,176.11,176.11,176.11,100,1
20200102,ALGT,11:47,176.08,176.08,176.08,176.08,176.08,100,1
20200102,ALGT,11:50,176.2450,176.2450,176.2450,176.2450,176.245,100,1
20200102,ALGT,11:58,176.17,176.17,176.03,176.03,176.0875,400,4
20200102,ALGT,12:03,175.83,175.83,175.69,175.69,175.76,200,2
20200102,ALGT,12:04,175.67,175.67,175.67,175.67,175.67,100,1
20200102,ALGT,12:18,175.81,175.81,175.71,175.71,175.76,200,2
20200102,ALGT,12:34,175.27,175.2750,175.27,175.2750,175.2725,200,2
20200102,ALGT,12:38,175.12,175.12,175.12,175.12,175.12,100,1
20200102,ALGT,12:47,174.88,174.88,174.88,174.88,174.88,100,1
20200102,ALGT,12:50,174.85,174.88,174.85,174.88,174.865,200,2
20200102,ALGT,12:55,174.91,174.91,174.88,174.88,174.895,200,2
20200102,ALGT,13:02,174.90,174.90,174.84,174.84,174.86,300,3
20200102,ALGT,13:11,174.80,174.80,174.80,174.80,174.80,100,1
20200102,ALGT,13:13,174.71,174.71,174.71,174.71,174.71,200,1
20200102,ALGT,13:25,174.83,174.83,174.83,174.83,174.83,100,1
20200102,ALGT,13:29,174.81,174.81,174.81,174.81,174.81,100,1
20200102,ALGT,13:33,174.64,174.66,174.64,174.66,174.65,200,2
20200102,ALGT,13:36,174.51,174.51,174.50,174.50,174.50125,800,6
20200102,ALGT,13:37,174.62,174.62,174.62,174.62,174.62,100,1
20200102,ALGT,13:38,174.66,174.66,174.66,174.66,174.66,196,1
20200102,ALGT,13:41,174.70,174.70,174.70,174.70,174.70,100,1
20200102,ALGT,13:42,174.80,174.80,174.78,174.78,174.79598,1248,7
20200102,ALGT,13:43,174.72,174.72,174.72,174.72,174.72,100,1
20200102,ALGT,13:44,174.61,174.61,174.61,174.61,174.61,100,1
20200102,ALGT,13:58,174.46,174.46,174.46,174.46,174.46,100,1
20200102,ALGT,14:04,174.52,174.69,174.52,174.69,174.605,200,2
20200102,ALGT,14:14,174.85,174.85,174.85,174.85,174.85,100,1
20200102,ALGT,14:24,174.66,174.66,174.66,174.66,174.66,100,1
20200102,ALGT,14:25,174.70,174.70,174.70,174.70,174.70,100,1
20200102,ALGT,14:29,174.74,174.74,174.73,174.74,174.73667,300,3
20200102,ALGT,14:41,174.73,174.73,174.73,174.73,174.73,100,1
20200102,ALGT,14:42,174.81,174.81,174.81,174.81,174.81,100,1
20200102,ALGT,14:48,175.14,175.14,175.14,175.14,175.14,100,1
20200102,ALGT,14:51,175.04,175.04,175.04,175.04,175.04,100,1
20200102,ALGT,14:54,174.93,174.93,174.88,174.88,174.905,400,4
20200102,ALGT,15:01,174.8850,174.8850,174.8850,174.8850,174.885,100,1
20200102,ALGT,15:07,174.82,174.82,174.82,174.82,174.82,100,1
20200102,ALGT,15:08,174.84,174.84,174.84,174.84,174.84,100,1
20200102,ALGT,15:10,174.85,174.85,174.85,174.85,174.85,100,1
20200102,ALGT,15:18,174.87,174.87,174.87,174.87,174.87,100,1
20200102,ALGT,15:22,174.93,174.97,174.91,174.91,174.94826,2300,9
20200102,ALGT,15:23,174.97,174.97,174.97,174.97,174.97,100,1
20200102,ALGT,15:24,174.9350,175.15,174.9350,175.15,175.02167,300,3
20200102,ALGT,15:28,175.09,175.09,175.09,175.09,175.09,100,1
20200102,ALGT,15:29,175.14,175.14,175.14,175.14,175.14,100,1
20200102,ALGT,15:30,175.2550,175.2550,175.2550,175.2550,175.255,100,1
20200102,ALGT,15:31,175.1750,175.22,175.1750,175.22,175.20432,307,3
20200102,ALGT,15:32,175.21,175.21,175.21,175.21,175.21,200,2
20200102,ALGT,15:34,175.20,175.20,175.20,175.20,175.20,100,1
20200102,ALGT,15:36,175.19,175.19,175.14,175.14,175.165,200,2
20200102,ALGT,15:37,175.07,175.07,175.07,175.07,175.07,100,1
20200102,ALGT,15:40,175.10,175.10,175.10,175.10,175.10,100,1
20200102,ALGT,15:42,175.11,175.11,175.11,175.11,175.11,100,1
20200102,ALGT,15:43,175.14,175.14,175.14,175.14,175.14,100,1
20200102,ALGT,15:44,175.18,175.32,175.18,175.32,175.25,200,2
20200102,ALGT,15:45,175.19,175.19,175.19,175.19,175.19,200,2
20200102,ALGT,15:46,175.33,175.33,175.33,175.33,175.33,100,1
20200102,ALGT,15:47,175.34,175.34,175.34,175.34,175.34,100,1
20200102,ALGT,15:49,175.53,175.60,175.44,175.44,175.56471,850,6
20200102,ALGT,15:50,175.62,175.85,175.60,175.85,175.66833,600,6
20200102,ALGT,15:52,176.05,176.10,175.92,176.10,176.02333,300,3
20200102,ALGT,15:53,175.90,175.90,175.90,175.90,175.90,100,1
20200102,ALGT,15:54,176.03,176.03,175.92,175.92,175.975,200,2
20200102,ALGT,15:55,176.12,176.36,176.12,176.23,176.21375,400,4
20200102,ALGT,15:56,176.25,176.25,176.25,176.25,176.25,100,1
20200102,ALGT,15:57,176.20,176.21,176.19,176.19,176.2025,400,4
20200102,ALGT,15:58,176.08,176.17,176.08,176.17,176.0997,1598,14
20200102,ALGT,15:59,176.13,176.13,175.95,176.03,176.04541,5212,22
20200102,ALGT,16:00,176.05,176.05,176.05,176.05,176.05,14646,1
