Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ALL,09:30,112.97,112.97,112.97,112.97,112.97,26841,1
20200102,ALL,09:31,112.81,112.81,112.81,112.81,112.81,100,1
20200102,ALL,09:32,112.95,112.95,112.95,112.95,112.95,100,1
20200102,ALL,09:33,112.73,112.79,112.71,112.79,112.75373,590,5
20200102,ALL,09:34,112.87,112.89,112.76,112.83,112.84875,800,8
20200102,ALL,09:35,112.84,112.95,112.84,112.85,112.89237,611,6
20200102,ALL,09:36,112.94,112.94,112.94,112.94,112.94,400,1
20200102,ALL,09:37,112.93,112.93,112.78,112.78,112.83,800,7
20200102,ALL,09:38,112.78,112.80,112.75,112.80,112.7825,400,4
20200102,ALL,09:39,112.81,112.81,112.76,112.77,112.79731,985,9
20200102,ALL,09:40,112.77,112.77,112.69,112.75,112.74125,800,8
20200102,ALL,09:41,112.75,112.75,112.62,112.67,112.65717,951,8
20200102,ALL,09:42,112.6250,112.6250,112.58,112.58,112.6025,200,2
20200102,ALL,09:43,112.58,112.58,112.58,112.58,112.58,100,1
20200102,ALL,09:44,112.55,112.55,112.52,112.52,112.53875,800,7
20200102,ALL,09:45,112.5150,112.6150,112.51,112.60,112.56158,1900,19
20200102,ALL,09:46,112.60,112.64,112.57,112.62,112.61488,713,7
20200102,ALL,09:47,112.62,112.62,112.4950,112.4950,112.5325,600,6
20200102,ALL,09:48,112.57,112.59,112.57,112.59,112.58,200,2
20200102,ALL,09:49,112.63,112.63,112.47,112.47,112.55667,600,6
20200102,ALL,09:50,112.50,112.52,112.49,112.49,112.49885,1017,10
20200102,ALL,09:51,112.53,112.53,112.43,112.43,112.48,400,3
20200102,ALL,09:52,112.46,112.47,112.44,112.44,112.46216,1148,10
20200102,ALL,09:53,112.46,112.47,112.41,112.4650,112.453,500,5
20200102,ALL,09:54,112.50,112.50,112.50,112.50,112.50,600,5
20200102,ALL,09:55,112.42,112.49,112.36,112.45,112.43062,1316,13
20200102,ALL,09:56,112.45,112.45,112.45,112.45,112.45,200,1
20200102,ALL,09:57,112.41,112.41,112.36,112.36,112.394,500,4
20200102,ALL,09:58,112.40,112.40,112.40,112.40,112.40,100,1
20200102,ALL,09:59,112.40,112.44,112.40,112.44,112.41136,1104,10
20200102,ALL,10:00,112.38,112.38,112.29,112.29,112.34857,700,7
20200102,ALL,10:01,112.29,112.30,112.25,112.26,112.28143,1400,14
20200102,ALL,10:02,112.20,112.26,112.20,112.21,112.23308,780,7
20200102,ALL,10:03,112.22,112.29,112.21,112.29,112.24958,1200,12
20200102,ALL,10:04,112.27,112.27,112.25,112.25,112.25667,300,3
20200102,ALL,10:05,112.2150,112.2150,112.2150,112.2150,112.215,200,2
20200102,ALL,10:06,112.24,112.24,112.20,112.20,112.2275,1200,10
20200102,ALL,10:07,112.19,112.21,112.1750,112.19,112.191,500,5
20200102,ALL,10:08,112.28,112.29,112.28,112.28,112.282,500,5
20200102,ALL,10:09,112.2550,112.31,112.24,112.30,112.28687,800,8
20200102,ALL,10:10,112.30,112.30,112.22,112.23,112.24464,1400,13
20200102,ALL,10:11,112.23,112.25,112.19,112.25,112.23625,800,8
20200102,ALL,10:12,112.23,112.27,112.20,112.27,112.245,800,8
20200102,ALL,10:13,112.27,112.27,112.13,112.13,112.19227,1100,11
20200102,ALL,10:14,112.16,112.17,112.16,112.17,112.16803,508,5
20200102,ALL,10:15,112.17,112.17,112.06,112.06,112.109,1000,10
20200102,ALL,10:16,112.09,112.16,112.09,112.14,112.1275,800,8
20200102,ALL,10:17,112.09,112.09,112.07,112.07,112.07667,300,3
20200102,ALL,10:18,112.01,112.03,112.01,112.03,112.01556,900,6
20200102,ALL,10:19,112.11,112.11,112.11,112.11,112.11,428,4
20200102,ALL,10:20,112.09,112.09,112.09,112.09,112.09,100,1
20200102,ALL,10:21,112.11,112.11,112.09,112.09,112.10234,522,4
20200102,ALL,10:22,112.09,112.09,112.0450,112.0450,112.06917,480,4
20200102,ALL,10:23,112.01,112.04,111.97,112.04,112.01,650,6
