Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ALLY,09:30,30.70,30.75,30.65,30.70,30.69754,23213,33
20200102,ALLY,09:31,30.67,30.70,30.64,30.66,30.66268,4100,37
20200102,ALLY,09:32,30.69,30.70,30.69,30.70,30.69333,300,3
20200102,ALLY,09:33,30.69,30.69,30.65,30.66,30.66859,3900,30
20200102,ALLY,09:34,30.67,30.67,30.65,30.65,30.665,1600,8
20200102,ALLY,09:35,30.65,30.65,30.60,30.60,30.62468,2991,21
20200102,ALLY,09:36,30.60,30.64,30.60,30.64,30.61665,3909,35
20200102,ALLY,09:37,30.63,30.66,30.62,30.65,30.64,1300,13
20200102,ALLY,09:38,30.65,30.65,30.58,30.60,30.62,2200,18
20200102,ALLY,09:39,30.61,30.64,30.61,30.64,30.6225,800,6
20200102,ALLY,09:40,30.67,30.67,30.65,30.65,30.66,1500,11
20200102,ALLY,09:41,30.63,30.63,30.62,30.62,30.626,1000,9
20200102,ALLY,09:42,30.63,30.63,30.62,30.62,30.62641,468,4
20200102,ALLY,09:43,30.61,30.64,30.61,30.63,30.62917,1200,11
20200102,ALLY,09:44,30.64,30.64,30.63,30.64,30.63667,300,3
20200102,ALLY,09:45,30.63,30.63,30.59,30.59,30.61354,2734,19
20200102,ALLY,09:46,30.59,30.59,30.58,30.58,30.58286,700,6
20200102,ALLY,09:47,30.58,30.58,30.57,30.57,30.57551,2115,20
20200102,ALLY,09:48,30.57,30.58,30.57,30.57,30.57605,827,8
20200102,ALLY,09:49,30.5550,30.56,30.55,30.55,30.55269,1080,9
20200102,ALLY,09:50,30.54,30.55,30.5250,30.55,30.53984,3200,20
20200102,ALLY,09:51,30.55,30.5550,30.5250,30.53,30.54114,2200,15
20200102,ALLY,09:52,30.54,30.55,30.54,30.55,30.54735,1700,15
20200102,ALLY,09:53,30.55,30.5550,30.5450,30.55,30.55026,1900,15
20200102,ALLY,09:54,30.56,30.56,30.54,30.54,30.55493,1677,16
20200102,ALLY,09:55,30.54,30.54,30.53,30.54,30.53842,1582,11
20200102,ALLY,09:56,30.55,30.5550,30.54,30.55,30.54846,1300,12
20200102,ALLY,09:57,30.56,30.56,30.55,30.55,30.55143,700,5
20200102,ALLY,09:58,30.56,30.56,30.55,30.56,30.55427,1921,17
20200102,ALLY,09:59,30.56,30.56,30.54,30.54,30.5526,5000,37
20200102,ALLY,10:00,30.54,30.5450,30.5050,30.51,30.52796,4608,37
20200102,ALLY,10:01,30.51,30.5150,30.49,30.49,30.50485,4850,43
20200102,ALLY,10:02,30.49,30.49,30.44,30.44,30.47167,1200,10
20200102,ALLY,10:03,30.42,30.4550,30.42,30.42,30.43477,8950,73
20200102,ALLY,10:04,30.42,30.4850,30.42,30.4850,30.44875,4799,37
20200102,ALLY,10:05,30.48,30.4850,30.47,30.48,30.47591,3729,30
20200102,ALLY,10:06,30.4750,30.4850,30.47,30.48,30.47806,1440,12
20200102,ALLY,10:07,30.48,30.48,30.48,30.48,30.48,100,1
20200102,ALLY,10:08,30.49,30.53,30.49,30.53,30.51388,2926,25
20200102,ALLY,10:09,30.5350,30.5350,30.53,30.53,30.53033,1500,12
20200102,ALLY,10:10,30.53,30.5450,30.52,30.5450,30.53063,3544,31
20200102,ALLY,10:11,30.53,30.53,30.50,30.50,30.51737,2968,22
20200102,ALLY,10:12,30.50,30.50,30.48,30.49,30.4915,3000,23
20200102,ALLY,10:13,30.48,30.48,30.46,30.46,30.46373,1519,13
20200102,ALLY,10:14,30.47,30.49,30.47,30.49,30.47958,1200,12
20200102,ALLY,10:15,30.4850,30.4850,30.46,30.46,30.47182,1608,14
20200102,ALLY,10:16,30.46,30.4850,30.46,30.46,30.47308,3107,24
20200102,ALLY,10:17,30.46,30.47,30.4350,30.47,30.4496,2500,18
20200102,ALLY,10:18,30.47,30.48,30.46,30.48,30.468,1000,8
20200102,ALLY,10:19,30.47,30.4750,30.47,30.4750,30.47167,300,3
20200102,ALLY,10:20,30.48,30.48,30.48,30.48,30.48,100,1
20200102,ALLY,10:21,30.48,30.5050,30.48,30.50,30.48929,1400,13
20200102,ALLY,10:22,30.50,30.50,30.49,30.50,30.49895,1904,14
20200102,ALLY,10:23,30.50,30.50,30.4650,30.48,30.48225,4097,32
20200102,ALLY,10:24,30.47,30.47,30.46,30.47,30.46461,1844,17
20200102,ALLY,10:25,30.45,30.45,30.44,30.44,30.44112,901,5
20200102,ALLY,10:26,30.44,30.4450,30.44,30.44,30.44111,452,4
