Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ALNA,09:28,2.68,2.69,2.68,2.69,2.685,200,2
20200102,ALNA,09:30,2.70,2.70,2.65,2.65,2.69782,4059,3
20200102,ALNA,09:34,2.69,2.69,2.69,2.69,2.69,2700,3
20200102,ALNA,09:35,2.69,2.70,2.69,2.70,2.69116,11168,9
20200102,ALNA,09:40,2.73,2.78,2.73,2.78,2.755,200,2
20200102,ALNA,09:41,2.80,2.82,2.80,2.82,2.81519,790,4
20200102,ALNA,09:42,2.84,2.85,2.84,2.84,2.842,1249,4
20200102,ALNA,09:44,2.85,2.85,2.83,2.83,2.8492,2507,4
20200102,ALNA,09:45,2.81,2.81,2.79,2.79,2.80,200,2
20200102,ALNA,09:46,2.80,2.80,2.80,2.80,2.80,100,1
20200102,ALNA,09:48,2.77,2.77,2.75,2.75,2.75667,600,6
20200102,ALNA,09:49,2.75,2.75,2.75,2.75,2.75,116,1
20200102,ALNA,09:50,2.82,2.82,2.81,2.81,2.815,200,2
20200102,ALNA,09:51,2.80,2.80,2.80,2.80,2.80,500,1
20200102,ALNA,09:53,2.78,2.78,2.77,2.78,2.77857,700,7
20200102,ALNA,10:00,2.73,2.73,2.69,2.69,2.70462,1163,7
20200102,ALNA,10:09,2.76,2.76,2.76,2.76,2.76,100,1
20200102,ALNA,10:37,2.69,2.69,2.69,2.69,2.69,200,2
20200102,ALNA,10:45,2.73,2.73,2.73,2.73,2.73,200,2
20200102,ALNA,11:00,2.70,2.70,2.70,2.70,2.70,200,2
20200102,ALNA,11:02,2.71,2.71,2.71,2.71,2.71,200,2
20200102,ALNA,11:13,2.71,2.71,2.71,2.71,2.71,100,1
20200102,ALNA,11:32,2.70,2.70,2.67,2.67,2.69,1300,8
20200102,ALNA,11:47,2.67,2.67,2.66,2.66,2.66852,675,6
20200102,ALNA,12:01,2.66,2.69,2.66,2.69,2.66963,2671,15
20200102,ALNA,12:22,2.68,2.68,2.68,2.68,2.68,100,1
20200102,ALNA,12:46,2.68,2.68,2.65,2.65,2.67167,1200,8
20200102,ALNA,12:49,2.67,2.69,2.67,2.69,2.6737,1779,14
20200102,ALNA,12:53,2.69,2.70,2.69,2.70,2.69455,1100,4
20200102,ALNA,12:59,2.70,2.70,2.70,2.70,2.70,200,2
20200102,ALNA,13:05,2.69,2.69,2.68,2.68,2.68793,2900,10
20200102,ALNA,13:06,2.68,2.68,2.63,2.63,2.66234,6923,22
20200102,ALNA,13:14,2.64,2.64,2.64,2.64,2.64,400,1
20200102,ALNA,13:17,2.65,2.66,2.65,2.65,2.65563,1600,7
20200102,ALNA,13:25,2.66,2.66,2.66,2.66,2.66,100,1
20200102,ALNA,13:26,2.67,2.67,2.67,2.67,2.67,100,1
20200102,ALNA,13:28,2.67,2.67,2.67,2.67,2.67,100,1
