Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ALNY,09:30,115.57,115.57,115.57,115.57,115.57,4051,1
20200102,ALNY,09:31,115.14,115.14,114.24,114.24,114.90493,873,8
20200102,ALNY,09:32,114.57,114.57,114.5650,114.5650,114.5675,200,2
20200102,ALNY,09:33,114.71,115.04,114.61,115.04,114.77357,1400,14
20200102,ALNY,09:34,115.00,115.00,115.00,115.00,115.00,100,1
20200102,ALNY,09:35,114.95,114.95,114.8550,114.8550,114.931,500,5
20200102,ALNY,09:36,114.88,115.39,114.87,115.39,115.0475,400,4
20200102,ALNY,09:37,115.50,115.87,115.50,115.87,115.63625,400,4
20200102,ALNY,09:38,115.64,115.79,115.64,115.79,115.69,300,3
20200102,ALNY,09:39,115.52,115.52,115.52,115.52,115.52,300,3
20200102,ALNY,09:42,115.36,115.36,115.36,115.36,115.36,100,1
20200102,ALNY,09:45,114.99,114.99,114.99,114.99,114.99,100,1
20200102,ALNY,09:47,114.65,114.79,114.6350,114.79,114.69167,300,3
20200102,ALNY,09:48,114.30,114.30,114.30,114.30,114.30,100,1
20200102,ALNY,09:49,114.27,114.28,114.27,114.28,114.27714,700,5
20200102,ALNY,09:50,114.43,114.79,114.43,114.74,114.57417,1200,12
20200102,ALNY,09:52,114.85,115.08,114.85,115.08,114.902,500,5
20200102,ALNY,09:54,114.93,114.93,114.93,114.93,114.93,100,1
20200102,ALNY,09:55,114.95,115.00,114.95,115.00,114.965,400,4
20200102,ALNY,09:56,115.40,115.40,115.40,115.40,115.40,100,1
20200102,ALNY,09:57,115.40,115.40,115.40,115.40,115.40,100,1
20200102,ALNY,09:58,115.38,115.38,115.38,115.38,115.38,100,1
20200102,ALNY,09:59,115.36,115.36,115.33,115.33,115.345,200,2
20200102,ALNY,10:00,115.35,115.49,115.21,115.23,115.32636,1100,11
20200102,ALNY,10:01,115.22,115.27,115.22,115.27,115.245,200,2
20200102,ALNY,10:02,115.00,115.00,114.92,114.92,114.96,200,2
20200102,ALNY,10:03,115.08,115.09,115.08,115.09,115.085,200,2
20200102,ALNY,10:04,115.07,115.08,115.07,115.08,115.0725,400,4
20200102,ALNY,10:07,114.93,114.93,114.93,114.93,114.93,100,1
20200102,ALNY,10:08,115.18,115.18,115.18,115.18,115.18,100,1
20200102,ALNY,10:09,115.14,115.30,115.14,115.30,115.16857,700,7
20200102,ALNY,10:11,115.01,115.13,114.88,114.88,114.99125,800,8
20200102,ALNY,10:12,114.89,114.98,114.77,114.79,114.8575,400,4
20200102,ALNY,10:13,114.79,114.79,114.79,114.79,114.79,200,2
20200102,ALNY,10:15,114.84,114.84,114.67,114.67,114.77,300,3
20200102,ALNY,10:16,114.79,114.80,114.79,114.79,114.7925,400,4
20200102,ALNY,10:17,114.83,114.84,114.83,114.84,114.836,500,5
20200102,ALNY,10:20,114.85,114.85,114.85,114.85,114.85,200,2
20200102,ALNY,10:21,114.86,115.03,114.86,115.03,114.93167,1200,12
20200102,ALNY,10:22,115.07,115.07,114.95,114.95,115.03248,1626,16
20200102,ALNY,10:23,115.01,115.01,114.92,114.92,114.965,200,2
20200102,ALNY,10:24,114.95,114.96,114.93,114.96,114.94929,1400,14
20200102,ALNY,10:26,115.05,115.19,115.05,115.19,115.11,500,5
20200102,ALNY,10:28,115.30,115.43,115.30,115.43,115.3375,400,4
20200102,ALNY,10:29,115.53,115.53,115.53,115.53,115.53,100,1
20200102,ALNY,10:30,115.49,115.49,115.34,115.34,115.43667,300,3
20200102,ALNY,10:31,115.33,115.33,115.33,115.33,115.33,200,2
20200102,ALNY,10:32,115.33,115.53,115.33,115.53,115.42714,700,7
20200102,ALNY,10:34,115.47,115.69,115.47,115.69,115.53755,1510,12
20200102,ALNY,10:35,115.72,115.72,115.72,115.72,115.72,100,1
20200102,ALNY,10:36,115.60,115.84,115.60,115.84,115.74625,800,7
20200102,ALNY,10:37,115.84,115.84,115.75,115.75,115.815,400,4
20200102,ALNY,10:38,115.71,115.71,115.71,115.71,115.71,100,1
20200102,ALNY,10:39,115.70,115.85,115.70,115.85,115.76944,900,8
20200102,ALNY,10:40,115.7550,115.7550,115.7550,115.7550,115.755,200,1
20200102,ALNY,10:41,115.89,116.00,115.89,116.00,115.95567,609,6
20200102,ALNY,10:42,116.03,116.15,116.03,116.15,116.068,500,5
20200102,ALNY,10:43,116.12,116.12,116.12,116.12,116.12,100,1
20200102,ALNY,10:44,116.13,116.13,116.13,116.13,116.13,100,1
20200102,ALNY,10:45,116.17,116.17,116.13,116.14,116.15,500,5
20200102,ALNY,10:46,116.17,116.40,116.17,116.40,116.27,800,8
20200102,ALNY,10:47,116.41,116.41,116.17,116.38,116.37713,1399,12
20200102,ALNY,10:48,116.31,116.31,116.31,116.31,116.31,100,1
20200102,ALNY,10:49,116.32,116.63,116.32,116.62,116.48139,2959,22
20200102,ALNY,10:50,116.59,116.59,116.59,116.59,116.59,100,1
20200102,ALNY,10:51,116.60,116.71,116.60,116.69,116.65,400,4
20200102,ALNY,10:52,116.68,116.68,116.52,116.67,116.64143,700,7
20200102,ALNY,10:54,116.76,116.89,116.76,116.89,116.825,200,2
20200102,ALNY,10:55,116.69,116.69,116.69,116.69,116.69,100,1
20200102,ALNY,10:56,116.89,116.89,116.89,116.89,116.89,200,2
20200102,ALNY,10:58,116.94,116.98,116.94,116.98,116.96,200,2
20200102,ALNY,10:59,117.08,117.08,117.08,117.08,117.08,100,1
20200102,ALNY,11:00,117.07,117.21,117.07,117.21,117.14,200,2
20200102,ALNY,11:01,117.06,117.12,116.95,116.95,116.99959,1220,11
20200102,ALNY,11:04,116.95,117.13,116.9350,117.12,117.0255,1000,10
20200102,ALNY,11:05,117.20,117.20,117.04,117.04,117.12,200,2
20200102,ALNY,11:06,117.23,117.24,117.23,117.24,117.235,200,2
20200102,ALNY,11:08,117.26,117.28,117.26,117.28,117.275,400,2
20200102,ALNY,11:10,117.21,117.30,117.20,117.2350,117.2375,600,6
20200102,ALNY,11:11,117.37,117.37,117.37,117.37,117.37,100,1
20200102,ALNY,11:12,117.37,117.60,117.37,117.40,117.45426,2350,21
20200102,ALNY,11:13,117.31,117.48,117.31,117.32,117.41167,900,9
20200102,ALNY,11:15,117.31,117.52,117.31,117.52,117.37286,700,7
20200102,ALNY,11:16,117.42,117.42,117.36,117.36,117.39571,700,6
20200102,ALNY,11:17,117.31,117.56,117.31,117.50,117.44429,700,5
20200102,ALNY,11:18,117.29,117.31,117.17,117.17,117.2375,400,4
20200102,ALNY,11:22,117.04,117.10,116.84,116.84,117.00643,700,7
20200102,ALNY,11:23,116.89,116.9050,116.8850,116.9050,116.89333,300,3
20200102,ALNY,11:24,116.93,117.11,116.93,117.01,117.00719,1600,15
20200102,ALNY,11:26,116.7450,116.79,116.7450,116.79,116.7675,200,2
20200102,ALNY,11:27,116.76,116.76,116.76,116.76,116.76,100,1
20200102,ALNY,11:29,116.76,116.76,116.69,116.69,116.725,200,2
20200102,ALNY,11:30,116.43,116.43,116.43,116.43,116.43,100,1
20200102,ALNY,11:31,116.4150,116.4150,116.4150,116.4150,116.415,100,1
20200102,ALNY,11:32,116.45,116.45,116.45,116.45,116.45,100,1
20200102,ALNY,11:33,116.3250,116.3250,116.29,116.29,116.3075,200,2
20200102,ALNY,11:34,116.24,116.24,116.02,116.02,116.18333,600,6
20200102,ALNY,11:36,115.96,115.9650,115.96,115.9650,115.9625,200,2
20200102,ALNY,11:39,115.91,116.01,115.91,116.01,115.972,500,5
20200102,ALNY,11:40,115.93,116.03,115.91,115.95,115.969,1000,9
20200102,ALNY,11:41,116.01,116.01,116.01,116.01,116.01,200,2
20200102,ALNY,11:42,116.00,116.00,115.97,115.97,115.985,200,2
