Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ALSK,09:30,1.77,1.77,1.77,1.77,1.77,1134,3
20200102,ALSK,09:31,1.77,1.79,1.77,1.79,1.77753,1772,5
20200102,ALSK,09:43,1.78,1.78,1.78,1.78,1.78,100,1
20200102,ALSK,09:48,1.78,1.78,1.78,1.78,1.78,100,1
20200102,ALSK,09:55,1.77,1.77,1.77,1.77,1.77,100,1
20200102,ALSK,10:02,1.78,1.78,1.78,1.78,1.78,100,1
20200102,ALSK,10:05,1.78,1.78,1.78,1.78,1.78,100,1
20200102,ALSK,10:24,1.78,1.78,1.78,1.78,1.78,200,2
20200102,ALSK,10:34,1.78,1.78,1.78,1.78,1.78,200,2
20200102,ALSK,10:40,1.78,1.78,1.78,1.78,1.78,200,1
20200102,ALSK,11:06,1.77,1.77,1.77,1.77,1.77,431,3
20200102,ALSK,11:12,1.78,1.78,1.78,1.78,1.78,100,1
20200102,ALSK,11:15,1.7750,1.78,1.77,1.77,1.77957,13900,19
20200102,ALSK,11:16,1.77,1.77,1.77,1.77,1.77,800,6
20200102,ALSK,11:21,1.78,1.78,1.78,1.78,1.78,200,2
20200102,ALSK,11:24,1.79,1.79,1.79,1.79,1.79,2000,9
20200102,ALSK,11:26,1.78,1.78,1.78,1.78,1.78,200,2
20200102,ALSK,11:28,1.7850,1.79,1.7850,1.79,1.7875,400,3
20200102,ALSK,11:31,1.78,1.78,1.78,1.78,1.78,100,1
20200102,ALSK,11:52,1.7850,1.79,1.7850,1.79,1.78909,1100,8
20200102,ALSK,11:53,1.79,1.79,1.7850,1.79,1.78929,700,6
20200102,ALSK,11:54,1.79,1.79,1.79,1.79,1.79,100,1
20200102,ALSK,11:56,1.79,1.79,1.79,1.79,1.79,100,1
20200102,ALSK,11:57,1.79,1.79,1.79,1.79,1.79,1499,4
20200102,ALSK,12:03,1.80,1.80,1.80,1.80,1.80,100,1
20200102,ALSK,12:12,1.80,1.80,1.80,1.80,1.80,125,1
20200102,ALSK,12:20,1.80,1.80,1.78,1.78,1.79781,19902,21
20200102,ALSK,12:29,1.7850,1.79,1.7850,1.79,1.78923,2600,16
20200102,ALSK,12:42,1.79,1.79,1.79,1.79,1.79,100,1
20200102,ALSK,12:58,1.7950,1.80,1.7950,1.80,1.7975,200,2
20200102,ALSK,13:35,1.80,1.80,1.80,1.80,1.80,100,1
20200102,ALSK,13:38,1.80,1.80,1.80,1.80,1.80,200,1
20200102,ALSK,13:47,1.80,1.80,1.80,1.80,1.80,1200,3
20200102,ALSK,13:48,1.80,1.80,1.80,1.80,1.80,849,4
20200102,ALSK,13:52,1.80,1.80,1.80,1.80,1.80,100,1
20200102,ALSK,13:53,1.80,1.81,1.80,1.81,1.80175,1712,13
20200102,ALSK,14:08,1.80,1.81,1.80,1.81,1.80333,300,3
20200102,ALSK,14:13,1.81,1.81,1.81,1.81,1.81,205,2
20200102,ALSK,14:15,1.81,1.81,1.81,1.81,1.81,702,4
20200102,ALSK,14:24,1.81,1.81,1.81,1.81,1.81,100,1
20200102,ALSK,14:26,1.81,1.81,1.81,1.81,1.81,100,1
20200102,ALSK,14:31,1.81,1.81,1.81,1.81,1.81,102,1
20200102,ALSK,14:32,1.81,1.81,1.81,1.81,1.81,100,1
20200102,ALSK,15:08,1.82,1.82,1.82,1.82,1.82,100,1
20200102,ALSK,15:09,1.81,1.81,1.81,1.81,1.81,100,1
20200102,ALSK,15:12,1.8150,1.8150,1.8150,1.8150,1.815,100,1
20200102,ALSK,15:28,1.81,1.81,1.81,1.81,1.81,1000,4
20200102,ALSK,15:32,1.81,1.81,1.81,1.81,1.81,100,1
20200102,ALSK,15:36,1.8150,1.82,1.8150,1.82,1.81975,12181,25
20200102,ALSK,15:39,1.81,1.81,1.81,1.81,1.81,100,1
20200102,ALSK,15:41,1.82,1.82,1.82,1.82,1.82,100,1
20200102,ALSK,15:52,1.81,1.81,1.81,1.81,1.81,200,2
20200102,ALSK,15:57,1.80,1.80,1.80,1.80,1.80,1100,11
