Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ALTR,09:29,36.10,36.10,35.55,35.55,35.9801,809,3
20200102,ALTR,09:30,35.10,36.18,35.10,36.18,36.08103,4463,3
20200102,ALTR,09:34,36.0550,36.17,36.0550,36.1050,36.11,300,3
20200102,ALTR,09:37,36.43,36.43,36.43,36.43,36.43,300,3
20200102,ALTR,09:39,36.39,36.39,36.38,36.38,36.385,200,2
20200102,ALTR,09:46,36.42,36.42,36.42,36.42,36.42,100,1
20200102,ALTR,09:47,36.43,36.43,36.31,36.31,36.39583,1200,11
20200102,ALTR,09:49,36.29,36.29,36.29,36.29,36.29,100,1
20200102,ALTR,09:54,36.29,36.30,36.29,36.30,36.295,200,2
20200102,ALTR,10:00,36.33,36.33,36.33,36.33,36.33,100,1
20200102,ALTR,10:01,36.26,36.26,36.26,36.26,36.26,100,1
20200102,ALTR,10:05,36.20,36.20,36.19,36.19,36.19333,300,3
20200102,ALTR,10:06,36.09,36.09,36.09,36.09,36.09,200,2
20200102,ALTR,10:07,36.11,36.11,36.11,36.11,36.11,200,2
20200102,ALTR,10:09,36.03,36.03,36.03,36.03,36.03,200,1
20200102,ALTR,10:12,36.01,36.05,36.01,36.0450,36.033,500,4
20200102,ALTR,10:13,36.0250,36.05,36.0250,36.05,36.0415,1000,7
20200102,ALTR,10:15,36.07,36.07,36.07,36.07,36.07,300,3
20200102,ALTR,10:17,36.05,36.05,36.03,36.03,36.045,400,3
20200102,ALTR,10:24,36.15,36.16,36.15,36.16,36.15355,310,2
20200102,ALTR,10:25,36.15,36.15,36.15,36.15,36.15,100,1
20200102,ALTR,10:27,36.15,36.15,36.15,36.15,36.15,100,1
20200102,ALTR,10:28,36.14,36.15,36.14,36.14,36.142,500,4
20200102,ALTR,10:29,36.07,36.16,36.07,36.16,36.136,500,5
20200102,ALTR,10:30,36.12,36.17,36.12,36.17,36.15,300,3
20200102,ALTR,10:31,36.14,36.14,36.14,36.14,36.14,100,1
20200102,ALTR,10:32,36.12,36.12,36.12,36.12,36.12,100,1
