Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,ALpA,09:49,27.98,27.98,27.96,27.96,27.97333,300,3
20200102,ALpA,09:51,27.98,27.98,27.98,27.98,27.98,200,1
20200102,ALpA,10:08,27.82,27.82,27.81,27.81,27.81382,490,2
20200102,ALpA,10:10,27.94,27.94,27.94,27.94,27.94,100,1
20200102,ALpA,10:11,27.97,27.97,27.97,27.97,27.97,110,1
20200102,ALpA,10:39,27.94,27.97,27.94,27.97,27.96007,302,3
20200102,ALpA,12:24,27.83,27.92,27.83,27.92,27.875,200,2
20200102,ALpA,12:25,27.83,27.83,27.83,27.83,27.83,100,1
20200102,ALpA,12:31,27.85,27.85,27.85,27.85,27.85,200,2
20200102,ALpA,12:50,27.90,27.90,27.90,27.90,27.90,621,3
20200102,ALpA,13:03,27.89,27.89,27.89,27.89,27.89,130,1
20200102,ALpA,13:20,27.89,27.90,27.89,27.89,27.89239,419,4
20200102,ALpA,14:14,27.88,27.88,27.88,27.88,27.88,952,2
20200102,ALpA,14:37,27.95,27.95,27.95,27.95,27.95,302,1
20200102,ALpA,14:44,27.95,27.95,27.95,27.95,27.95,148,1
20200102,ALpA,14:52,27.95,27.95,27.95,27.95,27.95,110,1
20200102,ALpA,15:04,27.95,27.95,27.94,27.94,27.94333,330,2
20200102,ALpA,15:18,27.92,27.92,27.92,27.92,27.92,100,1
20200102,ALpA,15:23,27.9450,27.9450,27.93,27.93,27.93402,373,2
20200102,ALpA,15:31,27.94,27.94,27.94,27.94,27.94,168,1
20200102,ALpA,15:49,27.93,27.93,27.93,27.93,27.93,120,1
20200102,ALpA,15:50,27.96,27.96,27.96,27.96,27.96,423,2
20200102,ALpA,15:52,27.94,27.94,27.92,27.92,27.9261,328,3
20200102,ALpA,15:53,27.91,27.91,27.90,27.91,27.908,1000,3
